#code	name	width	height	gentype	stackable	rlvl	image	type	sockettype	class
@50	Falcon Mask (Sacred)	2	2	0	0	30	invdr4	pelt		5
w42	Heraldic Shield (2)	2	4	0	0	7	invpa3	ashd	0	3
3@G	Gambeson (3)	2	3	0	0	10	invxtuu	stor		1
737	Bone Helm (3)	2	2	0	0	13	invbhm	bhlm		-1
w22	Heraldic Shield (1)	2	4	0	0	2	invpa3	ashd	0	3
767	Belt (4)	2	1	0	0	15	invmbl	belt		-1
798	Ancient Armor (5)	2	3	0	0	23	invaar	tors		-1
805	Buckler (5)	2	2	0	0	17	invbuc	shie	0	-1
w70	Wolf Head (4)	2	2	0	0	14	invdr1	pelt		5
w34	Spirit Mask (2)	2	2	0	0	9	invdr5	pelt		5
27!	Bull Shield (6)	2	4	0	0	23	invgtsu	basd	0	4
846	Skull Cap (6)	2	2	0	0	23	invskp	helm		-1
722	Heavy Belt (3)	2	1	0	0	12	invtbl	belt		-1
634	Chain Gloves (1)	2	2	0	0	2	invmgl	glov		-1
2@L	Cervelliere (5)	2	2	0	0	20	invfhlu	azhm		0
5@H	Lamellar Armor (Sacred)	2	3	0	0	30	invxrss	stor		1
6@L	Einherjar Helm (2)	2	2	0	0	7	invuhms	azhm		0
e20	Wolf Head (6)	2	2	0	0	23	invdr1	pelt		5
695	Studded Leather (3)	2	3	0	0	10	invstu	tors		-1
e26	Fanged Helm (6)	2	2	0	0	24	invba2	phlm		4
w14	Spirit Mask (1)	2	2	0	0	5	invdr5	pelt		5
728	Gauntlets (3)	2	2	0	0	13	invhgl	glov		-1
@42	Greaves (Sacred)	2	2	0	0	30	invhbt	boot		-1
w99	Avenger Guard (5)	2	2	0	0	23	invba5	phlm		4
742	Ring Mail (4)	2	3	0	0	15	invrng	tors		-1
8@N	Aspis (1)	2	3	0	0	3	invxrgu	ishd	0	6
w64	Crown Shield (3)	2	2	0	0	14	invpa5	ashd	0	3
675	Belt (2)	2	1	0	0	7	invmbl	belt		-1
7@O	Totem Shield (2)	2	3	0	0	7	invxshu	ishd	0	6
e34	Crown Shield (6)	2	2	0	0	27	invpa5	ashd	0	3
684	Heavy Boots (2)	2	2	0	0	5	invvbt	boot		-1
@35	Chain Gloves (Sacred)	2	2	0	0	30	invmgl	glov		-1
@07	Chain Mail (Sacred)	2	3	0	0	30	invchn	tors		-1
k20	Diadem (5)	2	2	0	0	23	invci3	circ		-1
861	Plated Belt (6)	2	1	0	0	26	invhbl	belt		-1
833	Studded Leather (6)	2	3	0	0	23	invstu	tors		-1
825	Greaves (5)	2	2	0	0	22	invhbt	boot		-1
@20	Great Helm (Sacred)	2	2	0	0	30	invghm	helm		-1
k11	Tiara (3)	2	2	0	0	12	invci2	circ		-1
9@K	Cervelliere (3)	2	2	0	0	11	invfhlu	azhm		0
859	Belt (6)	2	1	0	0	24	invmbl	belt		-1
739	Leather Armor (4)	2	3	0	0	13	invlea	tors		-1
@32	Plated Belt (Sacred)	2	1	0	0	30	invhbl	belt		-1
k18	Coronet (5)	2	2	0	0	20	invci1	circ		-1
662	Skull Cap (2)	2	2	0	0	5	invskp	helm		-1
758	Crown (4)	2	2	0	0	18	invcrn	crow		-1
783	Bone Helm (4)	2	2	0	0	18	invbhm	bhlm		-1
706	Ancient Armor (3)	2	3	0	0	15	invaar	tors		-1
3@N	Parma (3)	2	2	0	0	11	invsmlu	ishd	0	6
7@G	Gambeson (Sacred)	2	3	0	0	30	invxtuu	stor		1
3@P	Totem Shield (Sacred)	2	3	0	0	30	invxshu	ishd	0	6
4@I	Banded Plate (1)	2	3	0	0	6	invfulu	stor		1
789	Scale Mail (5)	2	3	0	0	19	invscl	tors		-1
16!	Setzschild (2)	2	4	0	0	10	invutss	azsd	0	0
834	Ring Mail (6)	2	3	0	0	23	invrng	tors		-1
@60	Aerin Shield (Sacred)	2	4	0	0	30	invpa4	ashd	0	3
11!	Phoenix Shield (4)	2	3	0	0	17	invkitu	azsd	0	0
772	Chain Gloves (4)	2	2	0	0	15	invmgl	glov		-1
w54	Spirit Mask (3)	2	2	0	0	14	invdr5	pelt		5
627	Sash (1)	2	1	0	0	0	invlbl	belt		-1
e16	Zombie Head (5)	2	2	0	0	19	invne2	head	0	2
30!	Bronze Shield (2)	2	2	0	0	8	invbucu	basd	0	4
1@K	Morion (2)	2	2	0	0	5	invxkpu	azhm		0
715	Large Shield (3)	2	3	0	0	10	invlrg	shie	0	-1
e15	Preserved Head (5)	2	2	0	0	18	invne1	head	0	2
653	Breast Plate (2)	2	3	0	0	7	invbrs	tors		-1
e11	Rondache (5)	2	2	0	0	19	invpa2	ashd	0	3
@18	Helm (Sacred)	2	2	0	0	30	invhlm	helm		-1
04!	Athulua's Hand (4)	2	2	0	0	14	invxmlu	azsd	0	0
716	Kite Shield (3)	2	3	0	0	11	invkit	shie	0	-1
686	Light Plated Boots (2)	2	2	0	0	7	invtbt	boot		-1
743	Scale Mail (4)	2	3	0	0	15	invscl	tors		-1
778	Light Plated Boots (4)	2	2	0	0	16	invtbt	boot		-1
@11	Field Plate (Sacred)	2	3	0	0	30	invfld	tors		-1
685	Chain Boots (2)	2	2	0	0	6	invmbt	boot		-1
e37	Unraveller Head (6)	2	2	0	0	24	invne3	head	0	2
720	Light Belt (3)	2	1	0	0	10	invvbl	belt		-1
8@L	Einherjar Helm (4)	2	2	0	0	16	invuhms	azhm		0
723	Plated Belt (3)	2	1	0	0	13	invhbl	belt		-1
k05	Circlet (2)	2	2	0	0	6	invci0	circ		-1
w43	Aerin Shield (2)	2	4	0	0	8	invpa4	ashd	0	3
637	Boots (1)	2	2	0	0	0	invlbt	boot		-1
w33	Falcon Mask (2)	2	2	0	0	8	invdr4	pelt		5
34!	Bronze Shield (6)	2	2	0	0	25	invbucu	basd	0	4
@29	Light Belt (Sacred)	2	1	0	0	30	invvbl	belt		-1
690	Mask (2)	2	2	0	0	8	invmsk	bhlm		-1
