#index	name
145	Deckard Cain
146	Gheed
147	Akara
149	Kashya
150	FLYING POLAR BUFFALO ERROR
151	FLYING POLAR BUFFALO ERROR
153	Charsi
154	Warriv
156	FLYING POLAR BUFFALO ERROR
157	FLYING POLAR BUFFALO ERROR
158	FLYING POLAR BUFFALO ERROR
174	Warriv
175	Atma
176	Drognan
177	Fara
178	FLYING POLAR BUFFALO ERROR
184	FLYING POLAR BUFFALO ERROR
194	FLYING POLAR BUFFALO ERROR
195	FLYING POLAR BUFFALO ERROR
196	FLYING POLAR BUFFALO ERROR
197	Greiz
198	Elzix
199	Geglash
200	Jerhyn
201	Lysander
202	FLYING POLAR BUFFALO ERROR
203	FLYING POLAR BUFFALO ERROR
204	FLYING POLAR BUFFALO ERROR
209	Meshif
226	Maggot
243	Deckard Cain
244	Deckard Cain
245	Deckard Cain
250	Tyrael
251	Asheara
252	Hratli
253	Alkor
254	Ormus
256	Halbu
263	Meshif
264	Deckard Cain
265	Flavie
267	FLYING POLAR BUFFALO ERROR
268	FLYING POLAR BUFFALO ERROR
269	Rogue Scout
270	FLYING POLAR BUFFALO ERROR
271	FLYING POLAR BUFFALO ERROR
288	Clay Golem
289	Blood Golem
290	Iron Golem
291	Fire Golem
293	FLYING POLAR BUFFALO ERROR
295	FLYING POLAR BUFFALO ERROR
296	Natalya
317	FLYING POLAR BUFFALO ERROR
318	Parrot (Critter)
319	FLYING POLAR BUFFALO ERROR
330	Kaelan
337	Guard
343	FLYING POLAR BUFFALO ERROR
350	Hydra
351	Hydra
352	Hydra
355	Decoy
356	Valkyrie
357	FLYING POLAR BUFFALO ERROR
358	Iron Wolf
362	Necroskeleton
363	Necromage
366	Tyrael
376	FLYING POLAR BUFFALO ERROR
377	FLYING POLAR BUFFALO ERROR
404	Jamella
405	Izual
407	Hadriel
410	Wake of Fire
411	Charged Bolt Sentry
412	Lightning Sentry
413	Blade Sentinel
414	Pet
415	Inferno Sentry
416	Death Sentry
417	Shadow Warrior
418	Shadow Master
419	Raven
420	Spirit Wolf
421	Dire Wolf
422	Spirit of Barbs
423	Heart of Wolverine
424	Oak Sage
425	Plague Poppy
426	Cycle of Life
427	Vine Creature
428	Grizzly
429	Eagle
430	Wolf
431	Bear
511	Larzuk
512	Anya
513	Malah
514	Nihlathak
515	Qual-Kehk
520	Deckard Cain
521	Tyrael
522	Combatant
523	Combatant
527	Anya
534	Barbarian Captive
535	Guard
536	Guard
537	Talic the Defender
538	Madawc the Guardian
539	Korlic the Protector
560	Act 5 Hireling 1hs
561	Act 5 Hireling 2hs
710	Slayer
711	Shadow
937	Slayer
944	Acid Fiend
975	Death's Fury Totem
976	Blood Tide Totem
977	Liche Totem
978	Elemental Totem
979	Howling Totem
980	Frostclaw Totem
981	Fireheart Totem
982	Mana Tide Totem
983	Stormeye Totem
984	Darkling
985	Rampagor
986	Lamia
987	Overlord
988	Guardian Spirit
989	Defender Spirit
990	Protector Spirit
991	CrusaderSpirit
1027	Thunder Bear
1040	Ice Elemental
1041	Champion of the Sun
1082	Golden Calf
1101	Initiate/Acolyte
1102	Shadow Master
1103	Scourge
1108	Blood Knight
1111	Fire Elemental
1113	Void Archon
1114	Exploding Totem
1116	Shadowfiend
1117	Familiar
1118	Bloodknight
1213	Shock Beast
1221	Edyrem
1228	Torajian
1231	Daystar
1232	Shredder
1233	Bane Monster
1234	Dead Wall Totem
1250	Fallen One
1254	Spirit of Vengeance
1602	Sinner
1603	Avalanche
1604	Glowing Fungus
1618	Siren
1619	Edyrem
1620	Blood Tide Totem
1643	Elfin Spirit
1649	Devil's Fang Totem
1650	Wolf Companion
1660	Jinn
1688	Rampagor
1689	Shadow
1690	Totembound Guardian
1691	Veil King
1695	Oathbreaker Totem
1696	Fear Bomb Totem
1697	Horned God
1698	\white;Midnight Fairy
1744	Black Cat Familiar
