#code	name	class
0	Attack	-1
1	Kick	-1
2	Throw	-1
3	Unsummon	-1
4	Left Hand Throw	-1
5	Left Hand Swing	-1
6	Magic Arrow	-1
7	Fire Arrow	-1
8	Titan Strike	-1
9	Titan Strike	-1
10	Jab	-1
11	Cold Arrow	-1
12	Multiple Shot	-1
13	Fragmentation Shot	-1
14	Power Strike	-1
15	Poison Javelin	-1
16	Exploding Arrow	-1
17	Deathstrike	-1
18	Soulshatter	-1
19	Black Lotus Strike	-1
20	Death Blossom	-1
21	Holy Trap	-1
22	Fear Bomb Totem	-1
23	Spore Shot	-1
24	OHMAN	-1
25	Plague Javelin	-1
26	Strafe	-1
27	Spin to Win	-1
28	Rock Shock	-1
29	Unholy Armor	-1
30	Rain of Bombs	-1
31		-1
32	Unholy Armor	-1
33		-1
34	Superbeast	-1
35		-1
36	Fire Bolt	-1
37		-1
38	Charged Bolt	-1
39		-1
40	Frozen Armor	-1
41	Inferno	-1
42	Static Field	-1
43	Inferno	-1
44	Frost Nova	-1
45		-1
46		-1
47		-1
48	Nova	-1
49	Lightning	-1
50	Hammertime	-1
51	Fire Wall	-1
52	Vindicate	-1
53	Chain Lightning	-1
54	Teleport	-1
55	Glacial Spike	-1
56	Meteor	-1
57	Mana Tide Totem	-1
58	Elemental Totem	-1
59	Stampede	-1
60	Spiral Dance	-1
61		-1
62	Hades Gate	-1
63	Starfire	-1
64	Frozen Orb	-1
65	Bloodbath	-1
66	Amplify Damage	-1
67	Cow Disguise	-1
68	Danse Macabre	-1
69	Skeleton Mastery	-1
70	Raise Skeleton	-1
71	Dim Vision	-1
72	Weaken	-1
73		-1
74	Corpse Explosion	-1
75		-1
76	Wrath	-1
77	Terror	-1
78	Javelin Nova	-1
79	Golem Mastery	-1
80	Raise Skeletal Mage	-1
81	Confuse	-1
82	Life Tap	-1
83	Totembound Guardian	-1
84		-1
85		-1
86		-1
87	Decrepify	-1
88	Bone Prison	-1
89	RPD-8 Maelstrom MkIII	-1
90	Iron Golem	-1
91	Lower Resist	-1
92		-1
93		-1
94		-1
95	Revive	-1
96	Bloodlust	-1
97	Smite	-1
98	Spellbind	-1
99	Bloodlust	-1
100	Resist Fire	-1
101	Parasite	-1
102	Barrier Strike	-1
103	Thorns	-1
104	Ice Lance	-1
105	Resist Cold	-1
106	Zeal	-1
107	Charge	-1
108	Hellgate	-1
109	Burning Veil	-1
110	Resist Lightning	-1
111	Fire Fountain	-1
112		-1
113	Concentration	-1
114	Mythal	-1
115	Vigor	-1
116	Detonate	-1
117	Balefire	-1
118	Hounfor	-1
119	Hailstorm	-1
120	Gamma Field	-1
121	Psionic Storm	-1
122	Fanaticism	-1
