#code	equiv
arag	char
scha	char
qblt	belt,ct1a
cloa	tors,assn
qasp	aspe,ct2w
arac	char
key	misc
gemt	gem
boot	armo
qbhe	qhlm
drui	clas
crsd	swor
play	misc
2hax	axe
comb	mele,thro
gemq	gem
scyh	pole
summ	char
barb	clas
sorc	clas
saba	basd,ct1a
pspe	spea
gema	gem
snkf	nknf,ct1w
geml	gem
swor	mele
torc	misc
snsy	nscy,ct2w
qmsl	misl
rod	blun
sstr	stor,ct2a
qbow	bow,ct2w
mboq	bowq
h2h	mele,assn
geme	gem
qaxe	axe,ct1w
aspe	spea,amaz
bshi	shie
poti	misc
spea	mele
2hbx	baxe
qplt	pelt,ct1a
qphm	phlm,ct1a
qaur	ashd,ct1a
mpot	poti
shie	shld
bswd	swor
qmac	mace,ct1w
qstf	staf,ct2w
arae	char
qham	hamm
blun	mele
wand	rod
scrd	mele
qorb	orb,ct1w
s2hd	2hsd,ct2w
snag	nagi,ct2w
qjvn	jave,ct1w
qcqv	qmsl
qabw	abow,ct2w
spsp	pspe,ct2w
nknf	knif
gemp	gem
azhm	helm
pole	mele
nscy	scyh
dbow	bow
2hsd	swor
qspe	spea,ct2w
sdst	dstf,ct2w
qcrn	qbhe
qshi	shie,ct1a
circ	helm
sdbw	dbow,ct2w
abow	bow,amaz
axe	mele
book	misc
sasz	azsd,ct1a
gep2	gep1
hpot	poti
gem1	gem
woot	ques
qglv	glov,ct1a
gep4	gep3
sphm	pham,ct2w
club	blun
qhlm	helm,ct1a
pala	clas
baxe	axe
tcur	amul
h2h2	h2h
arab	char
scro	misc
dstf	staf
sphz	pzhm,ct1a
nstf	staf
qtax	taxe,ct1w
helm	armo
qpol	pole,ct2w
assn	clas
wpot	poti
scep	rod
jewl	sock
elix	misc
rpot	hpot,mpot
qclb	club,ct1w
head	shie,necr
pzhm	helm
gem0	gem
s2hx	2hbx,ct2w
misl	misc
sscd	scrd,ct1w
spcb	pclb,ct1w
knif	mele
gems	gem
qwnd	wand,ct1w
snst	nstf,ct2w
gem2	gem
ishd	shie
xboq	misl
gem4	gem
spmc	pmac,ct1w
sbsd	bswd,ct1w
pham	hamm
pelt	helm,drui
araf	char
herb	misc
ajav	jave,amaz
araa	char
xbow	miss
miss	weap
char	misc
mele	weap
gemr	gem
qamu	amul
azsd	shie
nxbw	xbow
grtz	char
hamm	blun
sbax	baxe,ct1w
qbon	qshi
qcic	circ,ct1a
gem3	gem
sock	misc
qhed	head,ct1a
shld	armo,seco
gemz	gem
bhlm	helm
orb	mele,sorc
bow	miss
qscy	scyh,ct2w
thro	weap
s2ha	2hax,ct2w
qrin	ring
arad	char
nagi	mele
basd	shie
crow	helm
amaz	clas
glov	armo
qswd	swor,ct1w
qcrs	crsd,ct1w
qajv	ajav,ct1w
lcha	char
amul	misc
staf	rod
ring	misc
s2hb	2hbs,ct2w
qh2h	h2h,ct1w
necr	clas
phlm	helm,barb
tpot	thro
belt	armo
rune	sock
taxe	comb,axe
tors	armo
pclb	club
szhm	azhm,ct1a
stor	tors
ashd	shie,pala
gold	misc
2hbs	bswd
tkni	comb,knif
mcha	char
snxb	nxbw,ct2w
gemd	gem
qscp	scep,ct1w
mxbq	xboq
gemx	gem
gem	sock
mace	blun
apot	poti
jave	comb,spea
qaqv	qmsl
qxbw	xbow,ct2w
spot	poti
gemo	gem
qknf	knif,ct1w
body	misc
bowq	misl
kill	misc
pmac	mace
qbot	boot,ct1a
sisd	ishd,ct1a
qtkn	tkni,ct1w
gep3	gep2
qtor	tors,ct2a
