#id	code	statId	value
184	01+	0	1
191	02+	2	1
192	03+	1	1
193	04+	3	1
202	05+	329	1
205	06+	331	1
206	07+	330	1
207	08+	332	1
213	09+	377	1
220	10+	34	1
221	11+	27	2
222	12+	470	1
223	13+	444	1
224	14+	487	1
226	15+	79	3
227	16+	80	2
228	17+	431	3
229	18+	97	1
234	19+	31	10
235	20+	196	1
236	21+	39	5
237	22+	43	5
238	23+	41	5
241	24+	45	5
242	25+	109	2
243	26+	16	15
244	27+	171	1
245	28+	439	2
246	29+	440	2
249	30+	164	1
251	31+	85	1
255	32+	60	2
256	33+	62	2
257	34+	195	1
258	35+	119	25
263	36+	17	15
264	37+	22	10
285	38+	66	5
286	39+	136	1
287	40+	86	4
294	41+	333	1
297	42+	335	1
298	43+	334	1
304	44+	336	1
309	45+	183	5
310	46+	467	2
311	47+	91	-1
312	48+	492	1
313	49+	131	5
314	50+	102	2
369	51+	96	2
370	52+	99	2
382	53+	74	5
383	54+	155	1
393	55+	201	1
397	56+	195	1
398	57+	195	1
400	58+	195	1
401	59+	195	1
403	60+	210	5
408	61+	295	5
458	62+	485	2
459	63+	25	5
460	64+	105	2
461	65+	93	2
462	z1+	409	1
463	z2+	110	2
464	z3+	97	1
465	z4+	97	1
466	z5+	97	1
