#code	name	class	tab	row	col
0	Атака	-1	0	0	0
1	Пинок	-1	0	0	0
2	Бросок	-1	0	0	0
3	Изгнать	-1	0	0	0
4	Бросок левой рукой	-1	0	0	0
5	Свинг левой рукой	-1	0	0	0
6	Magic Arrow	-1	1	1	2
7	Fire Arrow	-1	1	1	3
8	Удар Титана	-1	0	0	0
9	Удар Титана	-1	0	0	0
10	Jab	-1	3	1	1
11	Cold Arrow	-1	1	2	1
12	Multiple Shot	-1	1	2	2
13	Фрагментационный Выстрел	-1	0	0	0
14	Power Strike	-1	3	2	2
15	Шунпо	-1	0	0	0
16	Exploding Arrow	-1	1	3	3
17	Удар Смерти	-1	0	0	0
18	Уничтожитель Душ	-1	0	0	0
19	Удар Черного Лотоса	-1	0	0	0
20	Цветок Смерти	-1	0	0	0
21	Святая Ловушка	-1	0	0	0
22	Тотем Бомбы Страха	-1	0	0	0
23	Цепной Выстрел	-1	3	3	1
24	АХЕРЕТЬ	-1	0	0	0
25		-1			
26		-1			
27	Вращение к Победе	-1	0	0	0
28	Каменная Встряска	-1	0	0	0
29	Нечестивая Броня	-1	0	0	0
30	Дождь Бомб	-1	0	0	0
31		-1			
32	Нечестивая Броня	-1	0	0	0
33		-1			
34	Суперзверь	-1	3	2	3
35		-1			
36	Fire Bolt	-1	1	1	2
37		-1			
38	Charged Bolt	-1	2	1	2
39		-1			
40		-1			
41		-1			
42	Static Field	-1	2	2	1
43		-1			
44	Frost Nova	-1	3	2	1
45		-1			
46		-1			
47		-1			
48	Nova	-1	2	3	1
49	Lightning	-1	2	3	2
50	Время Молота	-1	0	0	0
51	Fire Wall	-1	1	4	1
52	Реабилитация	-1	0	0	0
53		-1			
54	Телепорт	-1	2	4	3
55		-1			
56		-1			
57	Тотем Притока Маны	-1	0	0	0
58	Элементальный Тотем	-1	0	0	0
59	Натиск	-1	1	2	3
60	Спиральный Танец	-1	0	0	0
61		-1			
62	Врата Аида	-1	0	0	0
63	Звездный Огонь	-1	0	0	0
64	Frozen Orb	-1	3	6	1
65	Кровавая Баня	-1	0	0	0
66	Усиление Урона	-1	1	1	2
67	Облик Коровы	-1	0	0	0
68	Пляска Смерти	-1	0	0	0
69		-1			
70	Raise Skeleton	-1	3	1	3
71	Dim Vision	-1	1	2	1
72		-1			
73		-1			
74	Corpse Explosion	-1	2	2	2
75		-1			
76	Гнев	-1	0	0	0
77	Terror	-1	1	3	3
78	Нова Дротиков	-1	0	0	0
79		-1			
80	Raise Skeletal Mage	-1	3	3	3
81		-1			
82		-1			
83	Страж Тотемов	-1	0	0	0
84		-1			
85		-1			
86		-1			
87	Decrepify	-1	1	5	3
88	Bone Prison	-1	2	5	3
89	APF-10 'Вихрь' N°IV	-1	2	4	1
90		-1			
91	Lower Resist	-1	1	6	2
92		-1			
93		-1			
94		-1			
95	Revive	-1	3	6	3
96	Жажда Крови	-1	0	0	0
97	Smite	-1	1	1	3
98	Околдовывание	-1	3	4	3
99	Жажда Крови	-1	0	0	0
100	Resist Fire	-1	3	1	3
101	Паразит	-1	2	4	1
102	Барьерный Удар	-1	1	4	1
103	Thorns	-1	2	2	3
104	Ледяное Копье	-1	0	0	0
105	Resist Cold	-1	3	2	3
106		-1			
107	Charge	-1	1	3	3
108	Адские Врата	-1	0	0	0
109	Горящая Завеса	-1	0	0	0
110	Resist Lightning	-1	3	3	3
111	Fire Fountain	-1	0	0	0
112		-1			
113	Concentration	-1	2	4	1
114	Мифал	-1	2	4	3
115		-1			
116	Детонация	-1	0	0	0
117	Погребальный Огонь	-1	2	2	3
118	Хунфор	-1	0	0	0
119	Гроза с Градом	-1	0	0	0
120	Гамма-Поле	-1	0	0	0
121	Псио-Шторм	-1	3	4	1
122	Fanaticism	-1	2	6	1
123	Conviction	-1	2	6	3
124	Redemption	-1	3	6	2
125	Salvation	-1	3	6	3
126	Bash	-1	1	1	2
127	Удар Двойного Клыка	-1	1	3	3
128	Удар Двойного Клыка	-1	1	3	3
129	Стена Силы	-1	0	0	0
130		-1			
131	Реабилитация	-1	0	0	0
132	Leap	-1	1	2	1
133	Double Swing	-1	1	2	3
134	Клеймо Огня	-1	0	0	0
135		-1			
136		-1			
137	Насмешка	-1	3	2	1
138	Shout	-1	3	2	2
139	Больной Скот	-1	0	0	0
140	Double Throw	-1	1	3	3
141		-1			
142	Нова Огненных Шаров	-1	0	0	0
143	Leap Attack	-1	1	4	1
144	Режущий Клинок	-1	0	0	0
145	Огненная Канонада	-1	0	0	0
146		-1			
147		-1			
148		-1			
149		-1			
150	Удар Черного Лотоса	-1	0	0	0
151	Whirlwind	-1	1	6	1
152		-1			
153	Бомба Новы	-1	0	0	0
154	Жертвенная Бомба	-1	0	0	0
155	Кассетная Бомба	-1	2	1	3
156		-1			
157		-1			
158		-1			
159		-1			
160		-1			
161		-1			
162		-1			
163		-1			
164		-1			
165		-1			
166		-1			
167		-1			
168		-1			
169		-1			
170		-1			
171		-1			
172		-1			
173		-1			
174		-1			
175		-1			
176		-1			
177	Рысканье	-1	0	0	0
178		-1			
179		-1			
180		-1			
181		-1			
182		-1			
183		-1			
184		-1			
185		-1			
186		-1			
187		-1			
188		-1			
189		-1			
190		-1			
191		-1			
192		-1			
193		-1			
194		-1			
195		-1			
196		-1			
197		-1			
198		-1			
199		-1			
200		-1			
201		-1			
202		-1			
203		-1			
204		-1			
205	Дробление Плоти	-1	1	1	3
206		-1			
207		-1			
208		-1			
209	Крио-Луч	-1	0	0	0
210		-1			
211		-1			
212		-1			
213		-1			
214		-1			
215		-1			
216		-1			
217	Свиток Идентификации	-1	0	0	0
218	Том Идентификации	-1	0	0	0
219	Свиток Городского Портала	-1	0	0	0
220	Том Городского Портала	-1	0	0	0
221		-1			
222		-1			
223	Ядовитая Вспышка	-1	2	1	3
224		-1			
225		-1			
226		-1			
227		-1			
228		-1			
229		-1			
230		-1			
231		-1			
232		-1			
233		-1			
234		-1			
235		-1			
236	Арена Молний	-1	0	0	0
237		-1			
238		-1			
239		-1			
240		-1			
241		-1			
242		-1			
243		-1			
244		-1			
245		-1			
246		-1			
247		-1			
248		-1			
249		-1			
250		-1			
251		-1			
252		-1			
253		-1			
254		-1			
255		-1			
256		-1			
257		-1			
258		-1			
259		-1			
260		-1			
261		-1			
262		-1			
263	Каратель	-1	0	0	0
264		-1			
265		-1			
266		-1			
267		-1			
268		-1			
269		-1			
270		-1			
271		-1			
272		-1			
273		-1			
274		-1			
275		-1			
276		-1			
277		-1			
278		-1			
279		-1			
280		-1			
281		-1			
282		-1			
283		-1			
284	Demon Blood	-1	0	0	0
285		-1			
286		-1			
287		-1			
288		-1			
289		-1			
290	Conviction	-1	0	0	0
291		-1			
292		-1			
293		-1			
294		-1			
295	Demon Blood	-1	0	0	0
296	Demon Blood	-1	0	0	0
297	Demon Blood	-1	0	0	0
298		-1			
299	Ядовитая Аура	-1	0	0	0
300		-1			
301	Призрачная Стрела	0	1	1	1
302	Шквал	0	1	2	1
303	Фаланга	0	1	3	1
304	Драконий Выстрел	0	1	5	1
305	Драконьи Сказания	0	1	4	1
306	Лунный Луч	0	1	1	3
307	Лунная Королева	0	1	4	3
308	Рикошет	0	1	2	3
309	Продольный Огонь	0	1	3	3
310	Сказочное Кольцо	0	1	5	3
311	Провал Лавы	0	2	5	3
312	Погребальный Огонь	0	2	2	3
313	Кровавая Буря	0	2	3	3
314	Магические Снаряды	0	2	1	3
315	Вакханалия	0	2	4	3
316	Подавление	0	2	1	1
317	Удар Гиены	0	2	2	1
318	Наскок	0	2	3	1
319	Львица	0	2	4	1
320	Великая Охота	0	2	5	1
321	Защитная Гармония	0	3	5	1
322	Призыв Огненных Элементалей	0	3	2	1
323	Баланс	0	3	3	1
324	Неистовый Экстаз	0	3	4	1
325	Свобода Дикой Природы	0	3	1	1
326	Удар Летучей Мыши	6	1	1	1
327	Распятие	6	1	2	1
328	Королева Лезвий	6	1	3	1
329	Бионетический Взрыв	6	3	3	1
330	Рок	6	1	5	1
331	Путь Паука	6	1	1	3
332	Убежище Теней	6	1	2	3
333	Барьерный Удар	6	1	4	1
334	Удар Двойного Клыка	6	1	3	3
335	Путь Феникса	6	1	5	3
336	Кассетная Бомба	6	2	1	3
337	Магнитный Лазер	6	2	2	3
338	Часовой Электрополя	6	2	3	3
339	Часовой Огненных Шаров	6	2	4	3
340	Сингулярность	6	2	5	3
341	Клинок Скорпиона	6	2	1	1
342	Штормовые Вороны	6	2	2	1
343	Ведьмин Ветер	6	2	3	1
344	APF-10 'Вихрь' N°IV	6	2	4	1
345	Залп	6	2	5	1
346	Скачок	6	3	1	1
347	Выброс Звезд	6	3	2	1
348	Лазерный Клинок	6	1	4	3
349	Псио-Шторм	6	3	4	1
350	Идеальное Бытие	6	3	5	1
351	Землятресение	4	1	1	1
352	Кровавая Ненависть	4	1	2	1
353	Раскат Грома	4	1	3	1
354	Камнепад	4	1	4	1
355	Удар Бури	4	1	5	1
356	Стойка Волка	4	2	5	3
357	Стойка Льва	4	2	1	3
358	Стойка Змеи	4	2	2	3
359	Стойка Медведя	4	2	3	3
360	Стойка Орла	4	2	4	3
361	Дух Стража	4	2	1	1
362	Дух Защитника	4	2	2	1
363	Дух Покровителя	4	2	3	1
364	Великие Олицетворения	4	2	4	1
365	Прогулка Духов	4	2	5	1
366	Волк-Спутник	4	3	1	1
367	Древняя Кровь	4	3	2	1
368	Крепость	4	3	3	1
369	Проводник Духов	4	3	4	1
370	Горный Король	4	3	5	1
371	Коготь Медведя	4	1	1	3
372	Натиск	4	1	2	3
373	Отскок	4	1	3	3
374	Кричащий Орел	4	1	4	3
375	Многократное Уничтожение	4	1	5	3
376	Форма Капканной Крысы	5	1	1	3
377	Буря Шипов	5	1	2	3
378	Яичная Ловушка	5	1	3	3
379	Свирепость	5	1	4	3
380	Стена Шипов	5	1	5	3
381	Слабое Место	5	3	1	1
382	Каскад	5	3	2	1
383	Цепной Выстрел	5	3	3	1
384	Эльфийские Орудия	5	3	4	1
385	Круговой Выстрел	5	3	5	1
386	Элементаль	5	2	1	1
387	Охотящаяся Банши	5	2	2	1
388	Языческие Обряды	5	2	3	1
389	Огненный Дождь	5	2	4	1
390	Леденящая Буря	5	2	5	1
391	Форма Сторожевого Древа	5	1	1	1
392	Избиение	5	1	2	1
393	Круг Жизни	5	1	3	1
394	Пожар	5	1	4	1
395	Идол Скосглена	5	1	5	1
396	Ядовитая Вспышка	5	2	1	3
397	Эльфийская Песнь	5	2	2	3
398	Аватар Чумы	5	2	3	3
399	Мифал	5	2	4	3
400	Призыв Кислотных Дьяволов	5	2	5	3
401	Призыв Теней	2	3	1	1
402	Призыв Рампагора	2	3	2	1
403	Призыв Ламии	2	3	3	1
404	Призыв Сокрытого Короля	2	3	4	1
405	Призыв Архонта Пустоты	2	3	5	1
406	Ангел Смерти	2	2	2	1
407	Жертвы	2	1	2	3
408	Паразит	2	2	4	1
409	Резня	2	2	1	1
410	Голод	2	2	3	1
411	Картечь	2	2	1	3
412	Хватка Когтя	2	1	5	3
413	Выстрел Вуду	2	2	5	3
414	Изгиб Теней	2	1	3	3
415	Лорд Смерти	2	2	5	1
416	Тотем Ярости Смерти	2	1	1	1
417	Огнехвостый Выстрел	2	2	2	3
418	Драконий Напалм	2	2	3	3
419	Фрагментационный Выстрел	2	2	4	3
420	Кричащий Тотем	2	1	4	1
421	Тотем Когтя Мороза	2	1	2	1
422	Бальзамирование	2	1	1	3
423	Тотем Сердца Огня	2	1	3	1
424	Погибель	2	1	4	3
425	Тотем Глаза Бури	2	1	5	1
426	Ответный Удар	3	1	1	1
427	Удар Молота	3	1	2	1
428	Меркаба	3	1	3	1
429	Львиное Сердце	3	1	4	1
430	Колизей	3	1	5	1
431	Ужасающий Удар	3	2	1	1
432	Черный Сон	3	2	3	1
433	Лярвы	3	2	2	1
434	Кровавые Шипы	3	2	4	1
435	Бич	3	3	5	1
436	Жгучее Сияние	3	1	1	3
437	Кольцо Света	3	1	2	3
438	Сера	3	1	3	3
439	Солнечный Шторм	3	1	4	3
440	Восход	3	1	5	3
441	Испорченная Кровь	3	2	1	3
442	Симфония Разрушения	3	2	3	3
443	Поджарка Мозгов	3	2	2	3
444	Убийца	3	2	4	3
445	Повелитель Бури	3	2	5	3
446	Сосуд Мудрости	3	3	1	1
447	Восторг	3	3	2	1
448	Свет и Тень	3	3	3	1
449	Священная Броня	3	3	4	1
450	Гимн	3	2	5	1
451	Залп Пламени	1	1	1	1
452	Живое Пламя	1	1	2	1
453	Удар Пламени	1	1	3	1
454	Пировзрыв	1	1	4	1
455	Огненный Танец	1	1	5	1
456	Снежная Королева	1	1	3	3
457	Дробление Плоти	1	1	1	3
458	Холодная Сфера	1	1	2	3
459	Бездна	1	1	4	3
460	Призыв Ледяных Элементалей	1	1	5	3
461	Зигзагообразная Молния	1	2	1	1
462	Громовой Камень	1	2	2	1
463	Буря	1	2	3	1
464	Искривленная Броня	1	2	4	1
465	Заряд Новы	1	2	5	1
466	Мстительная Сила	1	2	2	3
467	Лоренадо	1	2	1	3
468	Миазмы	1	2	3	3
469	Ковер Пауков	1	2	4	3
470	Рой	1	2	5	3
471	Лунный Удар	1	3	1	1
472	Хранитель	1	3	2	1
473	Тайный Поток	1	3	3	1
474	Сбор Маны	1	3	4	1
475	Буря Клинков	1	3	5	1
476	Проклятие Злой Феи	-1	0	0	0
477		-1			
478	Околдовывание	-1	3	4	3
479	Стойка Кракена	-1	0	0	0
480		-1			
481	Электрический Снаряд	-1	0	0	0
482		-1			
483		-1			
484		-1			
485	Respawner	-1	0	0	0
486	Respawner	-1	0	0	0
