!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Реагент Куба\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
&67	\orange;Mystic Orb\nMonsterball
&68	\orange;Mystic Orb\nHeart of Frost
&69	\orange;Mystic Orb\nRelic of Yaerius
&70	\orange;Mystic Orb\nThe Endless Light
&71	\orange;Mystic Orb\nMarksman's Eye
&72	\orange;Mystic Orb\nFarnham's Lost Marble
&73	\orange;Mystic Orb\nZayl's Soul Orb
&74	\orange;Mystic Orb\nEye of Malic
&75	\orange;Mystic Orb\nApple of Discord
&76	\orange;Mystic Orb\nIdol of Stars
&77	\orange;Mystic Orb\nNagapearl
&78	\orange;Mystic Orb\nThe Moon Crystal
&79	\orange;Mystic Orb\nAuriel's Focus
&80	\orange;Mystic Orb\nSolitude
&81	\orange;Mystic Orb\nLarzuk's Round Shot
&82	\orange;Mystic Orb\nVizjun's Ball Bearing
&83	\orange;Mystic Orb\nNor Tiraj's Flaming Sphere
&84	\orange;Mystic Orb\nThe Demon Core
&85	\orange;Mystic Orb\nUldyssian's Spirit
&86	\orange;Mystic Orb\nOrb of Annihilation
&87	\orange;Mystic Orb\nWarbringer
&88	\orange;Mystic Orb\nTen Pin Striker
&89	\orange;Mystic Orb\nWrathspirit
&90	\orange;Mystic Orb\nCrystal of Tears
&91	\orange;Mystic Orb\nEssence of Itherael
&92	\orange;Mystic Orb\nPeriapt of Life
&93	\orange;Mystic Orb\nLodestone
&94	\orange;Mystic Orb\nExplorer's Globe
&95	\orange;Mystic Orb\nThe Perfect Sphere
0++	Реагент Куба\n\orange;Mystic Orb
01!	Athulua's Hand (1)
01+	\blue;+4 Требуемый Уровень\n+5 к Силе\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
01@	Short Sword (Sacred)
01^	\dgreen;Signet of Learning
02+	\blue;+4 Требуемый Уровень\n+5 к Ловкости\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
02@	Scimitar (Sacred)
03!	Athulua's Hand (2)
03+	\blue;+4 Требуемый Уровень\n+5 к Энергии\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
03@	Saber (Sacred)
04+	\blue;+4 Требуемый Уровень\n+5 к Живучести\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
04@	Falchion (Sacred)
05!	Athulua's Hand (3)
05+	\blue;+4 Требуемый Уровень\n+2% к Урону Заклинаний Огня\n\grey;Смешайте с Вещью для Добавления Бонуса\n
05@	Broad Sword (Sacred)
05^	\dgreen;Large Signet of Learning
06!	Athulua's Hand (4)
06+	\blue;+4 Требуемый Уровень\n+2% к Урону Заклинаний Холода\n\grey;Смешайте с Вещью для Добавления Бонуса\n
06@	Long Sword (Sacred)
07!	Athulua's Hand (Sacred)
07+	\blue;+4 Требуемый Уровень\n+2% к Урону Заклинаний Молнии\n\grey;Смешайте с Вещью для Добавления Бонуса\n
07@	War Sword (Sacred)
08!	Phoenix Shield (1)
08+	\blue;+4 Требуемый Уровень\n+2% к Урону Заклинаний Яда\n\grey;Смешайте с Вещью для Добавления Бонуса\n
08@	Two-Handed Sword (Sacred)
09+	\blue;+4 Требуемый Уровень\n+2% к Физ./Маг. Урону Заклинаний\n\grey;Смешайте с Вещью для Добавления Бонуса\n
09@	Claymore (Sacred)
09Freaking	Secret Jewel Bonus!
09Frustrating	Secret Jewel Bonus!
09Is	Secret Jewel Bonus!
09Just	Secret Jewel Bonus!
09So	Secret Jewel Bonus!
09This	Secret Jewel Bonus!
0g0	\red;Elixir of Greater Experience (Disabled)
0g1	\red;Elixir of Greater Greed (Disabled)
0g2	\red;Elixir of Greater Wealth (Disabled)
0g7	\red;Elixir of Power (Disabled)
0g8	\red;Elixir of Love (Disabled)
0o@	Реагент Куба\n\orange;Catalyst of Learning
0sc	Свиток знаний
0u1	Hammer of the Taan Judges
10!	Phoenix Shield (2)
10+	\blue;+4 Требуемый Уровень\nФизический Урон Снижается на 6\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
