#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	type	sockettype	class
2@O	Aspis (4)		2	3	0		16	91	180									invxrgu		ishd,tier	0	6
855	Tower Shield (6)		2	3	0		25	244	468									invtow		shie,tier	0	-1
45!	Hundsgugel (3)		2	2	0		9	37	0									invhlmu		pzhm,tier		3
722	Heavy Belt (3)		2	1	0		12	132	0									invtbl		belt,tier		-1
k08	Diadem (2)		2	2	0		9	0	50									invci3		circ,tier		-1
17!	Setzschild (3)		2	4	0		15	100	0									invutss		azsd,tier	0	0
3@J	Ceremonial Armor (2)		2	3	0		10	0	141									invaaru		stor,tier		1
1@O	Aspis (3)		2	3	0		12	63	124									invxrgu		ishd,tier	0	6
831	Leather Armor (6)		2	3	0		22	122	0									invlea		tors,tier		-1
820	Gauntlets (5)		2	2	0		22	292	0									invhgl		glov,tier		-1
w50	Wolf Head (3)		2	2	0		10	50	0									invdr1		pelt,tier		5
736	Mask (3)		2	2	0		12	105	0									invmsk		bhlm,tier		-1
26!	Bull Shield (5)		2	4	0		19	46	102									invgtsu		basd,tier	0	4
@13	Gothic Plate (Sacred)		2	3	0		30	614	0									invgth		qtor		-1
@66	Demon Head (Sacred)		2	2	0		30	0	445									invne5		qhed	0	2
@08	Breast Plate (Sacred)		2	3	0		30	550	0									invbrs		qtor		-1
833	Studded Leather (6)		2	3	0		23	199	0									invstu		tors,tier		-1
w12	Antlers (1)		2	2	0		3	50	0									invdr3		pelt,tier		5
1@K	Morion (2)		2	2	0		5	16	0									invxkpu		azhm,tier		0
600	Quilted Armor (1)		2	3	0		0	10	0									invqlt		tors,tier		-1
821	Boots (5)		2	2	0		17	53	0									invlbt		boot,tier		-1
713	Buckler (3)		2	2	0		8	13	36									invbuc		shie,tier	0	-1
4@O	Aspis (6)		2	3	0		25	192	378									invxrgu		ishd,tier	0	6
w56	Fanged Helm (3)		2	2	0		11	86	0									invba2		phlm,tier		4
764	Gothic Shield (4)		2	4	0		18	140	265									invgts		shie,tier	0	-1
7@P	Bladed Shield (4)		2	3	0		17	0	168									invxpku		ishd,tier	0	6
01!	Athulua's Hand (1)		2	2	0		0	0	21									invxmlu		azsd,tier	0	0
3@I	Kazarghand (Sacred)		2	3	0		30	0	550									invxaru		sstr		1
w68	Gargoyle Head (3)		2	2	0		12	0	64									invne4		head,tier	0	2
@20	Great Helm (Sacred)		2	2	0		30	576	0									invghm		qhlm		-1
w10	Wolf Head (1)		2	2	0		1	23	0									invdr1		pelt,tier		5
e30	Targe (6)		2	2	0		23	0	85									invpa1		ashd,tier	0	3
@39	Heavy Boots (Sacred)		2	2	0		30	492	0									invvbt		qbot		-1
643	Spiked Shield (1)		2	3	0		3	0	55									invspk		bshi,tier	0	-1
9@L	Einherjar Helm (5)		2	2	0		21	0	234									invuhms		azhm,tier		0
51!	Blackguard Helm (2)		2	2	0		7	0	42									invbhmu		pzhm,tier		3
715	Large Shield (3)		2	3	0		10	46	95									invlrg		shie,tier	0	-1
e19	Demon Head (5)		2	2	0		22	0	162									invne5		head,tier	0	2
651	Scale Mail (2)		2	3	0		6	62	0									invscl		tors,tier		-1
9@M	Spangenhelm (Sacred)		2	2	0		30	606	0									invxrnu		szhm		0
@37	Gauntlets (Sacred)		2	2	0		30	574	0									invhgl		qglv		-1
822	Heavy Boots (5)		2	2	0		19	124	0									invvbt		boot,tier		-1
w27	Unraveller Head (1)		2	2	0		2	0	24									invne3		head,tier	0	2
859	Belt (6)		2	1	0		24	288	0									invmbl		belt,tier		-1
740	Hard Leather Armor (4)		2	3	0		14	76	0									invhla		tors,tier		-1
1@H	Lamellar Armor (3)		2	3	0		11	0	65									invxrss		stor,tier		1
5@M	Spangenhelm (3)		2	2	0		14	170	0									invxrnu		azhm,tier		0
@10	Plate Mail (Sacred)		2	3	0		30	576	0									invplt		qtor		-1
816	Leather Gloves (5)		2	2	0		17	44	0									invlgl		glov,tier		-1
624	Kite Shield (1)		2	3	0		2	30	59									invkit		shie,tier	0	-1
707	Cap (3)		2	2	0		8	23	0									invcap		helm,tier		-1
856	Gothic Shield (6)		2	4	0		27	295	558									invgts		shie,tier	0	-1
6@O	Totem Shield (1)		2	3	0		3	0	44									invxshu		ishd,tier	0	6
800	Skull Cap (5)		2	2	0		18	111	0									invskp		helm,tier		-1
@63	Zombie Head (Sacred)		2	2	0		30	0	438									invne2		qhed	0	2
2@I	Kazarghand (6)		2	3	0		25	0	353									invxaru		stor,tier		1
53!	Blackguard Helm (4)		2	2	0		16	0	89									invbhmu		pzhm,tier		3
635	Light Gauntlets (1)		2	2	0		3	52	0									invtgl		glov,tier		-1
e15	Preserved Head (5)		2	2	0		18	0	49									invne1		head,tier	0	2
818	Chain Gloves (5)		2	2	0		20	168	0									invmgl		glov,tier		-1
775	Boots (4)		2	2	0		12	37	0									invlbt		boot,tier		-1
716	Kite Shield (3)		2	3	0		11	63	124									invkit		shie,tier	0	-1
w72	Antlers (4)		2	2	0		16	154	0									invdr3		pelt,tier		5
@18	Helm (Sacred)		2	2	0		30	516	0									invhlm		qhlm		-1
694	Hard Leather Armor (3)		2	3	0		9	53	0									invhla		tors,tier		-1
w20	Targe (1)		2	2	0		1	0	13									invpa1		ashd,tier	0	3
724	Leather Gloves (3)		2	2	0		8	21	0									invlgl		glov,tier		-1
611	Light Plate (1)		2	3	0		4	79	0									invltp		tors,tier		-1
@25	Kite Shield (Sacred)		2	3	0		30	497	559									invkit		qshi	0	-1
726	Chain Gloves (3)		2	2	0		11	80	0									invmgl		glov,tier		-1
875	Bone Helm (6)		2	2	0		27	391	0									invbhm		bhlm,tier		-1
w18	Assault Helmet (1)		2	2	0		4	70	0									invba4		phlm,tier		4
745	Breast Plate (4)		2	3	0		15	168	0									invbrs		tors,tier		-1
w89	Demon Head (4)		2	2	0		18	0	112									invne5		head,tier	0	2
629	Belt (1)		2	1	0		2	45	0									invmbl		belt,tier		-1
621	Buckler (1)		2	2	0		0	6	17									invbuc		shie,tier	0	-1
w82	Heraldic Shield (4)		2	4	0		16	86	0									invpa3		ashd,tier	0	3
804	Crown (5)		2	2	0		23	358	0									invcrn		crow,tier		-1
19!	Setzschild (5)		2	4	0		23	210	0									invutss		azsd,tier	0	0
w66	Zombie Head (3)		2	2	0		10	0	36									invne2		head,tier	0	2
e37	Unraveller Head (6)		2	2	0		24	0	153									invne3		head,tier	0	2
640	Light Plated Boots (1)		2	2	0		3	60	0									invtbt		boot,tier		-1
734	Bone Shield (3)		2	3	0		11	0	93									invbsh		bshi,tier	0	-1
620	Crown (1)		2	2	0		5	81	0									invcrn		crow,tier		-1
13!	Phoenix Shield (6)		2	3	0		26	190	0									invkitu		azsd,tier	0	0
@48	Hawk Helm (Sacred)		2	2	0		30	445	0									invdr2		qplt		5
668	Small Shield (2)		2	2	0		5	20	45									invsml		shie,tier	0	-1
e20	Wolf Head (6)		2	2	0		23	152	0									invdr1		pelt,tier		5
k18	Coronet (5)		2	2	0		20	0	122									invci1		circ,tier		-1
9@K	Cervelliere (3)		2	2	0		11	82	0									invfhlu		azhm,tier		0
@06	Scale Mail (Sacred)		2	3	0		30	525	0									invscl		qtor		-1
27!	Bull Shield (6)		2	4	0		23	67	149									invgtsu		basd,tier	0	4
835	Scale Mail (6)		2	3	0		23	276	0									invscl		tors,tier		-1
732	Light Plated Boots (3)		2	2	0		12	126	0									invtbt		boot,tier		-1
e17	Unraveller Head (5)		2	2	0		20	0	106									invne3		head,tier	0	2
5@I	Banded Plate (2)		2	3	0		10	0	132									invfulu		stor,tier		1
731	Chain Boots (3)		2	2	0		11	93	0									invmbt		boot,tier		-1
9@N	Aspis (2)		2	3	0		7	44	86									invxrgu		ishd,tier	0	6
@57	Targe (Sacred)		2	2	0		30	0	437									invpa1		qaur	0	3
w43	Aerin Shield (2)		2	4	0		8	52	0									invpa4		ashd,tier	0	3
@07	Chain Mail (Sacred)		2	3	0		30	538	0									invchn		qtor		-1
k11	Tiara (3)		2	2	0		12	0	61									invci2		circ,tier		-1
25!	Bull Shield (4)		2	4	0		15	32	71									invgtsu		basd,tier	0	4
w81	Rondache (4)		2	2	0		15	0	63									invpa2		ashd,tier	0	3
e21	Hawk Helm (6)		2	2	0		24	238	0									invdr2		pelt,tier		5
9@H	Kazarghand (4)		2	3	0		16	0	168									invxaru		stor,tier		1
k21	Circlet (6)		2	2	0		24	0	147									invci0		circ,tier		-1
@04	Studded Leather (Sacred)		2	3	0		30	499	0									invstu		qtor		-1
3@H	Lamellar Armor (5)		2	3	0		19	0	137									invxrss		stor,tier		1
k13	Circlet (4)		2	2	0		15	0	64									invci0		circ,tier		-1
w48	Gargoyle Head (2)		2	2	0		8	0	44									invne4		head,tier	0	2
w70	Wolf Head (4)		2	2	0		14	72	0									invdr1		pelt,tier		5
618	Full Helm (1)		2	2	0		3	53	0									invfhl		helm,tier		-1
7@J	Ceremonial Armor (6)		2	3	0		27	0	622									invaaru		stor,tier		1
w77	Horned Helm (4)		2	2	0		16	170	0									invba3		phlm,tier		4
w21	Rondache (1)		2	2	0		2	0	20									invpa2		ashd,tier	0	3
w95	Jawbone Cap (5)		2	2	0		18	116	0									invba1		phlm,tier		4
617	Helm (1)		2	2	0		2	39	0									invhlm		helm,tier		-1
w97	Horned Helm (5)		2	2	0		20	245	0									invba3		phlm,tier		4
838	Splint Mail (6)		2	3	0		24	391	0									invspl		tors,tier		-1
w65	Preserved Head (3)		2	2	0		10	0	23									invne1		head,tier	0	2
k09	Circlet (3)		2	2	0		11	0	41									invci0		circ,tier		-1
k15	Tiara (4)		2	2	0		17	0	96									invci2		circ,tier		-1
1@Q	Bladed Shield (Sacred)		2	3	0		30	0	550									invxpku		sisd	0	6
w15	Jawbone Cap (1)		2	2	0		1	26	0									invba1		phlm,tier		4
686	Light Plated Boots (2)		2	2	0		7	87	0									invtbt		boot,tier		-1
607	Breast Plate (1)		2	3	0		2	55	0									invbrs		tors,tier		-1
743	Scale Mail (4)		2	3	0		15	131	0									invscl		tors,tier		-1
697	Scale Mail (3)		2	3	0		10	90	0									invscl		tors,tier		-1
761	Large Shield (4)		2	3	0		15	67	137									invlrg		shie,tier	0	-1
w38	Assault Helmet (2)		2	2	0		8	101	0									invba4		phlm,tier		4
