#index	name
0	Seraph
1	Rathma Priest
2	Rathma Priest
3	Burning Dead
4	Horror
5	Zombie
6	Hungry Dead
7	Ghoul
8	Drowned Carcass
9	Plague Bearer
10	Afflicted
11	Tainted
12	Misshapen
13	Disfigured
14	Damned
15	Foul Crow
16	Blood Hawk
17	Black Raptor
18	Cloud Stalker
19	Fallen One
20	Invader
21	Defiler
22	Scourge
23	Scourge
24	Brute
25	Yeti
26	Crusher
27	Wailing Beast
28	Gargantuan Beast
29	Sand Raider
30	Savage Wolf
31	Invader
32	Infidel
33	Assailant
34	FLYING POLAR BUFFALO ERROR
35	FLYING POLAR BUFFALO ERROR
36	FLYING POLAR BUFFALO ERROR
37	FLYING POLAR BUFFALO ERROR
38	Ghost
39	Wraith
40	Specter
41	Apparition
42	Dark Shape
43	Dark Hunter
44	Vile Hunter
45	Dark Stalker
46	Black Rogue
47	Flesh Hunter
48	Dune Beast
49	Rock Dweller
50	Jungle Hunter
51	Doom Ape
52	Temple Guard
53	Moon Clan
54	Night Clan
55	Blood Clan
56	Hell Clan
57	Death Clan
58	Fallen Shaman
59	Invader Shaman
60	Defiler Shaman
61	Scourge Shaman
62	Scourge Shaman
63	Quill Rat
64	Spike Fiend
65	Thorn Beast
66	Razor Spine
67	Bush Barb
68	Sand Maggot
69	Rock Worm
70	Devourer
71	Giant Lamprey
72	Blood Maggot
73	Tomb Viper
74	Claw Viper
75	Salamander
76	Pit Viper
77	Serpent Magus
78	Sand Leaper
79	Cave Leaper
80	Tomb Creeper
81	Tree Lurker
82	Cliff Lurker
83	Huntress
84	Saber Cat
85	Night Tiger
86	Hell Cat
87	Itchies
88	Black Locusts
89	Plague Bugs
90	Hell Swarm
91	Dung Soldier
92	Death Beetle
93	Scarab
94	Steel Scarab
95	Bone Scarab
96	Dried Corpse
97	Decayed
98	Embalmed
99	Preserved Dead
100	Cadaver
101	Hollow One
102	Guardian
103	Unraveler
104	Horadrim Ancient
105	Unraveler
106	FLYING POLAR BUFFALO ERROR
107	FLYING POLAR BUFFALO ERROR
108	FLYING POLAR BUFFALO ERROR
109	FLYING POLAR BUFFALO ERROR
110	Carrion Bird
111	Undead Scavenger
112	Hell Buzzard
113	Winged Nightmare
114	Sucker
115	Feeder
116	Blood Hook
117	Blood Wing
118	Gloam
119	Swamp Ghost
120	Burning Soul
121	Black Soul
122	Arach
123	Sand Fisher
124	Poison Spinner
125	Flame Spider
126	Spider Magus
127	Thorned Hulk
128	Bramble Hulk
129	Thrasher
130	Spikefist
131	Ghoul Lord
132	Night Lord
133	Dark Lord
134	Blood Lord
135	The Banished
136	Desert Wing
137	Fiend
138	Gloombat
139	Blood Diver
140	Dark Familiar
141	Jungle Hunter
142	Tree Hunter
143	Jungle Devil
144	Blood Hunter
145	Slayer
146	Deckard Cain
147	Gheed
148	Akara
149	FLYING POLAR BUFFALO ERROR
150	Kashya
151	FLYING POLAR BUFFALO ERROR
152	FLYING POLAR BUFFALO ERROR
153	FLYING POLAR BUFFALO ERROR
154	Charsi
155	Warriv
156	Andariel
157	FLYING POLAR BUFFALO ERROR
158	FLYING POLAR BUFFALO ERROR
159	FLYING POLAR BUFFALO ERROR
160	Dark Ranger
161	Vile Archer
162	Dark Archer
163	Black Archer
164	Flesh Archer
165	Dark Spearwoman
166	Vile Lancer
167	Dark Lancer
168	Black Lancer
169	Flesh Lancer
170	Skeleton Archer
171	Returned Archer
172	Bone Archer
173	Burning Dead Archer
174	Horror Archer
175	Warriv
176	Atma
177	Drognan
178	Fara
179	FLYING POLAR BUFFALO ERROR
180	Sand Maggot Young
181	Rock Worm Young
182	Devourer Young
183	Giant Lamprey Young
184	Blood Maggot Young
185	FLYING POLAR BUFFALO ERROR
186	Blunderbore
187	Gorebelly
188	Mauler
189	Urdar
190	Sand Maggot Egg
191	Rock Worm Egg
192	Devourer Egg
193	Giant Lamprey Egg
194	Blood Maggot Egg
195	FLYING POLAR BUFFALO ERROR
196	FLYING POLAR BUFFALO ERROR
197	FLYING POLAR BUFFALO ERROR
198	Greiz
199	Elzix
200	Geglash
201	Jerhyn
202	Lysander
203	FLYING POLAR BUFFALO ERROR
204	FLYING POLAR BUFFALO ERROR
205	FLYING POLAR BUFFALO ERROR
206	Foul Crow Nest
207	Blood Hawk Nest
208	Black Raptor Nest
209	Cloud Stalker Nest
210	Meshif
211	Duriel
212	Undead Rat Man
213	Undead Fetish
214	Undead Flayer
215	Undead Soul Killer
216	Magineer
217	Seal of Frost
218	Seal of Hell
219	Seal of Wizardry
220	Seal of Stone
221	Seal of Electrum
222	FLYING POLAR BUFFALO ERROR
223	FLYING POLAR BUFFALO ERROR
224	FLYING POLAR BUFFALO ERROR
225	FLYING POLAR BUFFALO ERROR
226	FLYING POLAR BUFFALO ERROR
227	Maggot
228	Mummy Sarcophagus
229	Radament
230	FLYING POLAR BUFFALO ERROR
231	FLYING POLAR BUFFALO ERROR
232	FLYING POLAR BUFFALO ERROR
233	FLYING POLAR BUFFALO ERROR
234	Flying Scimitar
235	Zakarumite
236	Faithful
237	Zealot
238	Sexton
239	Cantor
240	Heirophant
241	Heirophant
242	Mephisto
243	Diablo
244	Deckard Cain
245	Deckard Cain
246	Deckard Cain
247	Swamp Dweller
248	Bog Creature
249	Slime Prince
250	The Summoner
251	Tyrael
252	Asheara
253	Hratli
254	Alkor
255	Ormus
256	Izual
257	Halbu
258	Water Watcher
259	River Stalker
260	Stygian Watcher
261	Water Watcher
262	River Stalker
