#code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat
0	200	11		11	1,2,3	to all Attributes	to all Attributes		to Strength	to Strength		1	90	1	1	1	1		strength
1	200	11		11	0,2,3	to all Attributes	to all Attributes		to Energy	to Energy		1	87	1	1	1	1		energy
2	200	11		11	0,1,3	to all Attributes	to all Attributes		to Dexterity	to Dexterity		1	89	1	1	1	1		dexterity
3	200	11		11	0,1,2	to all Attributes	to all Attributes		to Vitality	to Vitality		1	88	1	1	1	1		vitality
4				11															statpts
5				9															newskills
6				21															hitpoints
7	500	12		21					to Life	to Life		1	79	1					maxhp
8				21															mana
9	500	12		21					to Mana	to Mana		1	77	1					maxmana
10				21															stamina
11	150	10		21					Maximum Stamina	Maximum Stamina		1	73	1					maxstamina
12				8															level
13				32															experience
14				25															gold
15				25															goldbank
16	823	10							Enhanced Defense	Enhanced Defense		4	95	1					item_armor_percent
17	823	10							Enhanced Maximum Damage	Enhanced Maximum Damage		3	179	0					item_maxdamage_percent
18	823	10							Enhanced Minimum Damage	Enhanced Minimum Damage		3	180	0					item_mindamage_percent
19		10							to Attack Rating	to Attack Rating		1	164	1					tohit
20	10	5							Base Block Chance	Base Block Chance		2	196	1					toblock
21	0	11							to Minimum Damage	to Minimum Damage		1	172	1					mindamage
22	0	11							to Maximum Damage	to Maximum Damage		1	171	1					maxdamage
23	0	11							to Minimum Damage	to Minimum Damage		1	124	1					secondary_mindamage
24	0	11							to Maximum Damage	to Maximum Damage		1	123	1					secondary_maxdamage
25	500	11							Enhanced Weapon Damage	Enhanced Weapon Damage		4	123	2					damagepercent
26	0	10																	manarecovery
27	100	9							Regenerate Mana	Regenerate Mana		4	74	2					manarecoverybonus
28	0	10							Heal Stamina Plus	Heal Stamina Plus		2	72	2					staminarecoverybonus
31	500	16							Defense	Defense		1	93	1					armorclass
32	0	13							Defense vs. Missile	Defense vs. Missile		1	92	1					armorclass_vs_missile
33	0	13							Defense vs. Melee	Defense vs. Melee		1	92	1					armorclass_vs_hth
34	100	9							Physical Damage Reduced by	Physical Damage Reduced by		3	52	2					normal_damage_reduction
35	100	9							Elemental/Magic Damage Reduced by	Elemental/Magic Damage Reduced by		3	51	2					magic_damage_reduction
36	100	8							Physical Resist	Physical Resist		2	53	2					damageresist
37	100	8							Magic Resist	Magic Resist		4	65	2					magicresist
38	20	7							Maximum Magic Resist	Maximum Magic Resist		4	70	1					maxmagicresist
39	100	8			41,43,45	Elemental Resists	Elemental Resists		Fire Resist	Fire Resist		4	64	2	2	4	2		fireresist
40	20	7			42,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Fire Resist	Maximum Fire Resist		4	69	2	7	4	2		maxfireresist
41	100	8			39,43,45	Elemental Resists	Elemental Resists		Lightning Resist	Lightning Resist		4	63	2	2	4	2		lightresist
42	20	7			40,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Lightning Resist	Maximum Lightning Resist		4	68	2	7	4	2		maxlightresist
43	100	8			39,41,45	Elemental Resists	Elemental Resists		Cold Resist	Cold Resist		4	62	2	2	4	2		coldresist
44	20	7			40,42,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Cold Resist	Maximum Cold Resist		4	67	2	7	4	2		maxcoldresist
45	100	8			39,41,43	Elemental Resists	Elemental Resists		Poison Resist	Poison Resist		4	61	2	2	4	2		poisonresist
46	20	7			40,42,44	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Poison Resist	Maximum Poison Resist		4	66	2	7	4	2		maxpoisonresist
48	0	12							to Minimum Fire Damage	to Minimum Fire Damage		1	156	1					firemindam
49	0	12							to Maximum Fire Damage	to Maximum Fire Damage		1	155	1					firemaxdam
50	0	12							to Minimum Lightning Damage	to Minimum Lightning Damage		1	154	1					lightmindam
51	0	12							to Maximum Lightning Damage	to Maximum Lightning Damage		1	153	1					lightmaxdam
52	0	12							to Minimum Magic Damage	to Minimum Magic Damage		1	158	1					magicmindam
53	0	12							to Maximum Magic Damage	to Maximum Magic Damage		1	157	1					magicmaxdam
54	0	12							to Minimum Cold Damage	to Minimum Cold Damage		1	152	1					coldmindam
55	0	12							to Maximum Cold Damage	to Maximum Cold Damage		1	151	1					coldmaxdam
56	0	9																	coldlength
57	0	14							to Minimum Poison Damage	to Minimum Poison Damage		1	150	1					poisonmindam
58	0	14							to Maximum Poison Damage	to Maximum Poison Damage		1	147	1					poisonmaxdam
59	0	9																	poisonlength
60	0	7							Life stolen per Hit	Life stolen per Hit		2	144	1					lifedrainmindam
62	0	7							Mana stolen per Hit	Mana stolen per Hit		2	143	1					manadrainmindam
64	0	7							Stamina stolen per Hit	Stamina stolen per Hit		2	145	1					stamdrainmindam
66	0	10							Stun Attack	Stun Attack		3	142	0					stunlength
67	50	9																	velocitypercent
68	50	9																	attackrate
71	100	8																	value
72	150	9																	durability
73	90	9																	maxdurability
