#code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat
0	100	13		13	1,2,3	to all Attributes	to all Attributes		to Strength	to Strength		1	72	1	1	1	1		strength
1	100	13		13	0,2,3	to all Attributes	to all Attributes		to Energy	to Energy		1	66	1	1	1	1		energy
2	100	13		13	0,1,3	to all Attributes	to all Attributes		to Dexterity	to Dexterity		1	70	1	1	1	1		dexterity
3	100	13		13	0,1,2	to all Attributes	to all Attributes		to Vitality	to Vitality		1	68	1	1	1	1		vitality
4				11															statpts
5				9															newskills
6				21															hitpoints
7	150	11		21					to Life	to Life		1	64	1					maxhp
8				21															mana
9	150	11		21					to Mana	to Mana		1	60	1					maxmana
10				21															stamina
11	150	10		21					Maximum Stamina	Maximum Stamina		1	56	1					maxstamina
12				8															level
13				32															experience
14				25															gold
15				25															goldbank
16	823	10							Enhanced Defense	Enhanced Defense		4	79	1					item_armor_percent
17	823	10							Enhanced Maximum Damage	Enhanced Maximum Damage		3	134	0					item_maxdamage_percent
18	823	10							Enhanced Minimum Damage	Enhanced Minimum Damage		3	135	0					item_mindamage_percent
19		10							to Attack Rating	to Attack Rating		1	120	1					tohit
20	257	9							Base Block Chance	Base Block Chance		2	139	1					toblock
21	0	11							to Minimum Damage	to Minimum Damage		1	132	1					mindamage
22	0	11							to Maximum Damage	to Maximum Damage		1	131	1					maxdamage
23	0	11							to Minimum Damage	to Minimum Damage		1	129	1					secondary_mindamage
24	0	11							to Maximum Damage	to Maximum Damage		1	128	1					secondary_maxdamage
25	50	10							Reduced Weapon Damage	Enhanced Weapon Damage		4	85	2					damagepercent
26	0	10																	manarecovery
27	100	9							Regenerate Mana	Regenerate Mana		4	57	2					manarecoverybonus
28	0	10							Heal Stamina Plus	Heal Stamina Plus		2	53	2					staminarecoverybonus
31	500	16							Defense	Defense		1	76	1					armorclass
32	250	12							Defense vs. Missile	Defense vs. Missile		1	74	1					armorclass_vs_missile
33	0	12							Defense vs. Melee	Defense vs. Melee		1	75	1					armorclass_vs_hth
34	110	10							Physical Damage Reduced by	Physical Damage Reduced by		3	27	2					normal_damage_reduction
35	30	10							Elemental/Magic Damage Reduced by	Elemental/Magic Damage Reduced by		3	26	2					magic_damage_reduction
36	100	10							Physical Resist	Physical Resist		2	27	2					damageresist
37	100	8							Magic Resist	Magic Resist		4	46	2					magicresist
38	100	8							Maximum Magic Resist	Maximum Magic Resist		4	51	1					maxmagicresist
39	100	8			41,43,45	Elemental Resists	Elemental Resists		Fire Resist	Fire Resist		4	41	2	2	4	2		fireresist
40	100	8			42,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Fire Resist	Maximum Fire Resist		4	47	2	7	4	2		maxfireresist
41	100	8			39,43,45	Elemental Resists	Elemental Resists		Lightning Resist	Lightning Resist		4	43	2	2	4	2		lightresist
42	100	8			40,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Lightning Resist	Maximum Lightning Resist		4	47	2	7	4	2		maxlightresist
43	100	8			39,41,45	Elemental Resists	Elemental Resists		Cold Resist	Cold Resist		4	45	2	2	4	2		coldresist
44	100	8			40,42,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Cold Resist	Maximum Cold Resist		4	47	2	7	4	2		maxcoldresist
45	100	8			39,41,43	Elemental Resists	Elemental Resists		Poison Resist	Poison Resist		4	39	2	2	4	2		poisonresist
46	100	8			40,42,44	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Poison Resist	Maximum Poison Resist		4	47	2	7	4	2		maxpoisonresist
48	0	12							to Minimum Fire Damage	to Minimum Fire Damage		1	107	1					firemindam
49	0	12							to Maximum Fire Damage	to Maximum Fire Damage		1	106	1					firemaxdam
50	0	12							to Minimum Lightning Damage	to Minimum Lightning Damage		1	104	1					lightmindam
51	0	12							to Maximum Lightning Damage	to Maximum Lightning Damage		1	103	1					lightmaxdam
52	0	12							+%d magic damage	+%d magic damage		1	109	1					magicmindam
53	0	12							+%d magic damage	+%d magic damage		1	108	1					magicmaxdam
54	0	12							to Minimum Cold Damage	to Minimum Cold Damage		1	101	1					coldmindam
55	0	12							to Maximum Cold Damage	to Maximum Cold Damage		1	100	1					coldmaxdam
56	0	10																	coldlength
57	0	14							to Minimum Poison Damage	to Minimum Poison Damage		1	99	1					poisonmindam
58	0	14							to Maximum Poison Damage	to Maximum Poison Damage		1	98	1					poisonmaxdam
59	0	12																	poisonlength
60	0	10							Life stolen per Hit	Life stolen per Hit		2	93	1					lifedrainmindam
62	0	10							Mana stolen per Hit	Mana stolen per Hit		2	94	1					manadrainmindam
64	0	10							Stamina stolen per Hit	Stamina stolen per Hit		2	95	1					stamdrainmindam
66	0	10							Stun Attack	Stun Attack		3	93	0					stunlength
67	20	10																	velocitypercent
68	20	10																	attackrate
71	100	8																	value
72	150	10																	durability
73	90	10																	maxdurability
74	1000	15							Life Regenerated per Second	Life Regenerated per Second		32	61	1					hpregen
75	100	10							Durability	Durability		2	9	2					item_maxdurability_percent
76	100	10			77	Increase Maximum Life and Mana	Increase Maximum Life and Mana		Decrease Maximum Life	Maximum Life		2	63	2	10	2	2		item_maxhp_percent
77	100	10			76	Increase Maximum Life and Mana	Increase Maximum Life and Mana		Maximum Mana	Maximum Mana		2	59	2	10	2	2		item_maxmana_percent
78	0	10							Attacker Takes Damage of	Attacker Takes Damage of		3	18	2					item_attackertakesdamage
79	100	9							Gold Find	Gold Find		2	15	1					item_goldbonus
80	100	9							Magic Find	Magic Find		2	13	1					item_magicbonus
81	0	2							Knockback	Knockback		3	81	0					item_knockback
82	20	9																	item_timeduration
83	0	4							to Amazon Skill Levels	to Amazon Skill Levels		13	155	1				3	item_addclassskills
85	25	8							to Experience Gained	to Experience Gained		4	16	1					item_addexperience
