#index	item	set	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
127	Frost	Pantheon	100																																									
128	Water	Pantheon	100																																									
129	Heaven	Pantheon	100																																									
130	Earth	Pantheon	100																																									
131	Fire	Pantheon	100																																									
132	Celestia's Charge	Celestia's Myth	100																																									
133	Celestia's Ribbon	Celestia's Myth	100																																									
134	Celestia's Glory	Celestia's Myth	100																																									
135	Celestia's Wings	Celestia's Myth	100																																									
136	Celestia's Passion	Celestia's Myth	100																																									
137	Vasily's Moonwalkers	Vasily's Following	100																																									
138	Vasily's Crescent	Vasily's Following	100																																									
139	Vasily's Shepherd Moon	Vasily's Following	100																																									
140	Vasily's Eclipse	Vasily's Following	100																																									
141	Vasily's Falling Star	Vasily's Following	100																																									
142	Red Vex' Sin	Red Vex' Embrace	100																																									
143	Red Vex' Curse	Red Vex' Embrace	100																																									
144	Red Vex' Mantle	Red Vex' Embrace	100																																									
145	Red Vex' Idol	Red Vex' Embrace	100																																									
146	Red Vex' Flayer	Red Vex' Embrace	100																																									
147	Witchhunter's Rope	Witchhunter's Attire	100																																									
148	Witchhunter's Hood	Witchhunter's Attire	100																																									
149	Witchhunter's Faith	Witchhunter's Attire	100																																									
150	Witchhunter's Crucifix	Witchhunter's Attire	100																																									
151	Witchhunter's Fire	Witchhunter's Attire	100																																									
152	Serpent's Tail	The Snake Pit	100																																									
153	Serpent's Coil	The Snake Pit	100																																									
154	Serpent's Tongue	The Snake Pit	100																																									
155	Serpent's Scales	The Snake Pit	100																																									
156	Serpent's Fangs	The Snake Pit	100																																									
157	Tracker's Runeward	Creed	100																																									
158	Tracker's Totem	Creed	100																																									
159	Tracker's Stealth	Creed	100																																									
160	Tracker's Effigy	Creed	100																																									
161	Tracker's Strike	Creed	100																																									
162	Vizjun's Progress	Vizjun's Devices	100																																									
163	Vizjun's Foresight	Vizjun's Devices	100																																									
164	Vizjun's Engine	Vizjun's Devices	100																																									
165	Vizjun's Monitor	Vizjun's Devices	100																																									
166	Vizjun's Science	Vizjun's Devices	100																																									
167	Crane's Reach	Gathering of the Tribes	100																																									
168	Snake's Battle Chant	Gathering of the Tribes	100																																									
169	Wolf's Fang	Gathering of the Tribes	100																																									
170	Bear's Warding	Gathering of the Tribes	100																																									
171	The Coming Storm	Gathering of the Tribes	100																																									
172	Rockslide	Mount Arreat	100																																									
173	Ravine	Mount Arreat	100																																									
174	Avalanche	Mount Arreat	100																																									
175	Snowstorm	Mount Arreat	100																																									
176	Eruption	Mount Arreat	100																																									
177	Hunter's Trackless Step	Big Game Hunter	100																																									
178	Hunter's Trophy	Big Game Hunter	100																																									
179	Hunter's Skin	Big Game Hunter	100																																									
180	Hunter's Camouflage	Big Game Hunter	100																																									
181	Hunter's Claw Fist	Big Game Hunter	100																																									
182	The Defender	Spirits of the Nephalem	100																																									
183	The Protector	Spirits of the Nephalem	100																																									
184	The Guardian	Spirits of the Nephalem	100																																									
185	Destiny	Spirits of the Nephalem	100																																									
186	Sacred Charge	Spirits of the Nephalem	100																																									
187	Nature's Grasp	Caoi Dulra	100																																									
188	Nature's Embrace	Caoi Dulra	100																																									
189	Nature's Vigil	Caoi Dulra	100																																									
190	Nature's Will	Caoi Dulra	100																																									
191	Nature's Wrath	Caoi Dulra	100																																									
192	MREmerald Growth2	Rainbow Warrior	100																																									
193	MREmerald Sky2	Rainbow Warrior	100																																									
194	MREmerald Cloud2	Rainbow Warrior	100																																									
195	MREmerald Earth2	Rainbow Warrior	100																																									
196	MREmerald Flower2	Rainbow Warrior	100																																									
197	Lone Wolf's Track	Lone Wolf's Path	100																																									
198	Lone Wolf's Claws	Lone Wolf's Path	100																																									
199	Lone Wolf's Gaze	Lone Wolf's Path	100																																									
200	Lone Wolf's Fur	Lone Wolf's Path	100																																									
201	Lone Wolf's Maul	Lone Wolf's Path	100																																									
202	MRScosglen's Legends2	Sacred Earth	100																																									
203	MRScosglen's History2	Sacred Earth	100																																									
204	MRScosglen's Tales2	Sacred Earth	100																																									
205	MRScosglen's Fables2	Sacred Earth	100																																									
206	MRScosglen's Myths2	Sacred Earth	100																																									
207	Rathma's Chase	Rathma's Empire	100																																									
208	Rathma's Trap	Rathma's Empire	100																																									
209	Rathma's Death Gaze	Rathma's Empire	100																																									
210	Rathma's Skeleton	Rathma's Empire	100																																									
211	Rathma's Tyranny	Rathma's Empire	100																																									
212	Towerlord's Bombards	Ivory Tower	100																																									
213	Towerlord's Gargoyle	Ivory Tower	100																																									
214	Towerlord's Spire	Ivory Tower	100																																									
215	Towerlord's Bell	Ivory Tower	100																																									
216	Towerlord's Weathervane	Ivory Tower	100																																									
217	Achilios' Stealth	Achilios' Wake	100																																									
