#index	item	rlvl	image
0	Amulet of the Viper	0	
1	Staff of Kings	0	
2	Horadric Staff	15	
3	Hell Forge Hammer	20	
4	Khalim's Flail	15	
5	Khalim's Will	20	
6	\gold;I Am Rich	0	
7	\gold;Sunstone of the Twin Seas	50	
8	(Amazon Challenge Item)\nSacred Sunstone	90	
9	(Assassin Challenge Item)\nShadow Vortex	90	
10	(Barbarian Challenge Item)\nWorldstone Orb	90	
11	(Druid Challenge Item)\nCaoi Dulra Fruit	90	
12	(Necromancer Challenge Item)\nSoulstone Shard	90	
13	(Paladin Challenge Item)\nEye of Divinity	90	
14	(Sorceress Challenge Item)\nNexus Crystal	90	
15	Corrupted Wormhole	100	
16	Optical Detector	105	
17	Laser Focus Crystal	105	
18	The Butcher's Tooth	105	
19	\gold;Six Angel Bag	105	
20	Visions of Akarat	110	akaratbook
21	Scroll of Kings	110	
22	Sacred Worldstone Key	110	
23	Horazon's Focus	110	
24	Moon of the Spider	110	
25	Azmodan's Heart	115	
26	Idol of Vanity	115	
27	Legacy of Blood	115	
28	Sunstone of the Gods	115	
29	Zakarum's Ear	115	
30	Spirit Trance Herb	115	
31	Hammer of the Taan Judges	115	
32	The Black Road	115	
33	Moo moo moo Moooo! Moo!\nFool's Gold	115	
34	Silver Seal of Ureh	120	
35	Crystalline Flame Medallion	120	
36	Eternal Bone Pile	120	
37	By Robert Marks\nDemonsbane	120	demonsbaneZ
38	Weather Control	120	
39	Lylia's Curse	125	
40	Umbaru Treasure	120	
41	Soul of Kabraxis	120	
42	Golden Cycle	120	
43	\grey;Quest Item\n\gold;Tome of Possession	120	
44	Astrogha's Venom Stinger	125	
45	The Book of Lies	125	
46	Cold Fusion Schematics	125	coldfusion
47	Dragon Claw	125	
48	The Sleep	125	
49	The Ancient Repositories	125	
50	Xazax's Illusion	125	
51	The Glorious Book of Median	130	bookoflaz
52	Rathma's Supremacy	130	
53	\gold;Neutrality Pact	130	
54	Vial of Elder Blood	135	
55	''The Worst Beta I've Been In''	1	
56	Spirit of Creation	120	
57	'The Last Man Standing'\nEvent Award:	0	
58	Placeholder	0	
59	Placeholder	0	
60	Placeholder	0	
61	Placeholder	0	
62	Placeholder	0	
63	Akara's Robe	10	invxtuu
64	Akara's Robe	50	invxtuu
65	Akara's Robe	80	invxtuu
66	Ring of the Five	100	Ring08
67	Assur's Bane	100	Ring08
68	\gold;Ring of Pride	0	invrinquest
69	Quest Ring\nSigil of the 7 Deadly Sins	130	invrinquest
70	\gold;(Secret)\nValkyrie's Prime	110	
71	Maleficence	125	
72	Desolation	125	
73	Despondence	125	
74	Celestial Sigil	125	invamu
75	Catechumen	7	
76	Catechumen	25	
77	Catechumen	42	
78	Catechumen	51	
79	Queen of Glass	11	
80	Queen of Glass	30	
81	Queen of Glass	47	
82	Queen of Glass	54	
83	Vindicatress	8	
84	Vindicatress	26	
85	Vindicatress	45	
86	Vindicatress	54	
87	Nymph's Grace	6	
88	Nymph's Grace	23	
89	Nymph's Grace	41	
90	Nymph's Grace	49	
91	Bathos	6	
92	Bathos	24	
93	Bathos	41	
94	Bathos	50	
95	Thunderdome	8	
96	Thunderdome	25	
97	Thunderdome	43	
98	Thunderdome	51	
99	The Sightless Eye	1	
100	The Sightless Eye	19	
101	The Sightless Eye	36	
102	The Sightless Eye	45	
103	Spirit Teacher's Headdress	10	
104	Spirit Teacher's Headdress	28	
105	Spirit Teacher's Headdress	46	
106	Spirit Teacher's Headdress	54	
107	The Lumberjack	3	
108	The Lumberjack	22	
109	The Lumberjack	40	
110	The Lumberjack	49	
111	Wolfpack	6	
112	Wolfpack	25	
113	Wolfpack	43	
114	Wolfpack	53	
115	Rockshatter	6	
116	Rockshatter	24	
117	Rockshatter	43	
118	Rockshatter	53	
119	Ironsleet	7	
120	Ironsleet	26	
121	Ironsleet	44	
122	Ironsleet	54	
123	Wisdom's Wrap	12	
124	Wisdom's Wrap	29	
125	Wisdom's Wrap	47	
126	Wisdom's Wrap	55	
127	Addertongue	6	
128	Addertongue	24	
129	Addertongue	43	
130	Addertongue	52	
131	Skullhammer	5	
132	Skullhammer	24	
133	Skullhammer	42	
134	Skullhammer	51	
135	The Covenant	6	
136	The Covenant	25	
137	The Covenant	43	
138	The Covenant	52	
139	Aerin Orbiter	5	
140	Aerin Orbiter	22	
141	Aerin Orbiter	40	
142	Aerin Orbiter	48	
143	Skull Lord	6	
144	Skull Lord	24	
145	Skull Lord	41	
146	Skull Lord	50	
147	Clawscratch	10	
148	Clawscratch	28	
149	Clawscratch	47	
150	Clawscratch	54	
151	Leoric's Legion	8	
152	Leoric's Legion	25	
153	Leoric's Legion	43	
154	Leoric's Legion	52	
155	Arihan's End	11	
156	Arihan's End	29	
157	Arihan's End	49	
158	Arihan's End	57	
159	Auto Da Fe	4	
160	Auto Da Fe	22	
161	Auto Da Fe	41	
162	Auto Da Fe	50	
163	Stillwater	10	
164	Stillwater	27	
165	Stillwater	45	
166	Stillwater	54	
167	The Wailing Wall	5	
168	The Wailing Wall	23	
169	The Wailing Wall	40	
170	The Wailing Wall	49	
171	Talon's Reach	6	
172	Talon's Reach	26	
173	Talon's Reach	47	
174	Talon's Reach	57	
175	Fateweaver	5	
176	Fateweaver	23	
177	Fateweaver	42	
178	Fateweaver	51	
179	Rabbit's Foot	1	
180	Rabbit's Foot	17	
181	Rabbit's Foot	34	
182	Rabbit's Foot	43	
183	Shieldcracker	5	
184	Shieldcracker	23	
185	Shieldcracker	42	
186	Shieldcracker	51	
187	Werecat	5	
188	Werecat	23	
189	Werecat	40	
190	Werecat	50	
191	Jackal's Hunger	3	
192	Jackal's Hunger	22	
193	Jackal's Hunger	40	
194	Jackal's Hunger	49	
195	Raptor Beak	6	
196	Raptor Beak	25	
197	Raptor Beak	44	
198	Raptor Beak	53	
199	The Breaking Wheel	7	
200	The Breaking Wheel	24	
201	The Breaking Wheel	42	
202	The Breaking Wheel	51	
203	Uldyssian's Legion	9	
204	Uldyssian's Legion	27	
205	Uldyssian's Legion	46	
206	Uldyssian's Legion	55	
207	Razordisk	1	
208	Razordisk	17	
209	Razordisk	35	
210	Razordisk	43	
211	Golden Fleece	3	
212	Golden Fleece	21	
213	Golden Fleece	38	
214	Golden Fleece	47	
215	The Jester	1	invjester
216	The Jester	17	invjester
217	The Jester	35	invjester
218	The Jester	44	invjester
219	Wedding Dress of the Zann	12	
220	Wedding Dress of the Zann	31	
221	Wedding Dress of the Zann	48	
222	Wedding Dress of the Zann	55	
223	Snakehair	5	
224	Snakehair	23	
225	Snakehair	40	
226	Snakehair	49	
227	Hellfeast	5	
228	Hellfeast	24	
229	Hellfeast	42	
230	Hellfeast	52	
231	Lionpaw	4	
232	Lionpaw	22	
233	Lionpaw	39	
234	Lionpaw	48	
235	Featherclaw	5	
236	Featherclaw	22	
