#code	equiv	varImages	name
2hax	axe		2h axe
s2ha	2hax,ct2w		2h axe (Sacred)
2hbx	baxe,2hax		2h barb axe
s2hx	2hbx,ct2w		2h barb axe (Sacred)
2hbs	bswd,2hsd		2h barb sword
s2hb	2hbs,ct2w		2h barb sword (Sacred)
2hsd	swor		2h sword
s2hd	2hsd,ct2w		2h sword (Sacred)
flsh	prsh		Active Shrine (10 Charges)
abow	bow,amaz		Amazon Bow
qabw	abow,ct2w		Amazon Bow (Sacred)
azhm	helm		Amazon Helm
szhm	azhm,ct1a		Amazon Helm (Sacred)
amaz	clas,fbox		Amazon Item
ajav	jave,amaz		Amazon Javelin
qajv	ajav,ct1w		Amazon Javelin (Sacred)
azsd	shie		Amazon Shield
sasz	azsd,ct1a		Amazon Shield (Sacred)
aspe	spea,amaz		Amazon Spear
qasp	aspe,ct2w		Amazon Spear (Sacred)
geml	gem		Amber
gema	gem		Amethyst
amul	riam,hlm1	invamu1,invamu2,invamu3	Amulet
qamu	amul	invamu1,invamu2,invamu3	Amulet (Sacred)
apot	poti		Antidote Potion
armo	myor		Any Armor
shld	armo,seco		Any Shield
tors	armo		Armor
qtor	tors,ct2a		Armor (Sacred)
assn	clas,fbox		Assassin Item
nagi	mele,assn		Assassin Naginata
snag	nagi,ct2w		Assassin Naginata (Sacred)
ishd	shie		Assassin Shield
sisd	ishd,ct1a		Assassin Shield (Sacred)
ashd	shie,pala		Auric Shields
qaur	ashd,ct1a		Auric Shields (Sacred)
axe	mele,dbox		Axe
qaxe	axe,ct1w		Axe (Sacred)
baxe	axe,barb		Barbarian Axe
sbax	baxe,ct1w		Barbarian Axe (Sacred)
barb	clas,fbox		Barbarian Item
basd	shie,barb		Barbarian Shield
saba	basd,ct1a		Barbarian Shield (Sacred)
bswd	swor,barb		Barbarian Sword
sbsd	bswd,ct1w		Barbarian Sword (Sacred)
belt	armo,hlm1		Belt
qblt	belt,ct1a		Belt (Sacred)
gemp	gem		Bloodstone
blun	mele		Blunt
body	misc		Body Part
book	misc		Book
boot	armo,hlm1		Boots
qbot	boot,ct1a		Boots (Sacred)
bow	miss		Bow
qbow	bow,ct2w		Bow (Sacred)
bowq	misl,riam		Bow Quiver
qaqv	qmsl,riam		Bow Quiver (Sacred)
araa	char		Challenge Charm 1
arab	char		Challenge Charm 2
arac	char		Challenge Charm 3
arad	char		Challenge Charm 4
arae	char		Challenge Charm 5
araf	char		Challenge Charm 6
arag	char		Challenge Charm 7
char	misc	invch1,invch4,invch7	Charm
gem0	gem		Chipped Gem
circ	helm		Circlet
qcic	circ,ct1a		Circlet (Sacred)
cloa	tors,assn		Cloak
club	blun,dbox		Club
qclb	club,ct1w		Club (Sacred)
comb	mele,thro		Combo Weapon
ct2x	ssgl		Craft Sacred Major
ct2a	sarm,ct2x		Craft Sacred Major (Armor)
ct2w	swea,ct2x		Craft Sacred Major (Weapon)
ct1x	ssgl		Craft Sacred Minor
ct1a	sarm,ct1x		Craft Sacred Minor (Armor)
ct1w	swea,ct1x		Craft Sacred Minor (Weapon)
xbow	miss		Crossbow
qxbw	xbow,ct2w		Crossbow (Sacred)
xboq	misl,riam		Crossbow Quiver
qcqv	qmsl,riam		Crossbow Quiver (Sacred)
crow	helm		Crown
qcrn	qbhe		Crown (Sacred)
crsd	swor		Crystal Sword
qcrs	crsd,ct1w		Crystal Sword (Sacred)
gemd	gem		Diamond
dbow	bow,dbox		Druid Bow
