#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	strBonus	dexBonus	type	sockettype	class
01!	Athulua's Hand (1)		2	2	0		0	0	21									invxmlu				azsd,tier	0	0
03!	Athulua's Hand (2)		2	2	0		9	0	32									invxmlu				azsd,tier	0	0
05!	Athulua's Hand (3)		2	2	0		18	0	67									invxmlu				azsd,tier	0	0
06!	Athulua's Hand (4)		2	2	0		22	0	139									invxmlu				azsd,tier	0	0
07!	Athulua's Hand (Sacred)		2	2	0		30	0	349									invxmlu				sasz	0	0
08!	Phoenix Shield (1)		2	3	0		4	35	0									invkitu				azsd,tier	0	0
10!	Phoenix Shield (2)		2	3	0		12	70	0									invkitu				azsd,tier	0	0
12!	Phoenix Shield (3)		2	3	0		21	245	0									invkitu				azsd,tier	0	0
13!	Phoenix Shield (4)		2	3	0		26	490	0									invkitu				azsd,tier	0	0
14!	Phoenix Shield (Sacred)		2	3	0		30	700	0									invkitu				sasz	0	0
15!	Setzschild (1)		2	4	0		6	39	0									invutss				azsd,tier	0	0
17!	Setzschild (2)		2	4	0		15	77	0									invutss				azsd,tier	0	0
19!	Setzschild (3)		2	4	0		23	270	0									invutss				azsd,tier	0	0
1@G	Gambeson (1)		2	3	0		1	0	25									invxtuu				stor,tier		1
1@H	Lamellar Armor (2)		2	3	0		11	0	46									invxrss				stor,tier		1
1@I	Kazarghand (3)		2	3	0		20	0	170									invxaru				stor,tier		1
1@J	Banded Plate (Sacred)		2	3	0		30	0	627									invfulu				sstr		1
1@M	Einherjar Helm (4)		2	2	0		25	0	340									invuhms				azhm,tier		0
1@N	Parma (1)		2	2	0		2	27	45									invsmlu				ishd,tier	0	6
1@O	Aspis (2)		2	3	0		12	55	87									invxrgu				ishd,tier	0	6
1@P	Totem Shield (3)		2	3	0		20	0	137									invxshu				ishd,tier	0	6
1@Q	Bladed Shield (Sacred)		2	3	0		30	0	550									invxpku				sisd	0	6
20!	Setzschild (4)		2	4	0		28	539	0									invutss				azsd,tier	0	0
21!	Setzschild (Sacred)		2	4	0		30	770	0									invutss				sasz	0	0
22!	Bull Shield (1)		2	4	0		1	25	23									invgtsu				basd,tier	0	4
24!	Bull Shield (2)		2	4	0		10	50	34									invgtsu				basd,tier	0	4
26!	Bull Shield (3)		2	4	0		19	175	71									invgtsu				basd,tier	0	4
27!	Bull Shield (4)		2	4	0		23	350	149									invgtsu				basd,tier	0	4
28!	Bull Shield (Sacred)		2	4	0		30	500	374									invgtsu				saba	0	4
29!	Bronze Shield (1)		2	2	0		3	30	0									invbucu				basd,tier	0	4
2@I	Kazarghand (4)		2	3	0		25	0	353									invxaru				stor,tier		1
2@J	Ceremonial Armor (1)		2	3	0		6	0	97									invaaru				stor,tier		1
2@K	Morion (2)		2	2	0		9	50	0									invxkpu				azhm,tier		0
2@L	Cervelliere (3)		2	2	0		20	193	0									invfhlu				azhm,tier		0
2@M	Einherjar Helm (Sacred)		2	2	0		30	0	534									invuhms				szhm		0
2@P	Totem Shield (4)		2	3	0		25	0	282									invxshu				ishd,tier	0	6
31!	Bronze Shield (2)		2	2	0		12	60	0									invbucu				basd,tier	0	4
33!	Bronze Shield (3)		2	2	0		21	210	0									invbucu				basd,tier	0	4
34!	Bronze Shield (4)		2	2	0		25	420	0									invbucu				basd,tier	0	4
35!	Bronze Shield (Sacred)		2	2	0		30	600	0									invbucu				saba	0	4
36!	Gilded Shield (1)		2	3	0		7	35	0									invlrgu				basd,tier	0	4
38!	Gilded Shield (2)		2	3	0		15	70	0									invlrgu				basd,tier	0	4
3@G	Gambeson (2)		2	3	0		10	0	37									invxtuu				stor,tier		1
3@H	Lamellar Armor (3)		2	3	0		19	0	96									invxrss				stor,tier		1
3@I	Kazarghand (Sacred)		2	3	0		30	0	550									invxaru				sstr		1
3@L	Cervelliere (4)		2	2	0		24	385	0									invfhlu				azhm,tier		0
3@M	Spangenhelm (1)		2	2	0		5	34	0									invxrnu				azhm,tier		0
3@N	Parma (2)		2	2	0		11	53	67									invsmlu				ishd,tier	0	6
3@O	Aspis (3)		2	3	0		20	193	183									invxrgu				ishd,tier	0	6
3@P	Totem Shield (Sacred)		2	3	0		30	0	527									invxshu				sisd	0	6
40!	Gilded Shield (3)		2	3	0		24	245	0									invlrgu				basd,tier	0	4
41!	Gilded Shield (4)		2	3	0		28	490	0									invlrgu				basd,tier	0	4
42!	Gilded Shield (Sacred)		2	3	0		30	700	0									invlrgu				saba	0	4
43!	Hundsgugel (1)		2	2	0		1	25	0									invhlmu				pzhm,tier		3
45!	Hundsgugel (2)		2	2	0		9	50	0									invhlmu				pzhm,tier		3
47!	Hundsgugel (3)		2	2	0		18	175	0									invhlmu				pzhm,tier		3
48!	Hundsgugel (4)		2	2	0		22	350	0									invhlmu				pzhm,tier		3
49!	Hundsgugel (Sacred)		2	2	0		30	500	0									invhlmu				sphz		3
4@H	Lamellar Armor (4)		2	3	0		24	0	199									invxrss				stor,tier		1
4@I	Banded Plate (1)		2	3	0		6	0	91									invfulu				stor,tier		1
4@J	Ceremonial Armor (2)		2	3	0		15	0	143									invaaru				stor,tier		1
4@K	Morion (3)		2	2	0		18	175	0									invxkpu				azhm,tier		0
4@L	Cervelliere (Sacred)		2	2	0		30	550	0									invfhlu				szhm		0
4@O	Aspis (4)		2	3	0		25	385	378									invxrgu				ishd,tier	0	6
4@P	Bladed Shield (1)		2	3	0		4	0	55									invxpku				ishd,tier	0	6
50!	Blackguard Helm (1)		2	2	0		3	0	29									invbhmu				pzhm,tier		3
52!	Blackguard Helm (2)		2	2	0		12	0	43									invbhmu				pzhm,tier		3
54!	Blackguard Helm (3)		2	2	0		20	0	90									invbhmu				pzhm,tier		3
55!	Blackguard Helm (4)		2	2	0		25	0	187									invbhmu				pzhm,tier		3
56!	Blackguard Helm (Sacred)		2	2	0		30	0	387									invbhmu				sphz		3
5@G	Gambeson (3)		2	3	0		19	0	78									invxtuu				stor,tier		1
5@H	Lamellar Armor (Sacred)		2	3	0		30	0	499									invxrss				sstr		1
5@K	Morion (4)		2	2	0		22	350	0									invxkpu				azhm,tier		0
5@L	Einherjar Helm (1)		2	2	0		3	0	53									invuhms				azhm,tier		0
5@M	Spangenhelm (2)		2	2	0		14	68	0									invxrnu				azhm,tier		0
5@N	Parma (3)		2	2	0		20	184	139									invsmlu				ishd,tier	0	6
5@O	Aspis (Sacred)		2	3	0		30	550	559									invxrgu				sisd	0	6
600	Quilted Armor (1)		2	3	0		0	10	0									invqlt				tors,tier		-1
601	Leather Armor (1)		2	3	0		1	27	0									invlea				tors,tier		-1
602	Hard Leather Armor (1)		2	3	0		1	28	0									invhla				tors,tier		-1
603	Studded Leather (1)		2	3	0		1	28	0									invstu				tors,tier		-1
604	Ring Mail (1)		2	3	0		2	28	0									invrng				tors,tier		-1
605	Scale Mail (1)		2	3	0		2	29	0									invscl				tors,tier		-1
606	Chain Mail (1)		2	3	0		2	30	0									invchn				tors,tier		-1
607	Breast Plate (1)		2	3	0		2	30	0									invbrs				tors,tier		-1
608	Splint Mail (1)		2	3	0		3	30	0									invspl				tors,tier		-1
609	Plate Mail (1)		2	3	0		3	32	0									invplt				tors,tier		-1
610	Field Plate (1)		2	3	0		3	32	0									invfld				tors,tier		-1
611	Light Plate (1)		2	3	0		4	33	0									invltp				tors,tier		-1
612	Gothic Plate (1)		2	3	0		4	34	0									invgth				tors,tier		-1
613	Full Plate Mail (1)		2	3	0		5	35	0									invful				tors,tier		-1
614	Ancient Armor (1)		2	3	0		5	39	0									invaar				tors,tier		-1
615	Cap (1)		2	2	0		0	25	0									invcap				helm,tier		-1
616	Skull Cap (1)		2	2	0		1	28	0									invskp				helm,tier		-1
617	Helm (1)		2	2	0		2	29	0									invhlm				helm,tier		-1
618	Full Helm (1)		2	2	0		3	30	0									invfhl				helm,tier		-1
619	Great Helm (1)		2	2	0		4	36	0									invghm				helm,tier		-1
620	Crown (1)		2	2	0		5	33	0									invcrn				crow,tier		-1
621	Buckler (1)		2	2	0		0	10	17									invbuc				shie,tier	0	-1
622	Small Shield (1)		2	2	0		1	25	31									invsml				shie,tier	0	-1
623	Large Shield (1)		2	3	0		2	27	45									invlrg				shie,tier	0	-1
624	Kite Shield (1)		2	3	0		2	28	59									invkit				shie,tier	0	-1
625	Tower Shield (1)		2	3	0		3	29	73									invtow				shie,tier	0	-1
626	Gothic Shield (1)		2	4	0		5	30	87									invgts				shie,tier	0	-1
627	Sash (1)		2	1	0		0	25	0									invlbl				belt,tier		-1
628	Light Belt (1)		2	1	0		1	26	0									invvbl				belt,tier		-1
629	Belt (1)		2	1	0		2	28	0									invmbl				belt,tier		-1
630	Heavy Belt (1)		2	1	0		3	36	0									invtbl				belt,tier		-1
631	Plated Belt (1)		2	1	0		5	34	0									invhbl				belt,tier		-1
632	Leather Gloves (1)		2	2	0		0	25	0									invlgl				glov,tier		-1
633	Heavy Gloves (1)		2	2	0		1	26	0									invvgl				glov,tier		-1
634	Chain Gloves (1)		2	2	0		2	28	0									invmgl				glov,tier		-1
635	Light Gauntlets (1)		2	2	0		3	30	0									invtgl				glov,tier		-1
636	Gauntlets (1)		2	2	0		5	31	0									invhgl				glov,tier		-1
637	Boots (1)		2	2	0		0	25	0									invlbt				boot,tier		-1
638	Heavy Boots (1)		2	2	0		1	27	0									invvbt				boot,tier		-1
639	Chain Boots (1)		2	2	0		2	29	0									invmbt				boot,tier		-1
640	Light Plated Boots (1)		2	2	0		3	31	0									invtbt				boot,tier		-1
641	Greaves (1)		2	2	0		4	22	0									invhbt				boot,tier		-1
642	Bone Shield (1)		2	3	0		2	0	44									invbsh				bshi,tier	0	-1
643	Spiked Shield (1)		2	3	0		3	0	55									invspk				bshi,tier	0	-1
644	Mask (1)		2	2	0		3	30	0									invmsk				bhlm,tier		-1
645	Bone Helm (1)		2	2	0		5	32	0									invbhm				bhlm,tier		-1
692	Quilted Armor (2)		2	3	0		9	50	0									invqlt				tors,tier		-1
693	Leather Armor (2)		2	3	0		9	53	0									invlea				tors,tier		-1
694	Hard Leather Armor (2)		2	3	0		9	55	0									invhla				tors,tier		-1
695	Studded Leather (2)		2	3	0		10	55	0									invstu				tors,tier		-1
696	Ring Mail (2)		2	3	0		10	55	0									invrng				tors,tier		-1
697	Scale Mail (2)		2	3	0		10	58	0									invscl				tors,tier		-1
698	Chain Mail (2)		2	3	0		11	60	0									invchn				tors,tier		-1
699	Breast Plate (2)		2	3	0		11	60	0									invbrs				tors,tier		-1
6@G	Gambeson (4)		2	3	0		23	0	160									invxtuu				stor,tier		1
6@H	Kazarghand (1)		2	3	0		3	0	55									invxaru				stor,tier		1
6@I	Banded Plate (2)		2	3	0		14	0	134									invfulu				stor,tier		1
6@J	Ceremonial Armor (3)		2	3	0		24	0	300									invaaru				stor,tier		1
6@K	Morion (Sacred)		2	2	0		30	500	0									invxkpu				szhm		0
