#index	name
-1	Священник Ратмы
0	Exploitable
1	Костяной Воин
2	Горящий Труп
3	Ужас
4	Зомби
5	Голодный Труп
6	Упырь
7	Утопленник
8	Разносчик чумы
9	Огорченный
10	Порченый
11	Урод
12	Обезображенный
13	Проклятый
14	Нечистый аорон
15	Кровавый орел
16	Черный хищник
17	Облачный охотник
18	Падший
19	Вторженец
20	Осквернитель
21	Secret Jewelword!\nScourge
22	Secret Jewelword!\nScourge
23	Brute
24	Йети
25	Дробилка
26	Породистый зверь
27	Зверь гаргантюа
28	Песчаный рейдер
29	Мародер
30	Вторженец
31	Язычник
32	Противник
33	ПРЕВЕД МЕДВЕД
34	ПРЕВЕД МЕДВЕД
35	ПРЕВЕД МЕДВЕД
36	ПРЕВЕД МЕДВЕД
37	Ghost
38	Видение
39	Призрак
40	Явление
41	Темная форма
42	Темный охотник
43	Подлый охотник
44	Темный Охотник
45	Черный бродяга
46	Охотник за плотью
47	Зверь дюн
48	Скалистый жилец
49	Охотник Джунглей
50	Роковая обезьяна
51	Стражник Храма
52	Лунный Клан
53	Ночной Клан
54	Кровавый Клан
55	Адский Клан
56	Клан Смерти
57	Падший Шаман
58	Шаман-Захватчик
59	Шаман-Осквернитель
60	Шаман Бедствия
61	Шаман Бедствия
62	Шипованная Крыса
63	Шипастый Дьявол
64	Колючий Зверь
65	Острый Хребет
66	Колючка
67	Песчаный Магот
68	Скалистый червь
69	Пожиратель
70	Гигантская минога
71	Убийца мира
72	Могильная гадюка
73	Когтистая гадюка
74	Саламандра
75	Шахтная гадюка
76	Змеемаг
77	Песчаный прыгун
78	Пещерный прятальщик
79	Осквернитель могил
80	Древесный прятальщик
81	Скалистый прятальщик
82	Охотница
83	Саблезубый кот
84	Ночной Тигр
85	Адская Кошка
86	Чесотка
87	Черная саранча
88	Чумной жук
89	Адский рой
90	Навозный солдат
91	Песочный воин
92	Скарабей
93	Стальной скарабей
94	Костяной скарабей
95	Сушеный труп
96	Разлагающийся
97	Забальзамированный
98	Хорошо сохранившийся
99	Труп
100	Пустозвон
101	Охранник
102	Разгадыватель
103	Античный хорадрим
104	Разгадыватель
105	ПРЕВЕД МЕДВЕД
106	ПРЕВЕД МЕДВЕД
107	ПРЕВЕД МЕДВЕД
108	ПРЕВЕД МЕДВЕД
109	Падальщик
110	Падальщик - нежить
111	Адский канюк
112	Крылатый кошмар
113	Сосун
114	Паразит
115	Кровавый крюк
116	Кровавое крыло
117	Сумеречник
118	Болотный призрак
119	Горящая душа
120	Черная душа
121	Паук
122	Песчаный рыболов
123	Ядовитый прядильщик
124	Огненный паук
125	Паук - маг
126	Колючая громадина
127	Ежевичная громадина
128	Молотильщик
129	Шипастый кулак
130	Повелитель вампиров
131	Повелитель ночи
132	Повелитель тьмы
133	Повелитель крови
134	Изгнанный
135	Пустынное крыло
136	Изверг
137	Мышь мрака
138	Вор крови
139	Темный черт
140	Охотник Джунглей
141	Древесный Охотник
142	Дьявол Джунглей
143	Кровавый Охотник
144	Убийца
145	Декард Каин
146	Гид
147	Акара
