#code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat
0	100	13		13	1,2,3	ко всем Атрибутам	ко всем Атрибутам		к Силе	к Силе		1	72	1	1	1	1		strength
1	100	13		13	0,2,3	ко всем Атрибутам	ко всем Атрибутам		к Энергии	к Энергии		1	66	1	1	1	1		energy
2	100	13		13	0,1,3	ко всем Атрибутам	ко всем Атрибутам		к Ловкости	к Ловкости		1	70	1	1	1	1		dexterity
3	100	13		13	0,1,2	ко всем Атрибутам	ко всем Атрибутам		к Живучести	к Живучести		1	68	1	1	1	1		vitality
4				11															statpts
5				9															newskills
6				21															hitpoints
7	150	11		21					к Жизни	к Жизни		1	64	1					maxhp
8				21															mana
9	150	11		21					к Мане	к Мане		1	60	1					maxmana
10				21															stamina
11	150	10		21					к Выносливости	к Выносливости		1	56	1					maxstamina
12				8															level
13				32															experience
14				25															gold
15				25															goldbank
16	823	10							Повышенная защита	Повышенная защита		4	79	1					item_armor_percent
17	823	10							Нанесение макс. урона	Нанесение макс. урона		3	134	0					item_maxdamage_percent
18	823	10							Нанесение мин. урона	Нанесение мин. урона		3	135	0					item_mindamage_percent
19		10							к Рейтингу Атаки	к Рейтингу Атаки		1	120	1					tohit
20	257	9							к Базовому Шансу Блока	к Базовому Шансу Блока		2	139	1					toblock
21	0	11							к Минимальному Урону	к Минимальному Урону		1	132	1					mindamage
22	0	11							к Максимальному Урону	к Максимальному Урону		1	131	1					maxdamage
23	0	11							к Минимальному Урону	к Минимальному Урону		1	129	1					secondary_mindamage
24	0	11							к Максимальному Урону	к Максимальному Урону		1	128	1					secondary_maxdamage
25	50	10							Общий Физический Урон Оружия	Общий Физический Урон Оружия		4	85	2					damagepercent
26	0	10																	manarecovery
27	100	9							Восстановление Маны	Восстановление Маны		4	57	2					manarecoverybonus
28	0	10							Восстановление выносливости плюс 	Восстановление выносливости плюс 		2	53	2					staminarecoverybonus
31	500	16							Защита	Защита		1	76	1					armorclass
32	250	12							к Защите от Дальних Ударов	к Защите от Дальних Ударов		1	74	1					armorclass_vs_missile
33	0	12							к Защите при Рукопашной	к Защите при Рукопашной		1	75	1					armorclass_vs_hth
34	110	10							Физический Урон Уменьшен на	Физический Урон Уменьшен на		3	27	2					normal_damage_reduction
35	30	10							Магический Урон Снижается на	Магический Урон Снижается на		3	26	2					magic_damage_reduction
36	100	10							Получаемый Физический Урон Снижен на:	Получаемый Физический Урон Снижен на:		2	27	2					damageresist
37	100	8							Сопротивление Магии	Сопротивление Магии		4	46	2					magicresist
38	100	8							к Максимальному Сопротивлению Магии	к Максимальному Сопротивлению Магии		4	51	1					maxmagicresist
39	100	8			41,43,45	Все Сопротивления	Все Сопротивления		Сопротивление Огню	Сопротивление Огню		4	41	2	2	4	2		fireresist
40	100	8			42,44,46	ко Всем Максимальным Сопротивлениям	ко Всем Максимальным Сопротивлениям		к Максимальному Сопротивлению Огню	к Максимальному Сопротивлению Огню		4	47	2	7	4	2		maxfireresist
41	100	8			39,43,45	Все Сопротивления	Все Сопротивления		Сопротивление Молнии	Сопротивление Молнии		4	43	2	2	4	2		lightresist
42	100	8			40,44,46	ко Всем Максимальным Сопротивлениям	ко Всем Максимальным Сопротивлениям		к Максимальному Сопротивлению Молнии	к Максимальному Сопротивлению Молнии		4	47	2	7	4	2		maxlightresist
43	100	8			39,41,45	Все Сопротивления	Все Сопротивления		Сопротивление Холоду	Сопротивление Холоду		4	45	2	2	4	2		coldresist
44	100	8			40,42,46	ко Всем Максимальным Сопротивлениям	ко Всем Максимальным Сопротивлениям		к Максимальному Сопротивлению Холоду	к Максимальному Сопротивлению Холоду		4	47	2	7	4	2		maxcoldresist
45	100	8			39,41,43	Все Сопротивления	Все Сопротивления		Сопротивление Яду	Сопротивление Яду		4	39	2	2	4	2		poisonresist
46	100	8			40,42,44	ко Всем Максимальным Сопротивлениям	ко Всем Максимальным Сопротивлениям		к Максимальному Сопротивлению Яду	к Максимальному Сопротивлению Яду		4	47	2	7	4	2		maxpoisonresist
48	0	12							к Минимальному Урону Огнем	к Минимальному Урону Огнем		1	107	1					firemindam
49	0	12							к Максимальному Урону Огнем	к Максимальному Урону Огнем		1	106	1					firemaxdam
