#index	item	set	key	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
127	Frost	Pantheon	MSPantheon	100																																									
128	Water	Pantheon	MSPantheon	100																																									
129	Heaven	Pantheon	MSPantheon	100																																									
130	Earth	Pantheon	MSPantheon	100																																									
131	Fire	Pantheon	MSPantheon	100																																									
132	Celestia's Charge	Celestia's Myth	MSCelestia's Myth	100																																									
133	Celestia's Ribbon	Celestia's Myth	MSCelestia's Myth	100																																									
134	Celestia's Glory	Celestia's Myth	MSCelestia's Myth	100																																									
135	Celestia's Wings	Celestia's Myth	MSCelestia's Myth	100																																									
136	Celestia's Passion	Celestia's Myth	MSCelestia's Myth	100																																									
137	Vasily's Moonwalkers	Vasily's Following	MSVasily's Following	100																																									
138	Vasily's Crescent	Vasily's Following	MSVasily's Following	100																																									
139	Vasily's Shepherd Moon	Vasily's Following	MSVasily's Following	100																																									
140	Vasily's Eclipse	Vasily's Following	MSVasily's Following	100																																									
141	Vasily's Falling Star	Vasily's Following	MSVasily's Following	100																																									
142	Red Vex' Sin	Red Vex' Embrace	MSRed Vex' Embrace	100																																									
143	Red Vex' Curse	Red Vex' Embrace	MSRed Vex' Embrace	100																																									
144	Red Vex' Mantle	Red Vex' Embrace	MSRed Vex' Embrace	100																																									
145	Red Vex' Idol	Red Vex' Embrace	MSRed Vex' Embrace	100																																									
146	Red Vex' Flayer	Red Vex' Embrace	MSRed Vex' Embrace	100																																									
147	Witchhunter's Rope	Witchhunter's Attire	MSWitchhunter's Attire	100																																									
148	Witchhunter's Hood	Witchhunter's Attire	MSWitchhunter's Attire	100																																									
149	Witchhunter's Faith	Witchhunter's Attire	MSWitchhunter's Attire	100																																									
150	Witchhunter's Crucifix	Witchhunter's Attire	MSWitchhunter's Attire	100																																									
151	Witchhunter's Fire	Witchhunter's Attire	MSWitchhunter's Attire	100																																									
152	Serpent's Tail	The Snake Pit	MSThe Snake Pit	100																																									
153	Serpent's Coil	The Snake Pit	MSThe Snake Pit	100																																									
154	Serpent's Tongue	The Snake Pit	MSThe Snake Pit	100																																									
155	Serpent's Scales	The Snake Pit	MSThe Snake Pit	100																																									
156	Serpent's Fangs	The Snake Pit	MSThe Snake Pit	100																																									
157	Tracker's Runeward	Creed	MSCreed	100																																									
158	Tracker's Totem	Creed	MSCreed	100																																									
159	Tracker's Stealth	Creed	MSCreed	100																																									
160	Tracker's Effigy	Creed	MSCreed	100																																									
161	Tracker's Strike	Creed	MSCreed	100																																									
162	Vizjun's Progress	Vizjun's Devices	MSVizjun's Devices	100																																									
163	Vizjun's Foresight	Vizjun's Devices	MSVizjun's Devices	100																																									
164	Vizjun's Engine	Vizjun's Devices	MSVizjun's Devices	100																																									
165	Vizjun's Monitor	Vizjun's Devices	MSVizjun's Devices	100																																									
166	Vizjun's Science	Vizjun's Devices	MSVizjun's Devices	100																																									
167	Crane's Reach	Gathering of the Tribes	MSGathering of the Tribes	100																																									
168	Snake's Battle Chant	Gathering of the Tribes	MSGathering of the Tribes	100																																									
169	Wolf's Fang	Gathering of the Tribes	MSGathering of the Tribes	100																																									
170	Bear's Warding	Gathering of the Tribes	MSGathering of the Tribes	100																																									
171	The Coming Storm	Gathering of the Tribes	MSGathering of the Tribes	100																																									
172	Rockslide	Mount Arreat	MSMount Arreat	100																																									
173	Ravine	Mount Arreat	MSMount Arreat	100																																									
174	Avalanche	Mount Arreat	MSMount Arreat	100																																									
175	Snowstorm	Mount Arreat	MSMount Arreat	100																																									
176	Eruption	Mount Arreat	MSMount Arreat	100																																									
177	Hunter's Trackless Step	Big Game Hunter	MSBig Game Hunter	100																																									
178	Hunter's Trophy	Big Game Hunter	MSBig Game Hunter	100																																									
179	Hunter's Skin	Big Game Hunter	MSBig Game Hunter	100																																									
180	Hunter's Camouflage	Big Game Hunter	MSBig Game Hunter	100																																									
181	Hunter's Claw Fist	Big Game Hunter	MSBig Game Hunter	100																																									
182	The Defender	Spirits of the Nephalem	MSSpirits of the Nephalem	100																																									
183	The Protector	Spirits of the Nephalem	MSSpirits of the Nephalem	100																																									
184	The Guardian	Spirits of the Nephalem	MSSpirits of the Nephalem	100																																									
185	Destiny	Spirits of the Nephalem	MSSpirits of the Nephalem	100																																									
186	Sacred Charge	Spirits of the Nephalem	MSSpirits of the Nephalem	100																																									
187	Nature's Grasp	Caoi Dulra	MSCaoi Dulra	100																																									
188	Nature's Embrace	Caoi Dulra	MSCaoi Dulra	100																																									
189	Nature's Vigil	Caoi Dulra	MSCaoi Dulra	100																																									
190	Nature's Will	Caoi Dulra	MSCaoi Dulra	100																																									
191	Nature's Wrath	Caoi Dulra	MSCaoi Dulra	100																																									
192	Lone Wolf's Track	Lone Wolf's Path	MSLone Wolf's Path	100																																									
193	Lone Wolf's Claws	Lone Wolf's Path	MSLone Wolf's Path	100																																									
194	Lone Wolf's Gaze	Lone Wolf's Path	MSLone Wolf's Path	100																																									
195	Lone Wolf's Fur	Lone Wolf's Path	MSLone Wolf's Path	100																																									
196	Lone Wolf's Maul	Lone Wolf's Path	MSLone Wolf's Path	100																																									
197	Rathma's Chase	Rathma's Empire	MSRathma's Empire	100																																									
198	Rathma's Trap	Rathma's Empire	MSRathma's Empire	100																																									
199	Rathma's Death Gaze	Rathma's Empire	MSRathma's Empire	100																																									
200	Rathma's Skeleton	Rathma's Empire	MSRathma's Empire	100																																									
201	Rathma's Tyranny	Rathma's Empire	MSRathma's Empire	100																																									
202	Achilios' Stealth	Achilios' Wake	MSAchilios' Wake	100																																									
203	Achilios' Knuckledusters	Achilios' Wake	MSAchilios' Wake	100																																									
204	Achilios' Eagle Eye	Achilios' Wake	MSAchilios' Wake	100																																									
205	Achilios' Refuge	Achilios' Wake	MSAchilios' Wake	100																																									
206	Achilios' Sledgehammer	Achilios' Wake	MSAchilios' Wake	100																																									
207	Heaven In Sight	Satanic Mantra	MSSatanic Mantra	100																																									
208	Till We Have	Satanic Mantra	MSSatanic Mantra	100																																									
209	Through Death's Veil	Satanic Mantra	MSSatanic Mantra	100																																									
210	Lend Me Thy Light	Satanic Mantra	MSSatanic Mantra	100																																									
211	Archangel Dark Angel	Satanic Mantra	MSSatanic Mantra	100																																									
212	Cinadide's Bender	Cinadide's Craft	MSCinadide's Craft	100																																									
213	Cinadide's Anvil	Cinadide's Craft	MSCinadide's Craft	100																																									
214	Cinadide's Bellows	Cinadide's Craft	MSCinadide's Craft	100																																									
215	Cinadide's Forge	Cinadide's Craft	MSCinadide's Craft	100																																									
216	Cinadide's Malus	Cinadide's Craft	MSCinadide's Craft	100																																									
217	Hadriel's Presence	Hadriel's Lore	MSHadriel's Lore	100																																									
218	Hadriel's Courage	Hadriel's Lore	MSHadriel's Lore	100																																									
219	Hadriel's Wings	Hadriel's Lore	MSHadriel's Lore	100																																									
220	Hadriel's Pure Heart	Hadriel's Lore	MSHadriel's Lore	100																																									
221	Hadriel's Avenger	Hadriel's Lore	MSHadriel's Lore	100																																									
222	Malthael's Stride	Malthael's Sanctuary	MSMalthael's Sanctuary	100																																									
223	Malthael's Ward	Malthael's Sanctuary	MSMalthael's Sanctuary	100																																									
224	Malthael's Crown	Malthael's Sanctuary	MSMalthael's Sanctuary	100																																									
225	Malthael's Halo	Malthael's Sanctuary	MSMalthael's Sanctuary	100																																									
226	Malthael's Wrath	Malthael's Sanctuary	MSMalthael's Sanctuary	100																																									
227	Imperius' Winged Feet	Imperius' Edict	MSImperius' Edict	100																																									
228	Imperius' Crusade	Imperius' Edict	MSImperius' Edict	100																																									
229	Imperius' Aura	Imperius' Edict	MSImperius' Edict	100																																									
230	Imperius' Radiance	Imperius' Edict	MSImperius' Edict	100																																									
231	Imperius' Sky Hammer	Imperius' Edict	MSImperius' Edict	100																																									
232	Zann Esu's Rune Loop	Zann Esu's Secrets	MSZann Esu's Secrets	100																																									
233	Zann Esu's Mysteries	Zann Esu's Secrets	MSZann Esu's Secrets	100																																									
234	Zann Esu's Robes	Zann Esu's Secrets	MSZann Esu's Secrets	100																																									
235	Zann Esu's Binding Circle	Zann Esu's Secrets	MSZann Esu's Secrets	100																																									
236	Zann Esu's Charm	Zann Esu's Secrets	MSZann Esu's Secrets	100																																									
237	Elemental Trance	Elemental Children	MSEdyrem's Children	100																																									
238	Elemental Spirit	Elemental Children	MSEdyrem's Children	100																																									
239	Elemental Clash	Elemental Children	MSEdyrem's Children	100																																									
240	Elemental Fury	Elemental Children	MSEdyrem's Children	100																																									
241	Elemental Storm	Elemental Children	MSEdyrem's Children	100																																									
242	Pentad	Adria's Circle	MSAdria's Circle	100																																									
243	Tetrad	Adria's Circle	MSAdria's Circle	100																																									
244	Triad	Adria's Circle	MSAdria's Circle	100																																									
245	Dyad	Adria's Circle	MSAdria's Circle	100																																									
246	Monad	Adria's Circle	MSAdria's Circle	100																																									
247	Emerald Growth	Rainbow Warrior	MSRainbow Warrior2	100																																									
248	Emerald Sky	Rainbow Warrior	MSRainbow Warrior2	100																																									
249	Emerald Cloud	Rainbow Warrior	MSRainbow Warrior2	100																																									
250	Emerald Earth	Rainbow Warrior	MSRainbow Warrior2	100																																									
251	Emerald Flower	Rainbow Warrior	MSRainbow Warrior2	100																																									
252	Scosglen's Legends	Last King of Scosglen	MSLastKing	100																																									
253	Scosglen's History	Last King of Scosglen	MSLastKing	100																																									
254	Scosglen's Tales	Last King of Scosglen	MSLastKing	100																																									
255	Scosglen's Fables	Last King of Scosglen	MSLastKing	100																																									
256	Scosglen's Myths	Last King of Scosglen	MSLastKing	100																																									
257	Tower Push	The Towerlord	MSTowerlord	100																																									
258	Tower Denial	The Towerlord	MSTowerlord	100																																									
259	Tower Wall	The Towerlord	MSTowerlord	100																																									
260	Tower Defense	The Towerlord	MSTowerlord	100																																									
261	Tower Rush	The Towerlord	MSTowerlord	100																																									
262	Warmage's Wake	The Warmage	MSWarmage2	100																																									
263	Warmage's Conjuration	The Warmage	MSWarmage2	100																																									
264	Warmage's Breath	The Warmage	MSWarmage2	100																																									
265	Warmage's Flameshroud	The Warmage	MSWarmage2	100																																									
266	Warmage's Fireblade	The Warmage	MSWarmage2	100																																									
267	Charge of the Goddess	The Mysteries	MSThe Mysteries	100																																									
268	Sacred Circle	The Mysteries	MSThe Mysteries	100																																									
269	Pentacle	The Mysteries	MSThe Mysteries	100																																									
270	Cauldron	The Mysteries	MSThe Mysteries	100																																									
271	Witchblade	The Mysteries	MSThe Mysteries	100																																									
272	Apeshoot	Testament of the Apes	MSTestament of the Apes	100																																									
273	Apeskin	Testament of the Apes	MSTestament of the Apes	100																																									
274	Apeskull	Testament of the Apes	MSTestament of the Apes	100																																									
275	Apehand	Testament of the Apes	MSTestament of the Apes	100																																									
276	Apefoot	Testament of the Apes	MSTestament of the Apes	100																																									
277	Lazarus' Chasuble	Archbishop Lazarus	Set_Lazbro	100																																									
278	Lazarus' Surplice Cap	Archbishop Lazarus	Set_Lazbro	100																																									
279	Lazarus' Votive Lamp	Archbishop Lazarus	Set_Lazbro	100																																									
280	Ismail's Majesty	Curse of the Zakarum	Set_xaru	100																																									
281	Wyand's Perfidy	Curse of the Zakarum	Set_xaru	100																																									
282	Bilefroth Skin	Henchmen Trophies	Set_PewPew	100	set_pewpew1																																								
283	Blackskull's Horns	Henchmen Trophies	Set_PewPew	100	set_pewpew2																																								
284	Doomcloud Spine	Henchmen Trophies	Set_PewPew	100	set_pewpew3																																								
285	Stareye's Claws	Henchmen Trophies	Set_PewPew	100	set_pewpew4																																								
286	Fangskin Scales	Henchmen Trophies	Set_PewPew	100	set_pewpew5																																								
287	Lazarus' Lamen	Archbishop Lazarus	Set_Lazbro	100																																									
288	Maffer's Frenzy	Curse of the Zakarum	Set_xaru	100																																									
289	Bremm's Retribution	Curse of the Zakarum	Set_xaru	100																																									
290	Horazon's Guard	Brotherhood of the Vizjerei	Set_labrynth	115	lab_armor																																								
