#index	item	set	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
127	Мороз	Пантеон	100																																									
128	Вода	Пантеон	100																																									
129	Рай	Пантеон	100																																									
130	Земля	Пантеон	100																																									
131	Огонь	Пантеон	100																																									
132	Забота Селестии	Миф Селестии	100																																									
133	Тесьма Селестии	Миф Селестии	100																																									
134	Слава Селестии	Миф Селестии	100																																									
135	Крылья Селестии	Миф Селестии	100																																									
136	Страсть Селестии	Миф Селестии	100																																									
137	Лунная Прогулка Василия	Последователи Василия	100																																									
138	Полумесяц Василия	Последователи Василия	100																																									
139	Луна Василия	Последователи Василия	100																																									
140	Затмение Василия	Последователи Василия	100																																									
141	Падающая Звезда Василия	Последователи Василия	100																																									
142	Грех Ред Векса	Объятия Ред Векса	100																																									
143	Проклятие Ред Векса	Объятия Ред Векса	100																																									
144	Накидка Ред Векса	Объятия Ред Векса	100																																									
145	Идол Ред Векса	Объятия Ред Векса	100																																									
146	Живодер Ред Векса	Объятия Ред Векса	100																																									
147	Трос Охотницы на Ведьм	Облачение Охотницы на Ведьм	100																																									
148	Капюшон Охотницы на Ведьм	Облачение Охотницы на Ведьм	100																																									
149	Вера Охотницы на Ведьм	Облачение Охотницы на Ведьм	100																																									
150	Распятие Охотницы на Ведьм	Облачение Охотницы на Ведьм	100																																									
151	Огонь Охотницы на Ведьм	Облачение Охотницы на Ведьм	100																																									
152	Змеиный Хвост	Змеиная Яма	100																																									
153	Змеиное Кольцо	Змеиная Яма	100																																									
154	Змеиный Язык	Змеиная Яма	100																																									
155	Змеиная Чешуя	Змеиная Яма	100																																									
156	Змеиные Клыки	Змеиная Яма	100																																									
157	Рунная Опека Сыщика	Кредо	100																																									
158	Тотем Сыщика	Кредо	100																																									
159	Хитрость Сыщика	Кредо	100																																									
160	Изображение Сыщика	Кредо	100																																									
161	Удар Сыщика	Кредо	100																																									
162	Прогресс Виз-Джуна	Приборы Виз-Джуна	100																																									
163	Предусмотрение Виз-Джуна	Приборы Виз-Джуна	100																																									
164	Двигатель Виз-Джуна	Приборы Виз-Джуна	100																																									
165	Монитор Виз-Джуна	Приборы Виз-Джуна	100																																									
166	Наука Виз-Джуна	Приборы Виз-Джуна	100																																									
167	Журавлиный Размах	Собрание Племен	100																																									
168	Змеиная Боевая Песнь	Собрание Племен	100																																									
169	Волчий Клык	Собрание Племен	100																																									
170	Медвежье Заключение	Собрание Племен	100																																									
171	Надвигающаяся Буря	Собрание Племен	100																																									
172	Обвал	Гора Арреат	100																																									
173	Ущелье	Гора Арреат	100																																									
174	Лавина	Гора Арреат	100																																									
175	Буран	Гора Арреат	100																																									
176	Извержение	Гора Арреат	100																																									
177	Бесследный Шаг Охотника	Охотник на Крупную Дичь	100																																									
178	Трофей Охотника	Охотник на Крупную Дичь	100																																									
179	Кожа Охотника	Охотник на Крупную Дичь	100																																									
