#code	name	class	tab	row	col	image
0	Атака	-1	0	0	0	3
1	Пинок	-1	0	0	0	3
2	Бросок	-1	0	0	0	5
3	Изгнать	-1	0	0	0	7
4	Бросок левой рукой	-1	0	0	0	5
5	Свинг левой рукой	-1	0	0	0	3
6	Magic Arrow	-1	1	1	2	0
7	Fire Arrow	-1	1	1	3	2
8	Удар Титана	-1	0	0	0	12
9	Удар Титана	-1	0	0	0	13
10	Jab	-1	3	1	1	8
11	Cold Arrow	-1	1	2	1	10
12	Multiple Shot	-1	1	2	2	12
13		-1				
14	Power Strike	-1	3	2	2	16
15	Шунпо	-1	0	0	0	189
16	Exploding Arrow	-1	1	3	3	20
17	Удар Смерти	-1	0	0	0	61
18	Уничтожитель Душ	-1	0	0	0	89
19	Удар Черного Лотоса	-1	0	0	0	51
20	Цветок Смерти	-1	0	0	0	58
21	Святая Ловушка	-1	0	0	0	86
22	Тотем Бомбы Страха	-1	0	0	0	81
23	Цепной Выстрел	-1	2	3	3	14
24	АХЕРЕТЬ	-1	0	0	0	197
25		-1				
26		-1				
27	Вращение к Победе	-1	0	0	0	174
28	Каменная Встряска	-1	0	0	0	172
29	Нечестивая Броня	-1	0	0	0	108
30	Дождь Бомб	-1	0	0	0	45
31		-1				
32	Удар Смерти	-1	0	0	0	61
33		-1				
34	Суперзверь	-1	0	0	0	0
35		-1				
36	Fire Bolt	-1	1	1	2	0
37	Дождь Бомб	-1	0	0	0	45
38	Электрический Заряд	-1	2	1	2	4
39		-1				
40		-1				
41		-1				
42	Static Field	-1	2	2	1	12
43		-1				
44	Frost Nova	-1	3	2	1	16
45		-1				
46		-1				
47		-1				
48	Nova	-1	2	3	1	24
49	Lightning	-1	2	3	2	26
50	Время Молота	-1	0	0	0	224
51	Fire Wall	-1	1	4	1	30
52	Реабилитация	-1	0	0	0	17
53		-1				
54	Телепорт	-1	2	4	3	36
55		-1				
56		-1				
57	Тотем Притока Маны	-1	0	0	0	50
58	Стихийный Тотем	-1	0	0	0	49
59	Натиск	-1	1	2	3	42
60	Спиральный Танец	-1	0	0	0	93
61		-1				
62	Врата Аида	6	1	5	3	6
63	Гроза с Градом	-1	0	0	0	148
64	Frozen Orb	-1	3	6	1	56
65	Кровавая Баня	-1	0	0	0	20
66	Усиление Урона	-1	1	1	2	0
67	Гамма-Поле	-1	0	0	0	44
68	Охота на Лилит	-1	0	0	0	230
69		-1				
70	Raise Skeleton	-1	3	1	3	8
71	Dim Vision	-1	1	2	1	10
72		-1				
73		-1				
74	Corpse Explosion	-1	2	2	2	16
75	Бомба Новы	-1	0	0	0	90
76	Гнев	-1	0	0	0	78
77	Terror	-1	1	3	3	22
78	Нова Дротиков	-1	0	0	0	0
79	Жертвенная Бомба	-1	0	0	0	65
80	Raise Skeletal Mage	-1	3	3	3	28
81	Ядовитая Вспышка	-1	2	1	2	70
82		-1				
83	Страж Тотемов	-1	0	0	0	158
84		-1				
85		-1				
86		-1				
87	Decrepify	-1	1	5	3	42
88	Bone Prison	-1	2	5	3	44
89	APF-10 'Вихрь' N°V	-1	1	3	2	36
90	Каратель	-1	0	0	0	69
91	Lower Resist	-1	1	6	2	50
92		-1				
93		-1				
94		-1				
95	Revive	-1	3	6	3	58
96	Жажда Крови	-1	0	0	0	19
97	Smite	-1	1	1	3	2
98	Околдовывание	-1	3	1	1	50
99	Жажда Крови	-1	0	0	0	18
100	Resist Fire	-1	3	1	3	8
101	Паразит	-1	2	2	2	98
102	Барьерный Удар	-1	1	3	3	84
103	Thorns	-1	2	2	3	14
104	Ледяное Копье	-1	0	0	0	87
105	Resist Cold	-1	3	2	3	18
106		-1				
107	Charge	-1	1	3	3	22
108	Адские Врата	-1	0	0	0	24
109	Горящая Завеса	-1	0	0	0	23
110	Resist Lightning	-1	3	3	3	28
111	Огненный Фонтан	-1	0	0	0	180
112		-1				
113	Concentration	-1	2	4	1	34
114	Мифал	-1	2	4	2	108
115		-1				
116	Детонация	-1	0	0	0	21
117	Погребальный Огонь	-1	2	2	1	30
118	Хунфор	-1	0	0	0	114
119	Гроза с Градом	-1	0	0	0	148
120	Гамма-Поле	-1	0	0	0	44
121	Кровавая Буря	-1	2	3	1	34
122	Fanaticism	-1	2	6	1	52
123	Conviction	-1	2	6	3	56
124	Redemption	-1	3	6	2	54
125	Salvation	-1	3	6	3	58
126	Bash	-1	1	1	2	0
127	Удар Двойного Клыка	-1	1	3	1	92
128	Удар Двойного Клыка	-1	1	3	1	92
129	Стена Силы	-1	0	0	0	22
130	Лягушачий Принц	-1	0	0	0	0
131	Реабилитация	-1	0	0	0	17
132	Leap	-1	1	2	1	12
133	Double Swing	-1	1	2	3	14
134	Клеймо Огня	-1	0	0	0	187
135		-1				
136		-1				
137	Насмешка	-1	3	2	1	22
138	Shout	-1	3	2	2	24
139	Больной Скот	-1	0	0	0	46
140	Double Throw	-1	1	3	3	28
141		-1				
142	Нова Огненных Шаров	-1	0	0	0	219
143	Leap Attack	-1	1	4	1	34
144	Режущий Клинок	-1	0	0	0	0
145	Огненная Канонада	-1	0	0	0	0
146		-1				
147		-1				
148		-1				
149		-1				
150	Удар Черного Лотоса	-1	0	0	0	51
151	Whirlwind	-1	1	6	1	50
152		-1				
153	Бомба Новы	-1	0	0	0	90
154	Жертвенная Бомба	-1	0	0	0	65
155	Кассетная Бомба	-1	2	1	3	88
156		-1				
157		-1				
158		-1				
159		-1				
160		-1				
161		-1				
162		-1				
163	Гнев Атулуа	-1	0	0	0	0
164		-1				
165		-1				
166		-1				
167		-1				
168		-1				
169		-1				
170		-1				
171		-1				
172		-1				
173		-1				
174		-1				
175		-1				
176		-1				
177	Рысканье	-1	0	0	0	0
178		-1				
179		-1				
180		-1				
181		-1				
182		-1				
183		-1				
184		-1				
185		-1				
186		-1				
187		-1				
188		-1				
189		-1				
190		-1				
191		-1				
192		-1				
193		-1				
194		-1				
195		-1				
196		-1				
197		-1				
198		-1				
199		-1				
200		-1				
201		-1				
202		-1				
203		-1				
204		-1				
205	Залп Пламени	-1	1	1	1	62
206		-1				
207		-1				
208		-1				
209	Крио-Луч	-1	0	0	0	100
210		-1				
211		-1				
212		-1				
213		-1				
214		-1				
215		-1				
216		-1				
217	Свиток Идентификации	-1	0	0	0	2
218	Том Идентификации	-1	0	0	0	2
219	Свиток Городского Портала	-1	0	0	0	6
220	Том Городского Портала	-1	0	0	0	6
221		-1				
222		-1				
223	Ядовитая Вспышка	-1	2	1	2	70
224		-1				
225		-1				
226		-1				
227		-1				
228		-1				
229		-1				
230		-1				
231		-1				
232		-1				
233		-1				
234		-1				
235		-1				
236	Арена Молний	-1	0	0	0	184
237		-1				
238		-1				
239		-1				
240		-1				
241	Слабое Место	-1	0	0	0	0
242		-1				
243		-1				
244		-1				
245		-1				
246		-1				
247		-1				
248	Заморозка Времени Ульдиссиана	-1	0	0	0	0
249		-1				
250	Мор	2	2	5	1	122
251		-1				
252		-1				
253		-1				
254		-1				
255		-1				
256	Каратель	-1	0	0	0	69
257		-1				
258		-1				
259		-1				
260		-1				
261		-1				
262	В Пустоту	-1	0	0	0	231
263	Каратель	-1	0	0	0	69
264		-1				
265		-1				
266		-1				
267		-1				
268		-1				
269		-1				
270		-1				
271		-1				
272		-1				
273		-1				
274		-1				
275		-1				
276		-1				
277		-1				
278		-1				
279		-1				
280		-1				
281		-1				
282		-1				
283	Удар Пламени	-1	1	3	1	4
284	Демоническая Кровь	-1	0	0	0	0
285		-1				
286		-1				
287		-1				
288	Холодная Сфера	-1	1	1	3	10
289	Бездна	-1	1	4	3	16
290		-1				
291		-1				
292		-1				
293		-1				
294		-1				
295	Демоническая Кровь	-1	0	0	0	0
296	Демоническая Кровь	-1	0	0	0	0
297	Демоническая Кровь	-1	0	0	0	0
298		-1				
299	Ядовитая Аура	-1	0	0	0	0
300		-1				
301	Солнечный Удар	0	1	1	1	0
302	Шквал	0	1	2	1	2
303	Фаланга	0	1	3	1	4
304	Драконий Выстрел	0	1	5	1	66
305	Драконьи Сказания	0	1	4	1	62
306	Лунный Луч	0	1	1	2	10
307	Лунная Королева	0	1	4	2	60
308	Рикошет	0	1	2	2	14
309	Продольный Огонь	0	1	3	2	16
310	Сказочное Кольцо	0	1	5	2	18
311	Провал Лавы	0	2	5	1	68
312	Погребальный Огонь	0	2	2	1	30
313	Кровавая Буря	0	2	3	1	34
314	Магические Снаряды	0	2	1	1	36
315	Вакханалия	0	2	4	1	64
316	Подавление	0	1	1	3	20
317	Удар Гиены	0	1	2	3	74
318	Наскок	0	1	5	3	70
319	Львица	0	1	4	3	26
320	Великая Охота	0	1	3	3	72
321	Защитная Гармония	0	2	5	3	40
322	Огненные Элементали	0	2	2	3	42
323	Баланс	0	2	3	3	44
324	Неистовый Экстаз	0	2	4	3	38
325	Свобода Дикой Природы	0	2	1	3	48
326	Удар Летучей Мыши	6	1	2	1	0
327	Распятие	6	1	1	1	2
328	Королева Лезвий	6	2	3	1	4
329	Форма Тифлинга	6	2	5	3	86
330	Рок	6	2	5	2	8
331	Путь Паука	6	2	2	1	10
332	Убежище Теней	6	1	2	3	12
333	Барьерный Удар	6	1	3	3	84
334	Удар Двойного Клыка	6	1	3	1	92
335	Путь Феникса	6	2	4	1	18
336	Кассетная Бомба	6	2	1	3	88
337	Магнитный Лазер	6	2	3	3	96
338	Часовой Электрополя	6	2	2	3	80
339	Часовой Огненных Шаров	6	2	4	3	82
340	Сингулярность	6	2	4	2	56
341	Клинок Скорпиона	6	1	1	2	30
342	Штормовые Вороны	6	1	2	2	32
343	Ведьмин Ветер	6	1	4	2	34
344	APF-10 'Вихрь' N°V	6	1	3	2	36
345	Залп	6	1	5	2	38
346	Скачок	6	2	1	1	40
347	Шквал Сюрикенов	6	2	1	2	42
348	Лазерный Клинок	6	1	4	3	90
349	Псио-Шторм	6	2	2	2	76
350	Идеальное Бытие	6	2	5	1	48
351	Землятресение	4	1	1	1	8
352	Кровавая Ненависть	4	1	1	2	2
353	Раскат Грома	4	1	4	2	4
354	Камнепад	4	1	5	2	6
355	Удар Бури	4	1	3	1	30
356	Стойка Волка	4	2	5	3	50
357	Стойка Льва	4	2	1	3	12
358	Стойка Змеи	4	2	2	3	14
359	Стойка Медведя	4	2	3	3	16
360	Стойка Орла	4	2	4	3	18
361	Дух Стража	4	2	1	1	20
362	Дух Защитника	4	2	2	1	22
363	Дух Покровителя	4	2	3	1	24
364	Господство Гладиатора	4	3	5	3	88
365	Прогулка Духов	4	2	5	1	72
366	Волк-Спутник	4	2	1	2	66
