#code	name	letter	armor1code	armor1param	armor1value	armor2code	armor2param	armor2value	armor3code	armor3param	armor3value	shield1code	shield1param	shield1value	shield2code	shield2param	shield2value	shield3code	shield3param	shield3value	weapon1code	weapon1param	weapon1value	weapon2code	weapon2param	weapon2value	weapon3code	weapon3param	weapon3value
glb	\purple;Безупречный Сапфир		409		4							43		24							138		8						
9$c	\purple;Кровавик		39		12							487		3							444		6						
r40	\purple;Руна Ат	Ат	99		15							99		15							99		15						
gly	\purple;Безупречный Топаз		361		4							41		24							485		9						
r09	\purple;Руна Орт	Орт	330		5							330		5							330		5						
r98	\red;(Не Может Быть Вынуто)\n\grey;Легендарная Руна\n\purple;Камень Кабраксиса	Ксис	16		50				219		10	16		50				219		10	17		50				219		10
gcv	\purple;Треснувший Аметист		360		1							440		2							119		10						
5$c	\purple;Янтарь		41		12							363		3							155	800	3						
r22	\purple;Руна Ум	Ум	361		5							361		5							361		5						
r29	\purple;Руна Сур	Сур	183		25							183		25							183		25						
yo1	\purple;Треснувший Радужный Камень		183		4							109		2							136		1						
gcb	\purple;Треснувший Сапфир		409		1							43		6							138		2						
yo3	\purple;Радужный Камень		183		12							109		6							136		3						
yo5	\purple;Совершенный Радужный Камень		183		20							109		10							136		5						
r56	\grey;Великая Руна\n\purple;Руна Ша'ад	Шаад	16		30							16		30							17		30						
gsw	\purple;Алмаз		359		3							39,41,43,45		3							329,330,331,332,377		3						
r13	\purple;Руна Шаэл	Шаэл	0		10							0		10							0		10						
g$c	\purple;Оникс		43		12							164		3							470		6						
gsy	\purple;Топаз		361		3							41		18							485		8						
r02	\purple;Руна Эльд	Эльд	119		25							119		25							119		25						
r44	\purple;Руна Юл	Юл	470		10							470		10							470		10						
r19	\purple;Руна Фал	Фал	2		10							2		10							2		10						
g$d	\purple;Безупречный Оникс		43		16	44		1				164		4							470		8						
r55	\grey;Великая Руна\n\purple;Руна Аухе	Аухе	27		5							27		5							27		15						
r36	\purple;Руна Кур	Кур	96		15							96		15							96		15						
glw	\purple;Безупречный Алмаз		359		4							39,41,43,45		4							329,330,331,332,377		4						
gsv	\purple;Аметист		360		3							440		6							119		30						
r20	\purple;Руна Лем	Лем	85		2							85		2							85		2						
gfv	\purple;Некачественный Аметист		360		2							440		4							119		20						
gcr	\purple;Треснувший Рубин		362		1							39		6							86		2						
r34	\purple;Руна Ша	Ша	93		15							93		15							93		15						
skc	\purple;Треснувший Череп		16		7							110		1							17		7						
r21	\purple;Руна Пул	Пул	39		30							39		30							39		40						
r25	\purple;Руна Гул	Гул	43		30							43		30							43		40						
r61	\grey;Секретная Руна\n\purple;Руна Молнии	Мол	50,51		50				276		0	50,51		50				276		0	50,51		100				276		0
gfy	\purple;Некачественный Топаз		361		2							41		12							485		7						
r57	\grey;Секретная Руна\n\purple;Руна Огня	Ого	48,49		50				276		0	48,49		50				276		0	48,49		100				276		0
r18	\purple;Руна Ко	Ко	359		5							359		5							359		5						
gzv	\purple;Безупречный Аметист		360		4							440		8							119		40						
7$a	\purple;Треснувшая Бирюза		45		4							80		5							27		2						
gsb	\purple;Сапфир		409		3							43		18							138		6						
r11	\purple;Руна Амн	Амн	131		25							131		25							131		25						
r33	\purple;Руна Зод	Зод	363		5							363		5							376		5						
9$b	\purple;Некачественный Кровавик		39		8							487		2							444		4						
r32	\purple;Руна Чам	Чам	3		10							3		10							3		10						
