#index	item	rlvl	image
0	Амулет Змеи	0	
1	Посох Королей	0	
2	Хорадрический Посох	15	
3	Адский Кузнечный Молот	20	
4	Цеп Халима	15	
5	Воля Халима	20	
6	Кольцо Пятерых	100	Ring08
7	Проклятие Ассура	100	Ring08
8	Книга Призыва	666	
9	\gold;ЙА БАГАД	0	
10	Оптический Детектор	120	
11	Сердце Азмодана	100	
12	Видения Акарата	100	akaratbook
13	Свиток Королей	60	scrollofkings
14	Центральный Кристалл Лазера	80	
15	Зуб Мясника	40	
16	Священный Ключ Камня Мира	80	
17	Идол Тщеславия	120	
18	Дух Проклятия	120	
19	Средоточие Хоразона	40	
20	Ядовитое Жало Астроги	120	
21	Наследие Крови	120	bloodlegacy
22	Серебряная Печать Уреха	120	
23	Медальон Кристаллического Пламени	120	
24	Медальон Кристаллического Пламени	120	
25	\gold;Призма Стихий	50	
26	(Предмет Испытания для Амазонки)\nСвященный Янтарь	90	newclasscharm
27	(Предмет Испытания для Ассассина)\nТеневой Вихрь	90	newclasscharm
28	(Предмет Испытания для Варвара)\nСфера Камня Мира	90	newclasscharm
29	(Предмет Испытания для Друида)\nФрукт Каои Дулра	90	newclasscharm
30	(Предмет Испытания для Некроманта)\nОсколок Камня Души	90	newclasscharm
31	(Предмет Испытания для Паладина)\nГлаз Божества	90	newclasscharm
32	(Предмет Испытания для Колдуньи)\nСоединяющий Кристалл	90	newclasscharm
33	Вечная Груда Костей	100	
34	Янтарь Огня	0	
35	Янтарь Льда	0	
36	Янтарь Грома	0	
37	Янтарь Богов	100	
38	\gold;Мешок Шести Ангелов	60	
39	Талисман Сложности	5	
40	Ухо Закарума	80	
41	Луна Паука	120	
42	Травы Спиритического Транса	100	
43	Молот Судей Таана	40	
44	Книга Лжи	60	
45	Автор Роберт Маркс\nПогибель Демонов	100	demonsbaneZ
46	Схема Холодного Синтеза	100	coldfusion
47	Славная Книга Медиана	100	bookoflaz
48	Тессеракт	100	
49	Хандурасский Королевский Кулон	100	
50	Медальон Грез	100	
51	Тавиз Джерина	0	
52	Величественные Доспехи	100	
53	Вечность	100	
54	Меч Белой Пустоты	666	
55	Хозяин Желаний	0	
56	Атом	0	
57	Месть Сиггарда	100	
58	Похититель Душ	100	
59	Нубская Петля	0	
60	Кольцо Траура	100	
61	Печать Черной Руки	100	
62	Гвозди Акарата	100	
63	Ярость Адского Огня	100	
64	Новообращенный	7	
65	Новообращенный	16	
66	Новообращенный	25	
67	Новообращенный	34	
68	Новообращенный	42	
69	Новообращенный	51	
70	Цитадель Астреона	100	
71	Ключ Тобио	100	
72	Покоритель	100	
73	Королева Хрупкости	11	
74	Королева Хрупкости	20	
75	Королева Хрупкости	30	
76	Королева Хрупкости	38	
77	Королева Хрупкости	47	
78	Королева Хрупкости	54	
79	Разодранная Плоть Богов	100	
80	Пластины Хазров	100	
81	Бомба Наемника	100	mercbombb
82	Поборница	8	
83	Поборница	17	
84	Поборница	26	
85	Поборница	36	
86	Поборница	45	
87	Поборница	54	
88	Звезда Ангириса	100	
89	Звезда Дракона	100	
90	Утренняя Ярость	100	
91	Грация Нимфы	6	
92	Грация Нимфы	14	
93	Грация Нимфы	23	
94	Грация Нимфы	32	
95	Грация Нимфы	41	
96	Грация Нимфы	49	
97	Повелитель Козлов	100	
98	Таран	100	
99	Защитник Леса	100	
100	Бездна	6	
101	Бездна	15	
102	Бездна	24	
103	Бездна	33	
104	Бездна	41	
105	Бездна	50	
106	Кружение Облаков	100	
107	Роковой Гонг Ксянсая	100	
108	Жатва Душ	100	
109	Свод Грома	8	
110	Свод Грома	16	
111	Свод Грома	25	
112	Свод Грома	34	
113	Свод Грома	43	
114	Свод Грома	51	
115	Друг Морлу	100	
116	Странствующий Король	100	
117	Сон Альбрехта	100	
118	Незрячее Око	1	
119	Незрячее Око	10	
120	Незрячее Око	19	
121	Незрячее Око	28	
122	Незрячее Око	36	
123	Незрячее Око	45	
124	Данмаку	100	
125	Видение Фурий	100	
126	Диск Крови	100	
127	Головной Убор Духовного Наставника	10	
128	Головной Убор Духовного Наставника	19	
129	Головной Убор Духовного Наставника	28	
130	Головной Убор Духовного Наставника	37	
131	Головной Убор Духовного Наставника	46	
132	Головной Убор Духовного Наставника	54	
133	Голос Бул Катоса	100	
134	Снежная Шапка Арреат	100	
135	Легион Лилит	100	
136	Лесоруб	3	
137	Лесоруб	12	
138	Лесоруб	22	
139	Лесоруб	31	
140	Лесоруб	40	
141	Лесоруб	49	
142	Горлоискатель	100	
143	Волна Лавы	100	
144	Холодный Тесак	100	
145	Стая Волков	6	
146	Стая Волков	16	
147	Стая Волков	25	
148	Стая Волков	34	
149	Стая Волков	43	
150	Стая Волков	53	
151	Каскара Таана	100	
152	Изголодавшийся по Душам	100	
153	Берсерркер	100	
154	Обломок Скалы	6	
155	Обломок Скалы	15	
156	Обломок Скалы	24	
157	Обломок Скалы	34	
158	Обломок Скалы	43	
159	Обломок Скалы	53	
160	Приносящий Горе	100	
161	Ястребиный Топор	100	
162	Разрыватель	100	
163	Железный Град	7	
164	Железный Град	16	
165	Железный Град	26	
166	Железный Град	35	
167	Железный Град	44	
168	Железный Град	54	
169	Легион Пикси	100	
170	Самолет-Снаряд	100	
171	Пенумбра	100	
172	Покров Мудрости	12	
173	Покров Мудрости	20	
174	Покров Мудрости	29	
175	Покров Мудрости	38	
176	Покров Мудрости	47	
177	Покров Мудрости	55	
178	Пальто Демонического Шипа	100	
179	Облик Лакданана	100	
180	Водоворот Мага	100	
181	Сокруштиель Заклинаний	1	
182	Сокруштиель Заклинаний	8	
183	Сокруштиель Заклинаний	17	
184	Сокруштиель Заклинаний	26	
185	Сокруштиель Заклинаний	36	
186	Сокруштиель Заклинаний	45	
187	Земная Привязанность	100	
188	Язык Гадюки	6	
189	Язык Гадюки	15	
190	Язык Гадюки	24	
191	Язык Гадюки	34	
192	Язык Гадюки	43	
193	Язык Гадюки	52	
194	Плоть Рока	100	
195	Предательство Тилвульфа	100	
196	Яростная Буря	100	
197	Черепной Молот	5	
198	Черепной Молот	14	
199	Черепной Молот	24	
200	Черепной Молот	33	
201	Черепной Молот	42	
202	Черепной Молот	51	
203	Стальная Скорбь	100	
204	Бездна	100	
205	Аццкий Убийца	100	
206	Завет	6	
207	Завет	16	
208	Завет	25	
209	Завет	34	
210	Завет	43	
211	Завет	52	
212	Трость Ксорина	100	
213	Посох Ледяных Эльфов	100	
214	Древняя Ветвь	100	
215	Челнок Аэрина	5	
216	Челнок Аэрина	14	
217	Челнок Аэрина	22	
218	Челнок Аэрина	31	
219	Челнок Аэрина	40	
220	Челнок Аэрина	48	
221	Броня Ашеары	100	
222	Огонь Маны	100	
223	Слабоумие	100	
224	Повелитель Черепов	6	
225	Повелитель Черепов	15	
226	Повелитель Черепов	24	
227	Повелитель Черепов	32	
228	Повелитель Черепов	41	
229	Повелитель Черепов	50	
230	Коллективный Разум	100	
231	Вуаль Испорченного Солнца	100	
232	Тень Фаузтина	100	
233	Расцарапывалка	10	
234	Расцарапывалка	19	
235	Расцарапывалка	28	
236	Расцарапывалка	38	
237	Расцарапывалка	47	
238	Расцарапывалка	54	
239	Бесстрашие Дроу	100	
240	Эко Азарак	100	
241	Чародейский Шип	100	
242	Легион Леорика	8	
243	Легион Леорика	17	
244	Легион Леорика	25	
245	Легион Леорика	34	
246	Легион Леорика	43	
247	Легион Леорика	52	
248	Рукавица	100	
249	Ионная Дева	100	
250	Влечение Зейля	100	
251	Кончина Арихана	11	
252	Кончина Арихана	21	
253	Кончина Арихана	29	
254	Кончина Арихана	39	
255	Кончина Арихана	49	
256	Кончина Арихана	57	
257	Песнь Русалки	100	
258	Ткач Снов	100	
259	Крик Природы	100	
260	Аутодафе	4	
261	Аутодафе	13	
262	Аутодафе	22	
263	Аутодафе	32	
264	Аутодафе	41	
265	Аутодафе	50	
266	Хребет Безумного Короля	100	
267	Держава	100	
268	Напалмовая Смерть	100	
269	Стоячая Вода	10	
270	Стоячая Вода	19	
271	Стоячая Вода	27	
272	Стоячая Вода	36	
273	Стоячая Вода	45	
274	Стоячая Вода	54	
275	Троллфейс	100	
276	Вуаль Магии	100	
277	Дурость Создателя	100	trollskullz
278	Стена Плача	5	
279	Стена Плача	14	
280	Стена Плача	23	
281	Стена Плача	31	
282	Стена Плача	40	
283	Стена Плача	49	
284	Гимн Тени	100	
285	Плеть Вирмятника	100	
286	Радужная Ярость	100	
287	Размах Когтя	6	
288	Размах Когтя	16	
289	Размах Когтя	26	
290	Размах Когтя	36	
291	Размах Когтя	47	
292	Размах Когтя	57	
293	Крыло Бога-Дракона	100	
294	Отец Времени	100	
295	Длань Жнеца	100	
296	Ткач Судьбы	5	
297	Ткач Судьбы	14	
298	Ткач Судьбы	23	
299	Ткач Судьбы	33	
300	Ткач Судьбы	42	
301	Ткач Судьбы	51	
302	Коготь Транг-Ула	100	
303	Престидижитатор	100	
304	Когти Мороза	100	
305	Кроличья Лапка	1	
306	Кроличья Лапка	8	
307	Кроличья Лапка	17	
308	Кроличья Лапка	25	
309	Кроличья Лапка	34	
310	Кроличья Лапка	43	
311	Вечная Погоня	100	
312	Копыта Громовой Лошади	100	
313	Путь Чародея	100	
314	Щитолом	5	
315	Щитолом	14	
316	Щитолом	23	
317	Щитолом	32	
318	Щитолом	42	
319	Щитолом	51	
320	Кровавое Сверло	100	
321	Мошенничество Грейза	100	
322	Выжигатель Небес	100	
323	Человек-Кошка	5	
324	Человек-Кошка	14	
325	Человек-Кошка	23	
326	Человек-Кошка	31	
327	Человек-Кошка	40	
328	Человек-Кошка	50	
329	Вдова Света	100	
330	Разбойничий Дружок	100	
331	Крест Керригана	100	
332	Голод Шакала	3	
333	Голод Шакала	12	
334	Голод Шакала	22	
335	Голод Шакала	31	
336	Голод Шакала	40	
337	Голод Шакала	49	
338	Сменяющий Кровь	100	
339	Ржака	100	
340	Урван Грейла	100	
341	Клюв Хищника	6	
342	Клюв Хищника	15	
343	Клюв Хищника	25	
344	Клюв Хищника	34	
345	Клюв Хищника	44	
346	Клюв Хищника	53	
347	Чумная Скорбь	100	
348	Адский Зов Сарандеши	100	
349	Святой Мститель	100	
350	Колесование	7	
351	Колесование	16	
352	Колесование	24	
353	Колесование	33	
354	Колесование	42	
355	Колесование	51	
356	Солнечная Колесница	100	
357	Канис Венатор	100	
358	Грация Шамана	100	
359	Легион Ульдиссиана	9	
360	Легион Ульдиссиана	18	
361	Легион Ульдиссиана	27	
362	Легион Ульдиссиана	36	
363	Легион Ульдиссиана	46	
364	Легион Ульдиссиана	55	
365	Клинок Житана	100	
366	Погибель Эзу	100	
367	Сшибающая Ярость	100	
368	Острый Диск	1	
369	Острый Диск	8	
370	Острый Диск	17	
371	Острый Диск	26	
372	Острый Диск	35	
373	Острый Диск	43	
374	Горизонт Событий	100	
375	Вывеска Огдена	100	
376	Полярное Дыхание	100	
377	Золотое Руно	3	
378	Золотое Руно	12	
379	Золотое Руно	21	
380	Золотое Руно	30	
381	Золотое Руно	38	
382	Золотое Руно	47	
383	Пробуждение Ульдиссиана	100	
384	Буря Пешек	100	
385	Собирающаяся Буря	100	
386	Шут	1	
387	Шут	9	
388	Шут	17	
389	Шут	26	
390	Шут	35	
391	Шут	44	
392	Капюшон Странника	100	
393	Баншишка	100	
394	Эпидемия	100	
395	Свадебное Платье Занн	12	
396	Свадебное Платье Занн	21	
397	Свадебное Платье Занн	31	
398	Свадебное Платье Занн	39	
399	Свадебное Платье Занн	48	
400	Свадебное Платье Занн	55	
401	Доспехи Старой Религии	100	
402	Хиджаб Небесной Матери	100	
403	Платье Атанны Кхан	100	
404	Волосы из Змей	5	
405	Волосы из Змей	14	
406	Волосы из Змей	23	
407	Волосы из Змей	31	
408	Волосы из Змей	40	
409	Волосы из Змей	49	
410	Шлем Арназеуса	100	
411	Кровавый Череп Хароса	100	
412	Радужная Дева	100	
413	Адский Пир	5	
414	Адский Пир	15	
415	Адский Пир	24	
416	Адский Пир	33	
417	Адский Пир	42	
418	Адский Пир	52	
419	Доблестная Погибель	100	
420	Кактус	100	
421	Огневка	100	
422	Львиная Лапа	4	
423	Львиная Лапа	13	
424	Львиная Лапа	22	
425	Львиная Лапа	31	
426	Львиная Лапа	39	
427	Львиная Лапа	48	
428	Согреватель Пальчиков	100	
429	Когтистые Ноги	100	
430	Ярость Ангела	100	
431	Пернатый Кулак	5	
432	Пернатый Кулак	13	
433	Пернатый Кулак	22	
434	Пернатый Кулак	31	
435	Пернатый Кулак	40	
436	Пернатый Кулак	48	
437	Рука Мертвеца	100	
438	Мордобойщик	100	
439	Милосердие Завоевателя	100	
440	Месть Альбрехта	4	
441	Месть Альбрехта	13	
442	Месть Альбрехта	22	
443	Месть Альбрехта	31	
444	Месть Альбрехта	39	
445	Месть Альбрехта	49	
446	Накидка Хепшибы	100	
447	Сцепленная Чешуя	100	
448	Тайник Василиска	100	
449	Небесная Корона	4	
450	Небесная Корона	13	
451	Небесная Корона	22	
452	Небесная Корона	30	
453	Небесная Корона	39	
454	Небесная Корона	48	
455	Шлем Духов	100	
456	Глаза Септумоса	100	
457	Мистическое Покровительство	100	
458	Шаровая Молния	6	
459	Шаровая Молния	16	
460	Шаровая Молния	25	
461	Шаровая Молния	34	
462	Шаровая Молния	43	
463	Шаровая Молния	52	
464	Грозный Коготь	100	
465	Потусторонняя Сестра	100	
466	Мучитель	100	
467	Золотоискатель	6	
468	Золотоискатель	15	
469	Золотоискатель	25	
470	Золотоискатель	34	
