#index	part_prop1	part_param1	part_min1	part_max1	part_prop2	part_param2	part_min2	part_max2	part_prop3	part_param3	part_min3	part_max3	part_prop4	part_param4	part_min4	part_max4	part_prop5	part_param5	part_min5	part_max5	part_prop6	part_param6	part_min6	part_max6	part_prop7	part_param7	part_min7	part_max7	part_prop8	part_param8	part_min8	part_max8	full_prop1	full_param1	full_min1	full_max1	full_prop2	full_param2	full_min2	full_max2	full_prop3	full_param3	full_min3	full_max3	full_prop4	full_param4	full_min4	full_max4	full_prop5	full_param5	full_min5	full_max5	full_prop6	full_param6	full_min6	full_max6	full_prop7	full_param7	full_min7	full_max7	full_prop8	full_param8	full_min8	full_max8
MREssence	83	5	1	1	76		20	20	359		40	40	36		15	15																	97	1284	8	8	0		400	400	60		20	20	93		50	50	40,42,44,46		2	2	98	175	1	1	155	2348	8	8	22		125	125
MSAchilios' Wake	0		50	50	22		20	20	39,41,43,45		50	50	83	2	2	2																	196	535	20	6	336		30	30	22		125	125	136		10	10	39,41,43,45		45	45	155	1571	2	2	93		50	50	98	175	1	1
MSAdria's Circle	83	1	2	2	45		50	50	36		10	10	83	1	2	2																	39,41,43,45		30	30	431		25	25	338,339,340		20	20	0,1,2,3		50	50	83	1	5	5	332		50	50	274		33	33	98	175	1	1
MSBig Game Hunter	383	373	50	50	375	11529	5	5	21,22		25	50	136		10	10																	83	4	4	4	98	175	1	1	196	564	4	13	300		64	64	42		3	3	44		3	3	46		3	3	76		20	20
MSCaoi Dulra	0,1,2,3		50	50	119		100	100	83	5	2	2	25		150	150																	97	479	7	7	0,1,2,3		150	150	155	1646	7	7	39,41,43,45		40	40	198	492	17	6	150		30	30	98	175	1	1	48,49		500	500
MSCelestia's Myth	336		30	30	136		10	10	195	980	17	18	360		20	20																	198	803	5	5	31		2500	2500	36		10	10	39,41,43,45		75	75	40,42,44,46		2	2	21,22		63	125	387		60	60	98	175	1	1
MSCinadide's Craft	153		1	1	0		80	80	97	652	24	24	22		50	50																	25		400	400	0,1,2,3		200	200	336		60	60	39,41,43,45		100	100	136		25	25	150		25	25	98	175	1	1				
MSCreed	360		15	15	83	6	2	2	153		1	1	40,42,44,46		2	2																	196	806	30	13	2		200	200	0		200	200	3		200	200	208		2	2	198	628	2	42	336		50	50	98	175	1	1
MSEdyrem's Children	0,1,2,3		50	50	330		25	25	105		75	75	330		25	25																	97	346	16	16	83	1	5	5	330		50	50	0,1,2,3		100	100	485		200	200	309	346	50	50	36		15	15	98	175	1	1
MSGathering of the Tribes	0		50	50	3		100	100	119		250	250	380		100	100																	195	964	30	20	39,41,43,45		75	75	442	32	32	32	31		4000	4000	0		250	250	155	1644	7	7	338,339,340		25	25	98	175	1	1
MSHadriel's Lore	79		20	20	83	3	2	2	485		100	100	97	399	15	15																	83	3	4	4	171		200	200	86		75	75	1		200	200	3		200	200	329,331,357		50	50	98	175	1	1	333,335		30	30
MSImperius' Edict	359		20	20	361		20	20	360		20	20	361		20	20																	364		33	33	334		20	20	357		30	30	485		100	100	0,1,2,3		150	150	338,339,340		20	20	155	1251	1	1	98	175	1	1
MSLastKing	0		75	75	25		75	75	93		50	50	25		150	150																	21,22		100	150	39,41,43,45		50	50	31		1000	1000	136		30	30	338,339,340		15	15	195	804	10	12	98	175	1	1	97	601	1	1
MSLone Wolf's Path	278		150	150	97	455	14	14	332		50	50	45		50	50																	83	5	6	6	383	386	1	1	97	465	19	19	383	387	1	1	333,335		30	30	375	11305	5	5	7		400	400	98	175	1	1
