El	Эль
Eld	Эльд
Tir	Тир
Nef	Неф
Eth	Эт
Ith	Ит
Tal	Тал
Ral	Рал
Ort	Орт
Thul	Тул
Amn	Амн
Sol	Сол
Shael	Шаэл
Dol	Дол
Hel	Хел
Io	Ио
Lum	Люм
Ko	Ко
Fal	Фал
Lem	Лем
Pul	Пул
Um	Ум
Mal	Мал
Ist	Ист
Gul	Гул
Vex	Векс
Ohm	Ом
Lo	Ло
Sur	Сур
Ber	Бер
Jah	Джа
Cham	Чам
Zod	Зод
Sha	Ша
Lah	Ла
Kur	Кур
Ix	Икс
Thur	Тур
Nas	Нас
Ath	Ат
Kra	Кра
Vith	Вит
No	Но
Yul	Юл
Thai	Таи
Rha	Ра
Xar	Ксар
Nih	Них
Lai	Лаи
On	Он
Taha	Таха
Ghal	Гал
Qor	Куор
Krys	Крис
Auhe	Аухе
Shaad	Шаад
Fire	Огонь
Earth	Земля
Magic	Магия
Pois	Йад
Light	Молния
Cold	Холод
Ultra	Ультра
