Name	complete	* status	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	Rune Name	server	eol
Dawn	1	Zero socketables	weap									r01						dmg%		18	35	gold%		16	30	all-stats%		10	10	kill-skill	496	5	7	balance3		15	15	att%		101	150	light		1	1	Dawn		0
Shark	1	Zero socketables	weap									r07						dmg/lvl	4	4	4	dmg%		24	35	kill-skill	600	6	9	blood-phys		11	15	swing3		20	20	openwounds		33	33	mana		-1	-1	Shark		0
Enyo	1	Zero socketables	weap									r14						dmg-min		6	10	hpm-str%-enr%		20	20	att-skill	347	15	13	dmg%		69	92	dmg-stun		125	125	allskills		1	1	reanimate	712	21	25	Enyo		0
Azrael	1	Zero socketables	weap									r21						res-fire		26	26	kill-skill	518	33	13	hp		101	200	dmg%		87	103	lifesteal		6	13	str-heal		50	50	swingcast3		40	40	Azrael		0
Void	1	Zero socketables	weap									r28						res-cold		40	40	dmg%		58	72	slow		33	33	red-dmg		11	15	mana-hit		21	25	reanimate	2344	5	5	dmg-norm		7	13	Void		0
Oblivion	1	Zero socketables	weap									r35						all-stats%		7	7	dmg/lvl	12	12	12	att-skill	1002	25	32	dmg%		115	143	crush		8	8	extra-pois		16	20	charged	459	17	20	Oblivion		0
Berith	1	Zero socketables	weap									r42						wirts		100	100	gold%		333	333	dmg%		115	143	all3		50	50	uninterrupt		21	25	ac-global		11	15					Berith		0
Gehenna	1	Zero socketables	weap									r47						hp%-mp%		23	23	dmg%		144	171	att-skill	703	25	27	dmg-cold	250	188	250	dmg-pois	125	1536	2048	ease		-33	-33	gehenna		25	25	Gehenna		0
Triune	1	Zero socketables	weap									r53						ease		-8	-8	dmg%		115	143	dmg-elem		84	417	dmg-max		84	84	res-fcl		66	66	hp-mana		201	400	charged	416	39	10	Triune		0
Banshee	1	Zero socketables	bow									r03						dmg%		18	35	hit-skill	459	1	6	dmg/lvl	8	8	8	move3		20	20	dmg-cold	75	5	13	abs-cold%		11	15	kill-skill	712	5	8	Banshee		0
Shockwave	1	Zero socketables	bow									r12						dmg%		58	72	kill-skill	90	100	16	slow		11	15	crush		6	8	dex		21	40	enr		21	40	dmg-max		11	15	Shockwave		0
Balance	1	Zero socketables	bow									r22						enr%		-5	-5	unity		30	30	courage		15	15	dex		15	15	ac-global		11	15	dmg-global		41	50	dmg%		58	86	Balance		0
Hive	1	Zero socketables	bow									r30						uninterrupt		15	15	dmg%		87	114	dmg-max		13	25	kill-skill	779	25	6	dmg-pois	250	1536	2304	regen/lvl	32	32	32	swing3		-15	-15	Hive		0
Phantom	1	Zero socketables	bow									r39						hp-minion		-10	-10	hit-skill	998	50	15	dmg%		144	171	all-stats		51	100	mana%		50	50	nofreeze		1	1	stamsteal		11	17	Phantom		0
Curse	1	Zero socketables	bow									r48						skill-dur		15	15	hit-skill	525	15	18	kill-skill	563	25	21	str%		25	25	dmg%		144	171	dmg/lvl	24	24	24	ac-global		21	25	Curse		0
Typhaon	1	Zero socketables	bow									r52						dmg%		172	200	hit-skill	492	25	11	wirts		50	50	res-all		31	40	swing3		40	40	move3		60	60	dmg-max		76	125	Typhaon		0
Thammuz	1	Zero socketables	xbow									r04						poison-dur		-15	-15	dmg%		18	35	kill-skill	809	25	6	hp		111	111	dmg-fire		2	9	swing3		25	25	kill-skill	530	25	6	Thammuz		0
Python	1	Zero socketables	xbow									r16						dex%		16	20	str%		21	25	dmg%		58	86	dmg/lvl	12	12	12	hp%		21	25	kill-skill	330	33	14	lifesteal		16	19	Python		0
Cyclops	1	Zero socketables	xbow									r29						slow		25	25	dmg%		87	114	dmg-max		51	75	hit-skill	443	5	48	extra-ltng		16	20	swing3		50	50					Cyclops		0
Tartarus	1	Zero socketables	xbow									r44						dmg%		172	200	kill-skill	340	10	21	dmg/lvl	32	32	32	swingmove3		-10	-10	res-fireltng		100	100	heal-kill		101	150	str%		41	50	Tartarus		0
Araboth	1	Zero socketables	xbow									r45						dmg%		172	200	dmg-max		76	100	oskill	636	1	9	dmg-undead		101	150	all-stats		31	50	light		2	2	regen		41	50	Araboth		0
Cheetah		Zero socketables	thro									r02						att%		75	75	dmg%		18	35	move3		30	30	dmg-minion		11	20	att-damage		6	10	att%-minion		21	50	kill-skill	513	5	9	Cheetah		0
Chrysopelea		Zero socketables	thro									r10						extra-cold		-3	-3	dmg%		30	57	dmg-min		8	10	kill-skill	469	15	29	pierce-pois		6	10	poison-dur		21	40	wounds/lvl	16	16	16	Chrysopelea		0
Dajjal		Zero socketables	thro									r20						addxp		8	8	kill-skill	564	3	8	dmg%		87	114	dmg/lvl	12	12	12	heal-hit		3	5	swing3		40	40	balance3		40	40	Dajjal		0
Manitou		Zero socketables	thro									r30						dmg%		115	143	kill-skill	386	50	52	extra-fire		11	13	dmg-max		26	50	all-stats		50	50	bar		2	2	ac/lvl	320	320	320	Manitou		0
Myriad		Zero socketables	thro									r40						dmg%		115	143	dmg-global/lvl	16	16	16	kill-skill	779	10	12	dmg-min		26	38	swing3		50	50	indestruct		1	1	crush		6	8	Myriad		0
Naiad		Zero socketables	thro									r49						dmg%		172	200	kill-skill	702	25	8	slow		25	25	uninterrupt		50	50	death-skill	828	100	47	att%		200	200					Naiad		0
Burlesque		Zero socketables	thro									r51						enr-factor		41	50	dmg%		172	200	dmg-max		78	90	kill-skill	314	25	58	extra-pm		11	13	regen		21	25	dex-enr		100	100	Burlesque		0
Kingsblood2	1	Zero socketables	knif						tkni			r26						addxp		10	10	dmg%		115	143	dmg-min		13	13	all-stats		31	40	allskills		1	1	light		2	2	lifesteal		6	12	Kingsblood2		0
Endor	1	Zero socketables	scyh									r31						dmg%		72	100	dmg-max		26	50	att-skill	387	50	17	att-skill	330	5	19	extra-cold		16	20	extra-pois		16	20					Endor		0
Urada	1	Zero socketables	swor									r46						ac		811	811	dmg%		144	171	reanimate	2340	13	13	dmg-ltng		1	276	all-stats		1	11	swing3		30	30	crush		6	6	Urada		0
Sabertooth	1	Zero socketables	axe									r48						dmg%		144	171	oskill	689	1	9	str		75	75	lifesteal		9	17	uninterrupt		15	20	att-damage		100	100	dmg-global/lvl	64	64	64	Sabertooth		0
Seed of Conflict	1	Zero socketables	scyh									r49						dmg%		144	171	dmg-max		51	63	ac-global		20	20	att-skill	712	10	9	heal-kill		101	150	mana-kill		101	150	nec		2	4	Seed of Conflict		0
