skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Marco / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
attack	0	0	0	0	0		3	skillname0	skillsd0	skillld0	skillan0		1												2																																																																																									0
kick	0	0	0	-1	0		3	skillname1	skillsd1	skillld1	skillan1		2																																																																																																					0
throw	0	0	0	0	0		5	skillname2	skillsd2	skillld2	skillan2		3												3																																																																																									0
unsummon	0	0	0	0	0		7	skillname3	skillsd3	skillld3	skillan3																																																																																																							0
left hand throw	0	0	0	0	0		5	skillname4	skillsd4	skillld4	skillan4		4												4																																																																																									0
left hand swing	0	0	0	-1	0		3	skillname5	skillsd5	skillld5	skillan5																																																																																																							0
magic arrow	1	1	2	1	0		0	skillname6	skillsd6	skillld6	skillan6	StrSkill3	5												1				1			10		11					10					9					8					66	Convphy2elemalt		1+(lvl-1)*1																																																									0
fire arrow	1	1	3	1	0		2	skillname7	skillsd7	skillxld7	skillan7	StrSkill3	6												1				1					11					10					9					8					66	Convphy2magalt		3+(lvl-1)*2																						40	Sksyn	skillname7	2		63	skillname16	Firedplev	par8																											0
inner sight	2	1	1	2	0		4	skillname8	skillsd8	skillld8	skillan8	StrSkill3																	1					19	StrSkill18		ln56		5	StrSkill25		0		12	StrSkill20		ln34																																																																			0
critical strike	2	1	3	2	0		6	skillname9	skillsd9	skillld9	skillan9	StrSkill3																	7	StrSkill24		dm12																																																																																		0
jab	3	1	1	3	0		8	skillname10	skillsd10	skillld10	skillan10	StrSkill3	7	ln34											1				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill22	StrSkill23	toht																																25	StrSkill61																																							0
cold arrow	1	2	1	1	0		10	skillname11	skillsd11	skillxld11	skillan11	StrSkill3	6												1				1					11					10					9					8					66	Convphy2magalt		3+(lvl-1)*2																						40	Sksyn	skillname11	2		63	skillname21	Colddplev	par8																											0
multiple shot	1	2	2	1	0		12	skillname12	skillsd12	skillld12	skillan12	StrSkill3	6												1				1					7	StrSkill9		ln12		73	WeapDamsk		3	4																																																																							0
dodge	2	2	2	2	0		14	skillname13	skillsd13	skillld13	skillan13	StrSkill3																	7	StrSkill24		dm12																																																																																		0
power strike	3	2	2	3	0		16	skillname14	skillsd14	skillld14	skillan14	StrSkill3	6												1				1					11					10					9					8																														40	Sksyn	skillname14	2		63	skillname20	Ltngdplev	par8		63	skillname24	Ltngdplev	par8		63	skillname34	Ltngdplev	par8		63	skillname35	Ltngdplev	par8												0
