Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
unSocketable	100	1	1	1		0			10	400													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			10	401	sock		1	1									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			9	402	sock		1	2									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			8	403	sock		1	3									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			7	404	sock		1	4									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			6	405	sock		1	5									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			5	406	sock		1	6									1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			10	401													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			11	402													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			12	403													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			13	404													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			14	405													1		armo	misl	ring	amul							0	0	0
sockNormal	100	1	1	1		0			15	406													1		armo	misl	ring	amul							0	0	0
sockJavelin	100	1	1	1		0			10	401	dex-add	51	51	51	sock		1	1					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			9	402	dex-add	51	51	51	sock		1	2					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			8	403	dex-add	51	51	51	sock		1	3					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			7	404	dex-add	51	51	51	sock		1	4					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			6	405	dex-add	51	51	51	sock		1	5					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			5	406	dex-add	51	51	51	sock		1	6					1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			10	401	dex-add	51	51	51									1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			11	402	dex-add	51	51	51									1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			12	403	dex-add	51	51	51									1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			13	404	dex-add	51	51	51									1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			14	405	dex-add	51	51	51									1		jave							ajav			0	0	0
sockJavelin	100	1	1	1		0			15	406	dex-add	51	51	51									1		jave							ajav			0	0	0
sockTaxe	100	1	1	1		0			10	401	str-add	51	51	51	sock		1	1					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			9	402	str-add	51	51	51	sock		1	2					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			8	403	str-add	51	51	51	sock		1	3					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			7	404	str-add	51	51	51	sock		1	4					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			6	405	str-add	51	51	51	sock		1	5					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			5	406	str-add	51	51	51	sock		1	6					1		taxe										0	0	0
sockTaxe	100	1	1	1		0			10	401	str-add	51	51	51									1		taxe										0	0	0
sockTaxe	100	1	1	1		0			11	402	str-add	51	51	51									1		taxe										0	0	0
sockTaxe	100	1	1	1		0			12	403	str-add	51	51	51									1		taxe										0	0	0
sockTaxe	100	1	1	1		0			13	404	str-add	51	51	51									1		taxe										0	0	0
sockTaxe	100	1	1	1		0			14	405	str-add	51	51	51									1		taxe										0	0	0
sockTaxe	100	1	1	1		0			15	406	str-add	51	51	51									1		taxe										0	0	0
sockTknife	100	1	1	1		0			10	401	dex-add	51	51	51	sock		1	1					1		tkni										0	0	0
sockTknife	100	1	1	1		0			9	402	dex-add	51	51	51	sock		1	2					1		tkni										0	0	0
sockTknife	100	1	1	1		0			8	403	dex-add	51	51	51	sock		1	3					1		tkni										0	0	0
sockTknife	100	1	1	1		0			7	404	dex-add	51	51	51	sock		1	4					1		tkni										0	0	0
sockTknife	100	1	1	1		0			6	405	dex-add	51	51	51	sock		1	5					1		tkni										0	0	0
sockTknife	100	1	1	1		0			5	406	dex-add	51	51	51	sock		1	6					1		tkni										0	0	0
sockTknife	100	1	1	1		0			10	401	dex-add	51	51	51									1		tkni										0	0	0
sockTknife	100	1	1	1		0			11	402	dex-add	51	51	51									1		tkni										0	0	0
sockTknife	100	1	1	1		0			12	403	dex-add	51	51	51									1		tkni										0	0	0
sockTknife	100	1	1	1		0			13	404	dex-add	51	51	51									1		tkni										0	0	0
sockTknife	100	1	1	1		0			14	405	dex-add	51	51	51									1		tkni										0	0	0
sockTknife	100	1	1	1		0			15	406	dex-add	51	51	51									1		tkni										0	0	0
sockPal1H	100	1	1	1		0			10	401	str-add	76	76	76	sock		1	1					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			9	402	str-add	76	76	76	sock		1	2					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			8	403	str-add	76	76	76	sock		1	3					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			7	404	str-add	76	76	76	sock		1	4					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			6	405	str-add	76	76	76	sock		1	5					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			5	406	str-add	76	76	76	sock		1	6					1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			10	401	str-add	76	76	76									1		pclb	pmac									0	0	0
sockPal1H	100	1	1	1		0			11	402	str-add	76	76	76									1		pclb	pmac									0	0	0
