name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	att%		10	10	hp/paragon	32	32	32					dex%		1	1	hp/paragon	32	32	32					mana-thorns		2	2	hp/paragon	32	32	32				0
Flawed Amethyst		18	gfv	3	att%		20	20	hp/paragon	32	32	32					dex%		2	2	hp/paragon	32	32	32					mana-thorns		4	4	hp/paragon	32	32	32				0
Amethyst		18	gsv	3	att%		30	30	hp/paragon	32	32	32					dex%		3	3	hp/paragon	32	32	32					mana-thorns		6	6	hp/paragon	32	32	32				0
Flawless Amethyst		18	gzv	3	att%		40	40	hp/paragon	32	32	32					dex%		4	4	hp/paragon	32	32	32					mana-thorns		8	8	hp/paragon	32	32	32				0
Perfect Amethyst		17	gpv	3	att%		50	50	hp/paragon	32	32	32					dex%		5	5	hp/paragon	32	32	32					mana-thorns		10	10	hp/paragon	32	32	32				0
Chipped Saphire		5	gcb	3	mana-kill		3	3	hp/paragon	32	32	32					skill-dur		1	1	hp/paragon	32	32	32					res-cold		6	6	hp/paragon	32	32	32				0
Flawed Saphire		5	gfb	3	mana-kill		6	6	hp/paragon	32	32	32					skill-dur		2	2	hp/paragon	32	32	32					res-cold		12	12	hp/paragon	32	32	32				0
Saphire		5	gsb	3	mana-kill		9	9	hp/paragon	32	32	32					skill-dur		3	3	hp/paragon	32	32	32					res-cold		18	18	hp/paragon	32	32	32				0
Flawless Saphire		5	glb	3	mana-kill		12	12	hp/paragon	32	32	32					skill-dur		4	4	hp/paragon	32	32	32					res-cold		24	24	hp/paragon	32	32	32				0
Perfect Saphire		6	gpb	3	mana-kill		15	15	hp/paragon	32	32	32					skill-dur		5	5	hp/paragon	32	32	32					res-cold		30	30	hp/paragon	32	32	32				0
Chipped Emerald		11	gcg	3	dmg-max		1	1	hp/paragon	32	32	32					regen		4	4	hp/paragon	32	32	32					res-pois		6	6	hp/paragon	32	32	32				0
Flawed Emerald		11	gfg	3	dmg-max		2	2	hp/paragon	32	32	32					regen		8	8	hp/paragon	32	32	32					res-pois		12	12	hp/paragon	32	32	32				0
Emerald		11	gsg	3	dmg-max		3	3	hp/paragon	32	32	32					regen		12	12	hp/paragon	32	32	32					res-pois		18	18	hp/paragon	32	32	32				0
Flawless Emerald		11	glg	3	dmg-max		4	4	hp/paragon	32	32	32					regen		16	16	hp/paragon	32	32	32					res-pois		24	24	hp/paragon	32	32	32				0
Perfect Emerald		12	gpg	3	dmg-max		5	5	hp/paragon	32	32	32					regen		20	20	hp/paragon	32	32	32					res-pois		30	30	hp/paragon	32	32	32				0
Chipped Ruby		7	gcr	3	heal-kill		2	2	hp/paragon	32	32	32					vit%		1	1	hp/paragon	32	32	32					res-fire		6	6	hp/paragon	32	32	32				0
Flawed Ruby		7	gfr	3	heal-kill		4	4	hp/paragon	32	32	32					vit%		2	2	hp/paragon	32	32	32					res-fire		12	12	hp/paragon	32	32	32				0
Ruby		7	gsr	3	heal-kill		6	6	hp/paragon	32	32	32					vit%		3	3	hp/paragon	32	32	32					res-fire		18	18	hp/paragon	32	32	32				0
Flawless Ruby		7	glr	3	heal-kill		8	8	hp/paragon	32	32	32					vit%		4	4	hp/paragon	32	32	32					res-fire		24	24	hp/paragon	32	32	32				0
Perfect Ruby		9	gpr	3	heal-kill		10	10	hp/paragon	32	32	32					vit%		5	5	hp/paragon	32	32	32					res-fire		30	30	hp/paragon	32	32	32				0
Chipped Diamond		1	gcw	3	extra-all		1	1	hp/paragon	32	32	32					str%		1	1	hp/paragon	32	32	32					res-all		1	1	hp/paragon	32	32	32				0
Flawed Diamond		1	gfw	3	extra-all		1	1	hp/paragon	32	32	32					str%		2	2	hp/paragon	32	32	32					res-all		2	2	hp/paragon	32	32	32				0
Diamond		1	gsw	3	extra-all		2	2	hp/paragon	32	32	32					str%		3	3	hp/paragon	32	32	32					res-all		3	3	hp/paragon	32	32	32				0
Flawless Diamond		1	glw	3	extra-all		2	2	hp/paragon	32	32	32					str%		4	4	hp/paragon	32	32	32					res-all		4	4	hp/paragon	32	32	32				0
Perfect Diamond		1	gpw	3	extra-all		3	3	hp/paragon	32	32	32					str%		5	5	hp/paragon	32	32	32					res-all		5	5	hp/paragon	32	32	32				0
Chipped Topaz		14	gcy	3	enr-factor		6	6	hp/paragon	32	32	32					enr%		1	1	hp/paragon	32	32	32					res-ltng		6	6	hp/paragon	32	32	32				0
Flawed Topaz		14	gfy	3	enr-factor		7	7	hp/paragon	32	32	32					enr%		2	2	hp/paragon	32	32	32					res-ltng		12	12	hp/paragon	32	32	32				0
Topaz		14	gsy	3	enr-factor		8	8	hp/paragon	32	32	32					enr%		3	3	hp/paragon	32	32	32					res-ltng		18	18	hp/paragon	32	32	32				0
Flawless Topaz		14	gly	3	enr-factor		9	9	hp/paragon	32	32	32					enr%		4	4	hp/paragon	32	32	32					res-ltng		24	24	hp/paragon	32	32	32				0
Perfect Topaz		13	gpy	3	enr-factor		10	10	hp/paragon	32	32	32					enr%		5	5	hp/paragon	32	32	32					res-ltng		30	30	hp/paragon	32	32	32				0
Chipped Skull		2	skc	3	dmg%		4	4	hp/paragon	32	32	32					ac%		4	4	hp/paragon	32	32	32					res-pois-len		1	1	hp/paragon	32	32	32				0
Flawed Skull		2	skf	3	dmg%		6	6	hp/paragon	32	32	32					ac%		6	6	hp/paragon	32	32	32					res-pois-len		2	2	hp/paragon	32	32	32				0
Skull		2	sku	3	dmg%		7	7	hp/paragon	32	32	32					ac%		7	7	hp/paragon	32	32	32					res-pois-len		3	3	hp/paragon	32	32	32				0
