Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	* Laz / temp	* Laz / temp2	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl8	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	1	160	24	1	2	50	4	106	30	204	72	203	10		1	2	2	0	8	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	1	792	48	3	3	50	4	190	30	402	72	230	20	1	4	5	4	44	7	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	1	1920	88	6	6	50	4	280	30	618	72	710	30	2	10	11	6	86	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	1	160	24	1	2	50	4	106	30	204	72	203	10		1	2	2	0	8	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	1	792	40	3	3	50	4	190	30	402	72	230	20	1	4	5	4	44	7	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	1	1832	56	6	6	50	4	280	30	618	72	710	30	2	10	11	6	86	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	1	712	40	3	3	50	4	180	30	378	72	207	20	1	4	5	4	41	7	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	1	1752	56	6	6	50	4	270	30	594	72	687	30	2	10	11	6	83	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	1	712	40	3	3	50	4	180	30	378	72	207	20	1	4	5	4	41	7	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	1	1752	56	6	6	50	4	270	30	594	72	687	30	2	10	11	6	83	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
