class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rarmwidth	rarmheight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsowidth	torsoheight	lArmLeft	lArmRight	lArmTop	lArmBottom	larmwidth	larmheight	headLeft	headRight	headTop	headBottom	headwidth	headheight	neckLeft	neckRight	neckTop	neckBottom	neckwidth	neckheight	rHandLeft	rHandRight	rHandTop	rHandBottom	rhandwidth	rhandheight	lHandLeft	lHandRight	lHandTop	lHandBottom	lhandwidth	lhandheight	beltLeft	beltRight	beltTop	beltBottom	beltwidth	beltheight	feetLeft	feetRight	feetTop	feetBottom	feetwidth	feetheight	glovesLeft	glovesRight	glovesTop	glovesBottom	gloveswidth	glovesheight
Amazon	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Sorceress	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Necromancer	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Paladin	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Barbarian	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	10	8	16	306	15	241	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
