Stat	ID	* comments	* type	*In-game	Save Bits	Save Add	Save Param Bits	*min	*max	Send Bits	Send Param Bits	Send Other	Signed	fCallback	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	damagerelated	ValShift	keepzero	direct	maxstat	itemspecific	UpdateAnimRate	Add	Multiply	Saved	CSvSigned	CSvBits	CSvParam	fMin	MinAccr	Encode	op	op param	op base	op stat1	op stat2	op stat3	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Divide	1.09-Save Bits	1.09-Save Add	*eol
Expansion		Description			ITEM SAVE					CREEPY					Description						DON'T							Cost		CHAR-SAVED				MIN VAL		SKILLS	Related Stats						Events				Group Description							MISC			
strength	0		char stat	to Strength	13	100		-100	8091	12		1			72	1	1	ModStr1a	ModStr1a									63	28	1	0	13		1	1												1	1	1	Moditem2allattrib	Moditem2allattrib		6	1024	13	100	0
energy	1		char stat	to Energy	13	100		-100	8091	12					66	1	1	ModStr1d	ModStr1d									50	28	1	0	13		1	1		8			maxmana							1	1	1	Moditem2allattrib	Moditem2allattrib			1024	13	100	0
dexterity	2		char stat	to Dexterity	13	100		-100	8091	12		1			70	1	1	ModStr1b	ModStr1b									63	28	1	0	13		1	1												1	1	1	Moditem2allattrib	Moditem2allattrib			1024	13	100	0
vitality	3		char stat	to Vitality	13	100		-100	8091	12					68	1	1	ModStr1c	ModStr1c									50	28	1	0	13		1	1		9			maxhp	maxstamina						1	1	1	Moditem2allattrib	Moditem2allattrib			1024	13	100	0
statpts	4		char stat							9																				1	0	11																						1024	0	0	0
newskills	5		char stat							9																				1	0	9																						1024	0	0	0
hitpoints	6		char stat							32												8		1	maxhp					1	0	21																						1024	0	0	0
maxhp	7		char stat	to Life	11	150		-150	1897	32				1	64	1	1	ModStr1u	ModStr1u			8						28	10	1	0	21		1	1																			1024	11	150	0
mana	8		char stat							32												8	1	1	maxmana					1	0	21																						1024	0	0	0
maxmana	9		char stat	to Mana	11	150		-150	1897	32				1	60	1	1	ModStr1e	ModStr1e			8						41	10	1	0	21		1	0																			1024	11	150	0
stamina	10		char stat							32												8	1	1	maxstamina					1	0	21																						1024	0	0	0
maxstamina	11		char stat	Maximum Stamina	10	150		-150	873	32				1	56	1	1	ModStr5d	ModStr5d			8						38	10	1	0	21		1	0																			1024	10	150	0
level	12		char stat							9																				1	0	8																						1024	0	0	0
experience	13		char stat							32																				1	0	32																						1024	0	0	0
gold	14		char stat							32																				1	0	25																						1024	0	0	0
goldbank	15		char stat							32																				1	0	25																						1024	0	0	0
