ItemType	Code	Id	*name	*order*	*status	subdivide	makepage	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
None		0								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
None		1								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Shield	shie	2	Shields	44				shld		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Armor	tors	3	Body Armors	39				armo		1	1	tors	tors			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Gold	gold	4						misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0								0
Bow Quiver	bowq	5	Arrow Quivers	61				misl	riam	0	1	rarm	larm		bow	0	1	0	1		1	0	0	0	0	0	0	0	0	3		1		0							misc	0
Crossbow Quiver	xboq	6	Crossbow Quivers	62				misl	riam	0	1	rarm	larm		xbow	0	1	0	1		1	0	0	0	0	0	0	0	0	3		1		0							misc	0
Player Body Part	play	7						misc		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Herb	herb	8						misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0							misc	0
Potion	poti	9						misc		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Ring	ring	10	Rings	60				riam	dcht	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	elix	11						misc		0	0					0	0	0	0			0	0	0	1	0	0	0	0	3		0		0							misc	0
Amulet	amul	12	Amulets	59				riam	hlm1	0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		1		3	invamu1	invamu2	invamu3				misc	0
Charm	char	13	Charms					misc		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		3	invch1	invch4	invch7				misc	0
Not Used		14								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Boots	boot	15	Boots	48				armo	hlm1	1	1	feet	feet			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Gloves	glov	16	Gloves	47				armo	hlm1	1	1	glov	glov			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Not Used		17								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Book	book	18						misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Belt	belt	19	Belts	46				armo	hlm1	1	1	belt	belt			0	0	0	0		1	0	0	0	0	2	2	2	0	3		1		0							armo	0
Gem	gem	20						sock		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Torch	torc	21						misc		0	1					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Scroll	scro	22						misc		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Not Used		23								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Scepter	scep	24	Scepters	8				rod		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
Wand	wand	25	Necromancer Wands	32				rod		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Staff	staf	26	Staves	15				rod		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
Bow	bow	27	Bows	16				miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	3		0		0							weap	0
Axe	axe	28	One-Handed Axes	4				mele	dbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Club	club	29	Clubs					blun	dbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Sword	swor	30	One-Handed Swords	1				mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Hammer	hamm	31	Hammers	7				blun		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Knife	knif	32	Daggers	12				mele	dbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Spear	spea	33	Spears	10				mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Polearm	pole	34	Polearms					mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Crossbow	xbow	35	Crossbows	17				miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Mace	mace	36	Maces	6				blun		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Helm	hlm1	37	Helms	40				dcht		1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Missile Potion	tpot	38						thro		0	1	rarm	larm			1	1	1	1			1	0	0	0	0	0	0	0	3		0		0							misc	0
Quest	ques	39	Quest Items							0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Body Part	body	40						misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		2		0							misc	0
Key	key	41						misc		0	0					0	0	0	1			1	0	0	0	0	0	0	0	3		0		0							misc	0
Throwing Knife	tkni	42	Throwing Knives	13				comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Throwing Axe	taxe	43	Throwing Axes	14				comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Javelin	jave	44	Javelins	9				comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Weapon	weap	45	Weapons					myor		0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Melee Weapon	mele	46	Melee Weapons					weap		0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Missile Weapon	miss	47	Ranged Weapons					weap		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Thrown Weapon	thro	48	Throwing Weapons					weap		0	0					1	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Combo Weapon	comb	49	Throwing Weapons					mele	thro	0	0					1	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Any Armor	armo	50	Armors					myor		0	0					0	0	0	0		1	0	0	0	0	0	0	0	1	3		0		0								0
Any Shield	shld	51	Shields					armo	seco	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Miscellaneous	misc	52	Miscellaneous Items							0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Socket Filler	sock	53						misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Second Hand	seco	54								0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Staves And Rods	rod	55						blun		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Missile	misl	56	Quivers					misc	myor	0	0					0	0	0	0			0	0	0	0	1	1	1	0	3		0		0								0
Blunt	blun	57	Blunt Weapons					mele		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Expansion		57.5																																								0
Jewel	jewl	58	Jewels	63				sock	dcht	0	0					0	0	0	0	1	1	0	0	1	0	0	0	0	0	3		0		6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
Class Specific	clas	59								0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
Amazon Item	amaz	60						clas	fbox	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	ama	0								0
Barbarian Item	barb	61						clas	fbox	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	bar	0								0
Necromancer Item	necr	62						clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	nec	0								0
Paladin Item	pala	63						clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	pal	0								0
Sorceress Item	sorc	64						clas	sbox	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	sor	0								0
Assassin Item	assn	65						clas	fbox	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	ass	0								0
Druid Item	drui	66						clas		0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	dru	0								0
Hand to Hand	h2h	67	Assassin Claws	21				mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ass	0							weap	0
Orb	orb	68	Sorceress Orbs	37				mele	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	sor	0							weap	0
Voodoo Heads	head	69	Necromancer Shields	55				shie	necr	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							armo	0
Auric Shields	ashd	70	Paladin Shields	57				shie	pala	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							armo	0
Primal Helm	phlm	71	Barbarian Helms	53				helm	barb	1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							armo	0
Pelt	pelt	72	Druid Helms	54				helm	drui	1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	dru	0							armo	0
Cloak	cloa	73						tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	0	0	0	0	0	2		0	ass	0							armo	0
Rune	rune	74						sock		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Circlet	circ	75	Circlets	42				helm		1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Healing Potion	hpot	76						poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Mana Potion	mpot	77						poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Rejuv Potion	rpot	78						hpot	mpot	0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Stamina Potion	spot	79						poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Antidote Potion	apot	80						poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Thawing Potion	wpot	81						poti		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Small Charm	scha	82		66				char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		3	invch1	invch4	invch7				misc	0
Medium Charm	mcha	83		67				char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		3	invch2	invch5	invch8				misc	0
Large Charm	lcha	84		68				char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		3	invch3	invch6	invch9				misc	0
Amazon Bow	abow	85	Amazon Bows	18				bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	2		0	ama	0							weap	0
Amazon Spear	aspe	86	Amazon Spears	19				spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ama	0							weap	0
Amazon Javelin	ajav	87	Amazon Javelins	20				jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	3	3	3	0	2		0	ama	0							misc	0
Hand to Hand 2	h2h2	88						h2h		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2	ass	0	ass	0							weap	0
Magic Bow Quiv	mboq	89						bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Magic Xbow Quiv	mxbq	90						xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Chipped Gem	gem0	91						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Flawed Gem	gem1	92						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Standard Gem	gem2	93						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
