Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	25	50	0	0	0	0	0	0							0	0																																																																												0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Town	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1		180	212	255	224	1	1	0	0	2025	0	25	50	0	0	0	0	0	0							0	0																																																																chicken				30								0	1	0	Rogue Encampment	To The Rogue Encampment	A1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Wilderness 1	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1		96	212	255	224	0	0	1	0	4500	1	55	120	1	53	120	3000	4000	5000							1	0	5		dead1	quills1	evilskel1	wingedfiend1	flit1																	dead1	quills1	evilskel1	wingedfiend1	flit1																dead1	quills1	evilskel1	wingedfiend1	flit1																												0	2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0	1
Act 1 - Wilderness 2	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1		96	212	255	224	1	0	1	0	4500	8	56	120	8	55	120	1000	1200	1400							1	0	10		evilskel1	archskel1	infernalteddy1	rogue1h1	rogue2h1	fallenfather1	spidey1	elite_quillsA	treeppl1	sarandesh1												evilskel1	archskel1	infernalteddy1	rogue1h1	rogue2h1	fallenfather1	spidey1	elite_quillsA	treeppl1	sarandesh1											evilskel1	archskel1	infernalteddy1	rogue1h1	rogue2h1	fallenfather1	spidey1	treeppl1	sarandesh1																								0	2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0	1
Act 1 - Wilderness 3	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1		96	212	255	224	0	0	1	0	4500	10	57	120	10	58	120	600	700	800							1	0	11		roguebow1	infernalteddy1	fallenfather2	gnat1	archskel1	spidey1	elite_wingedfiendA	fungus1	harlequin1	sarandesh1	cavetroll_afk											roguebow1	infernalteddy1	fallenfather2	gnat1	archskel1	spidey1	elite_wingedfiendA	fungus1	harlequin1	sarandesh1	cavetroll_afk										roguebow1	infernalteddy1	fallenfather2	gnat1	archskel1	spidey1	fungus1	harlequin1	sarandesh1																								0	2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0	1
Act 1 - Wilderness 4	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1		4	48	24	0	1	0	1	0	4500	12	57	120	12	61	120	600	700	800							1	0	10		gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	elite_evilskelA	fungus1	creepshow1	harlequin1												gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	elite_evilskelA	fungus1	creepshow1	harlequin1											gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	fungus1	creepshow1	harlequin1																								0	2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0	1
Act 1 - Wilderness 5	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1		96	212	255	224	0	0	1	0	4500	13	58	120	13	62	120	600	700	800							1	0	9		ghost1	couatlchild1	rogue2h2	wisp1	roguebow2	fallenfather2	infernalteddy2	elite_gnatA	cultist1													ghost1	couatlchild1	rogue2h2	wisp1	roguebow2	fallenfather2	infernalteddy2	elite_gnatA	cultist1												ghost1	couatlchild1	rogue2h2	wisp1	roguebow2	fallenfather2	infernalteddy2	cultist1																									0	2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0	1
Act 1 - Wilderness 6	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1		64	212	255	224	1	0	1	0	4500	14	58	120	14	64	120	1000	1200	1400							1	0	11	WITCH AREA	wisp1	roguebow2	fallenfather3	infernalteddy2	quills2	ghost1	evilskel2	archskel2	elite_fallenfatherA	cultist1	cavetroll_afk											wisp1	roguebow2	fallenfather3	infernalteddy2	quills2	ghost1	evilskel2	archskel2	elite_fallenfatherA	cultist1	l4dwitch										wisp1	roguebow2	fallenfather3	infernalteddy2	quills2	ghost1	evilskel2	archskel2	cultist1																								0	2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	1
Act 1 - Cave 1	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1		16	128	255	192	0	0	1	1	2025	5	55	120	5	51	120	750	1000	1250							0	0	5		doe_fallenfather1	doe_dead1	doe_evilskel1	doe_archskel1	elite_quillsA																	doe_fallenfather1	doe_dead1	doe_evilskel1	doe_archskel1	elite_quillsA																doe_fallenfather1	doe_dead1	doe_evilskel1	doe_archskel1																	rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	A1L9	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0	1
Act 1 - Cave 2	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1		16	128	255	192	0	0	1	0	2025	8	56	120	8	55	120	750	850	1000							1	0	5		fallenfather1	wingedfiend1	evilskel1	archskel1	elite_quillsA																	fallenfather1	wingedfiend1	evilskel1	archskel1	elite_quillsA																fallenfather1	wingedfiend1	evilskel1	archskel1																	rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
