Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	* Laz / notes	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
NoDesc	1	1	1	1	21	0				84	201	ac		21	40												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	8	33	7				120	201	ac		41	60												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	16	45	13				117	201	ac		61	80												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	23	57	19				144	201	ac		81	100												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	30	69	25				171	201	ac		101	120												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	37	81	31				198	201	ac		121	140												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	44	90	37				225	201	ac		141	160												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	52	90	43				168	201	ac		161	180												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	59	90	49				186	201	ac		181	200												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	66		55				204	201	ac		201	220												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	80		66				238	201	ac		221	400												staf	bow	xbow	pham	pspe								0	0	0
NoDesc	1	1	1	1	21	0				105	201	ac		11	25												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	11	37	9				165	201	ac		26	40												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	18	49	15				210	201	ac		41	55												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	25	61	21				255	201	ac		56	70												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	32	73	27				300	201	ac		71	85												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	40	85	33				276	201	ac		86	100												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	47	90	39				312	201	ac		101	115												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	54	90	45				348	201	ac		116	130												amul	misl	spea					pspe					0	0	0
NoDesc	1	1	1	61	90	51				288	201	ac		131	145												amul	misl	spea					pspe					0	0	0
