Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	* THM	* THM (N)	* THM (H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	11	1200	2	11	1200	28	216	11500	28	216	11500	56	432	23000	42	125	50000	42	125	50000	1	7	515	1	7	515	106	187	500	106	187	500
2	7	17	1200	7	17	1200	34	260	11500	34	260	11500	68	520	23000	131	138	50000	131	138	50000	3	7	515	3	7	515	108	188	500	108	188	500
3	12	23	1200	12	23	1200	40	302	11500	40	302	11500	80	604	23000	149	160	50000	149	160	50000	6	11	515	6	11	515	109	190	500	109	190	500
4	17	30	1200	17	30	1200	45	345	11500	45	345	11500	90	690	23000	172	187	50000	172	187	50000	7	12	515	7	12	515	110	193	500	110	193	500
5	22	36	1200	22	36	1200	51	387	11500	51	387	11500	102	774	23000	196	220	50000	196	220	50000	10	15	515	10	15	515	112	195	500	112	195	500
6	27	42	1200	27	42	1200	56	432	11500	56	432	11500	112	864	23000	225	260	50000	225	260	50000	12	18	515	12	18	515	113	196	500	113	196	500
7	32	48	1200	32	48	1200	62	474	11500	62	474	11500	124	948	23000	261	311	50000	261	311	50000	15	22	515	15	22	515	114	200	500	114	200	500
8	37	55	1200	37	55	1200	68	514	11500	68	514	11500	136	1028	23000	296	365	50000	296	365	50000	17	24	515	17	24	515	116	201	500	116	201	500
9	42	61	1200	42	61	1200	73	557	11500	73	557	11500	146	1114	23000	332	421	50000	332	421	50000	19	28	515	19	28	515	117	202	500	117	202	500
10	47	67	1200	47	67	1200	79	601	11500	79	601	11500	158	1202	23000	372	491	50000	372	491	50000	21	30	515	21	30	515	118	206	500	118	206	500
11	52	73	1200	52	73	1200	84	644	11500	84	644	11500	168	1288	23000	415	566	50000	415	566	50000	23	32	515	23	32	515	120	207	500	120	207	500
12	57	80	1200	57	80	1200	90	684	11500	90	684	11500	180	1368	23000	456	646	50000	456	646	50000	25	35	515	25	35	515	121	208	500	121	208	500
13	62	86	1200	62	86	1200	96	730	11500	96	730	11500	192	1460	23000	497	732	50000	497	732	50000	28	39	515	28	39	515	122	212	500	122	212	500
