Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
shadows		fade				1	1	state			68	1	1	hit-skill	Pet Corpse on Death		683	5	1																			fade			1	1	state		68	1	1	hit-skill		683	5	1																fade			1	1	state		68	1	1	hit-skill		683	5	1																0
darklings		fade				1	1	state			68	1	1																									fade			1	1	state		68	1	1																					fade			1	1	state		68	1	1																					0
rampagors		fade				0	0	state			68	1	1																									fade			0	0	state		68	1	1																					fade			0	0	state		68	1	1																					0
lamias		fade				0	0	state			68	1	1	att-skill			795	100	10																			fade			0	0	state		68	1	1	att-skill		795	100	10																fade			0	0	state		68	1	1	att-skill		795	100	10																0
voidarchons		fade				0	0	state			68	1	1	stupidity				2	2	red-dmg%				75	75	att-skill			760	100	1	dmg-stun				125	125	fade			0	0	state		68	1	1	stupidity			2	2	red-dmg%			75	75	att-skill		760	100	1	dmg-stun			125	125	fade			0	0	state		68	1	1	stupidity			2	2	red-dmg%			75	75	att-skill		760	100	1	dmg-stun			125	125	0
overlords		fade				1	1	state			68	1	1																									fade			1	1	state		68	1	1																					fade			1	1	state		68	1	1																					0
goldencalf		fade				1	1	state			249	1	1	damage-skill			54	25	1																			fade			1	1	state		249	1	1	damage-skill		54	25	1																fade			1	1	state		249	1	1	damage-skill		54	25	1																0
morphist1		fade				1	1	state			78	1	1																									fade			1	1	state		78	1	1																					fade			1	1	state		78	1	1																					0
morphist2		fade				1	1	state			230	1	1																									fade			1	1	state		230	1	1																					fade			1	1	state		230	1	1																					0
shadowfiends		res-curse				100	100	state			87	1	1	hit-skill	Shadowfiends Shadows Buff		686	5	1																			res-curse			100	100	state		87	1	1	hit-skill		686	5	1																res-curse			100	100	state		87	1	1	hit-skill		686	5	1																0
familiarbats		fade				1	1	state			2	0	0																									fade			1	1	state		2	0	0																					fade			1	1	state		2	0	0																					0
deathknights		fade				1	1	state			91	0	0																									fade			1	1	state		91	0	0																					fade			1	1	state		91	0	0																					0
aciddevils		hit-skill			223	10	5	avoidance				33	33																									hit-skill		223	10	5	avoidance			33	33																					hit-skill		223	10	5	avoidance			33	33																					0
barbtotems		ac-miss				50	50																															ac-miss			50	50																										ac-miss			50	50																										0
attacktotems		ac-miss				50	50	reanimate			1693	100	100																									ac-miss			50	50	reanimate		1693	100	100																					ac-miss			50	50	reanimate		1693	100	100																					0
explodingtotems		ac-miss				50	50	death-skill			765	100	5																									ac-miss			50	50	death-skill		765	100	5																					ac-miss			50	50	death-skill		765	100	5																					0
taunttotems		ac-miss				50	50	hit-skill	Taunt		137	33	1																									ac-miss			50	50	hit-skill		137	33	1																					ac-miss			50	50	hit-skill		137	33	1																					0
barballies																																																																																																		0
thunderbear		fade				1	1	state			95	1	1																									fade			1	1	state		95	1	1																					fade			1	1	state		95	1	1																					0
ulti_elemental		hit-skill			702	1	6																															hit-skill		702	1	6																										hit-skill		702	1	6																										0
regu_elemental		hit-skill			1003	5	2																															hit-skill		1003	5	2																										hit-skill		1003	5	2																										0
dragoncompanions		hit-skill			737	100	2																															hit-skill		737	100	4																										hit-skill		737	100	6																										0
mercaura		aura	Merc Energy Factor Aura		287	1	1																															aura		287	1	1																										aura		287	1	1																										0
other	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
othernophysimmune	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
alibaba1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Teleport		54	25	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		54	25	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		54	25	1						0
alibaba2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Teleport		54	50	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		54	50	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		54	50	1						0
alibaba3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Teleport		54	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		54	100	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		54	100	1						0
balrog1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	swing3				150	150													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	swing3			150	150											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	swing3			150	150						0
balrog2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	swing3				150	150													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	swing3			150	150											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	swing3			150	150						0
balrog3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	swing3				150	150													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	swing3			150	150											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	swing3			150	150						0
balrog4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	swing3				150	150													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	swing3			150	150											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	swing3			150	150						0
bigcat1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Fanaticism		548	1	2													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		548	4	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		548	3	4						0
