Id	hcIdx	BaseId	NextInClass	MonStatsEx	MonProp	NameStr	DescStr	* category	* comment	*PresetLevel	* Marco / loc	enabled	killable	Align	switchai	noAura	boss	primeevil	petIgnore	flying	threat	Code	TransLvl	AI	Velocity	Run	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	aidel	aidel(N)	aidel(H)	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	noRatio	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	Crit	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	DamageRegen	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	MonType	MonSound	isMelee	lUndead	hUndead	demon	TreasureClass1	TreasureClass1(N)	TreasureClass1(H)	isSpawn	MinGrp	MaxGrp	Rarity	sparsePopulate	rangedtype	minion1	minion2	PartyMin	PartyMax	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	placespawn	spawn	spawnx	spawny	spawnmode	SetBoss	BossXfer	opendoors	nomultishot	neverCount	interact	npc	inventory	inTown	deathDmg	genericSpawn	SkillDamage	UMonSound	zoo	SendSkills	Level	Level(N)	Level(H)	*eol
Expansion	Base							Info				General										Token		AI						1			2			3			4			5			6			7			8						Skills 1															Missiles									Normal													Nightmare													Hell													Misc					Resistances																			Type & Sound						Treasure Class			Density						Minions				Elemental Damage 1														Elemental Damage 2														Elemental Damage 3														Skills 2									Resistances 2						Fancy				TC Special											Boss/Nest Special							The Rest										Auto			Unused			|
skeleton1	0	skeleton1		zakarumcleric2	other	RathmaPriest	mon_invisible	Classic				1	1		1						10	ZP	3	Vampire	8	8	80	80	80	95	95	95	100	100	100	100	100	100	25	25	25	7	7	7										3	2	1	Friendly Hammer	S1	3	Friendly Wave	S1	3	Friendly Hammer	S1	4	Friendly Hammer	S1	1													640	800	100	120	15	21	300	15	21	300	15	21	300	640	800	100	120	60	84	600	60	84	600	60	84	600	1600	1600	100	120	180	240	1200	180	240	1200	180	240	1200	0		22	22	22	0																			priests	cantor								1	1	1	1		1																																																								140	100	100	-20	-20	-20																							1		1			1					cantor			30	75	110	0
skeleton2	1	skeleton1		zakarumcleric2	other	RathmaPriest	mon_invisible	Classic				1	1		1						10	ZP	3	Vampire	8	8	80	80	80	95	95	95	100	100	100	100	100	100	25	25	25	7	7	7										3	2	1	Friendly Hammer	S1	3	Friendly Wave	S1	3	Friendly Hammer	S1	4	Friendly Hammer	S1	1													640	800	100	120	15	21	300	15	21	300	15	21	300	640	800	100	120	60	84	600	60	84	600	60	84	600	1600	1600	100	120	180	240	1200	180	240	1200	180	240	1200	0		22	22	22	0																			priests	cantor								1	1	1	1		1																																																								140	100	100	-20	-20	-20																							1		1								cantor			30	75	110	0
skeleton3	2	skeleton1		zakarumcleric2	other	RathmaPriest	mon_invisible	Classic				1	1		1						10	ZP	3	Vampire	8	8	80	80	80	95	95	95	100	100	100	100	100	100	25	25	25	7	7	7										3	2	1	Friendly Hammer	S1	3	Friendly Wave	S1	3	Friendly Hammer	S1	4	Friendly Hammer	S1	1													640	800	100	120	15	21	300	15	21	300	15	21	300	640	800	100	120	60	84	600	60	84	600	60	84	600	1600	1600	100	120	180	240	1200	180	240	1200	180	240	1200	0		22	22	22	0																			priests	cantor								1	1	1	1		1																																																								140	100	100	-20	-20	-20																							1		1								cantor			30	75	110	0
skeleton4	3	skeleton1	skeleton5	skeleton4		BurningDead		Classic				1	1		1						10	SK	3	Skeleton	6	6				90	95	95	7	6	5	90	95	99	66	66	66													15	14	13	SkeletonRaise	seq_skeletonraise	1																						93	133	84	85	45	101	110	34	101	125				81	116	92	85	42	95	110	37	103	125				185	200	100	85	40	90	110	40	105	125				0		25	25	25	0																			skeleton	skeleton	1	1						1	2	4	2							A1	fire	50	22	55		50	25	55		50	25	55																																							0			-20	-20	-20																							1		1								skeleton	1		16	54	110	0
skeleton5	4	skeleton1	skeleton6	skelespecial		Horror		Classic				1									10	SK	4	Trap-Poison	3	3	99	99	99	1	1	1	1	1	1	1	1	1																15	14	13	SkeletonRaise	seq_skeletonraise	1																					1	1	1												1	1												1	1												0					0																			skeleton	skeleton	1	1						1	1	1	2																																																										0			-20	-20	-20																							1		1								skeleton	1		1	1	1	0
zombie1	5	zombie1	zombie2	zombie1		Zombie		Classic				1	1		1						10	ZM	0	Zombie	1	4				30	40	50	10	15	20				20	25	30													15	14	13																									101	181	84	111	51	151	105	101	151	110				103	165	82	108	55	145	105	85	150	110				202	225	80	105	60	140	105	70	150	110				0		3	3	3	0																			zombie	zombie	1	1						1	1	2	2																																																										140	100	100	-20	-20	-20																																	zombieunique	1		1	45	110	0
zombie2	6	zombie1	zombie3	zombie2		HungryDead		Classic				1	1		1						10	ZM	1	Zombie	1	5				40	50	60	15	20	25				25	30	35													15	14	13																									101	186	84	111	34	101	105	101	134	110				103	168	82	108	47	120	105	85	142	110				202	225	80	105	60	140	105	70	150	110				0		4	4	4	0																			zombie	zombie	1	1						1	1	3	2																																																										140	100	100	-20	-20	-20																																	zombieunique	1		3	46	110	0
zombie3	7	zombie1	zombie4	zombie3		Ghoul		Classic				1	1		1						10	ZM	2	Zombie	1	5				50	60	70	20	25	30				30	35	40													15	14	13																									108	197	84	109	51	138	105	113	163	110				106	173	82	107	55	139	105	91	156	110				202	225	80	105	60	140	105	70	150	110				0		13	13	13	0																			zombie	zombie	1	1						1	2	3	2																																																										140	100	100	-20	-20	-20																																	zombieunique	1		15	54	110	0
zombie4	8	zombie1	zombie5	zombie4		DrownedCarcass		Classic				1	1		1						10	ZM	3	Zombie	1	6				100	100	100	30	30	30				35	40	45													15	14	13																									107	192	85	109	51	136	105	108	165	110				106	171	82	107	53	135	105	89	157	110				202	225	80	105	55	135	105	70	150	110				0		22	22	22	0																			zombie	zombie	1	1						1	2	4	2							A1	cold	75	21	42		75	20	40	75	75	20	40	100																																						140	100	100	-20	-20	-20																																	zombieunique	1		28	63	110	0
zombie5	9	zombie1		zombie5		PlagueBearer		Classic				1	1		1						10	ZM	4	Zombie	1	6				60	70	80	25	30	30				40	45	50													15	14	13																									109	192	84	109	55	137	105	101	164	110				107	171	82	107	55	136	105	85	157	110				202	225	80	105	55	135	105	70	150	110				0		17	17	17	0																			zombie	zombie	1	1						1	3	4	2							A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																																						140	100	100	-20	-20	-20																																	zombieunique	1		21	58	110	0
bighead1	10	bighead1	bighead2	bighead1		Afflicted		Classic				1	1		1						10	@5	1	Bighead	8	8				88	75	75	40	30	30	0	20	30	60	70	80													15	14	13																	bighead1								66	127	63	81	76	113	110							65	123	76	103	63	106	110							182	210	90	125	50	100	110							0		11	11	11	0																			bighead	bighead				1				1	2	3	1		1					A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																									140	100	100	-20	-20	-20																							1										bighead			15	54	110	0
bighead2	11	bighead1	bighead3	bighead2		Tainted		Classic				1	1		1						10	BH	1	Bighead	8	8				86	100	100	40	40	40	0	30	40	60	70	80													15	14	13																	bighead2								67	130	63	81	63	101	110							66	125	76	103	56	100	110							182	210	90	125	50	100	110							0		10	10	10	0																			bighead	bighead				1				1	2	4	1		1					A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																									140	100	100	-20	-20	-20																							1										bighead			14	53	110	0
bighead3	12	bighead1	bighead4	bighead3		Misshapen		Classic				1	1		1						10	BH	2	Bighead	6	6				80	50	50	40	50	50	0	40	50	60	70	80													15	14	13																	bighead3								62	124	64	81	76	101	110							63	122	77	103	63	100	110							182	210	90	125	50	100	110							0		5	5	5	0																			bighead	bighead				1				1	1	2	1		1					A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																									140	100	100	-20	-20	-20																							1										bighead			6	46	110	0
bighead4	13	bighead1	bighead5	bighead4		Disfigured		Classic				1	1		1						10	BH	3	Bighead	6	6				83	0	0	40	40	40	0	50	65	60	70	80													15	14	13																	bighead4								67	128	63	81	67	101	110							66	124	76	103	58	100	110							182	210	90	125	50	100	110							0		8	8	8	0																			bighead	bighead				1				1	1	3	1		1					A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																									140	100	100	-20	-20	-20																							1										bighead			10	50	110	0
bighead5	14	bighead1	bighead6	bighead5		Damned		Classic				1	1		1						10	BH	4	Bighead	9	9				90	33	33	40	30	30	0	60	80	60	70	80													15	14	13																	bighead5								65	126	63	88	71	106	110							65	123	76	106	60	103	110							182	210	90	125	50	100	110							0		22	22	22	0																			bighead	bighead				1				1	3	4	2		1					A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																									140	100	100	-20	-20	-20																							1										bighead			34	71	110	0
foulcrow1	15	foulcrow1	foulcrow2	foulcrow1		FoulCrow		Classic				1	1		1					1	10	BK	0	BloodHawk	5	5				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100										15	14	13																									19	46	13	37	26	51	115							19	45	66	38	48	80	115							160	172	120	40	70	110	115							0		5	5	5	0																			foulcrow	foulcrow	1							1	2	4	2							A1	pois					15	10	33	100	25	10	33	100																																						140	100	100	-20	-20	-20																																	foulcrow			5	46	110	0
foulcrow2	16	foulcrow1	foulcrow3	foulcrow2		BloodHawk		Classic				1	1		1					1	10	BK	1	BloodHawk	5	5				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100										15	14	13																									21	41	14	37	41	61	115							20	43	67	38	55	85	115							160	172	120	40	70	110	115							0		7	7	7	0																			foulcrow	foulcrow	1							1	3	4	2							A1	pois					15	10	33	100	25	10	33	100																																						140	100	100	-20	-20	-20																																	foulcrow			8	48	110	0
foulcrow3	17	foulcrow1	foulcrow4	foulcrow3		BlackRaptor		Classic				1	1		1					1	10	BK	2	BloodHawk	6	6				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100										15	14	13																									21	45	13	37	37	64	115							20	45	66	38	53	87	115							160	172	120	40	70	110	115							0		17	17	17	0																			foulcrow	foulcrow	1							1	3	5	2							A1	pois					15	10	33	100	25	10	33	100																																						140	100	100	-20	-20	-20																																	foulcrow			20	56	110	0
foulcrow4	18	foulcrow1	foulcrow5	foulcrow4		CloudStalker		Classic				1	1		1					1	10	BK	3	BloodHawk	8	8				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100										15	14	13																									22	44	13	36	36	72	115							21	44	66	38	53	91	115							160	172	120	40	70	110	115							0		22	22	22	0																			foulcrow	foulcrow	1							1	4	5	2							A1	pois					15	10	33	100	25	10	33	100																																						140	100	100	-20	-20	-20																																	foulcrow			28	61	110	0
fallen1	19	fallen1	fallen2	fallenchild1	other	FallenOne		Classic				1	1		1						10	FA	0	Brute	8	8							15	10	5	75	80	85	50	50	50													5	4	3																									40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100				0		9	9	9	0																			fallen	fallen	1			1				1	2	3	1			fallenchild1		2	3																																																				140	100	100	-20	-20	-20																					1	1	1										fallen	1		3	45	110	0
fallen2	20	fallen1	fallen3	fallenchild2	other	Invader		Classic				1	1		1						10	FA	1	Brute	8	8							10	5	0	80	85	90	50	50	50													5	4	3																									40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100				0		9	9	9	0																			fallen	fallen	1			1				1	2	3	1			fallenchild2		2	3																																																				140	100	100	-20	-20	-20																					1	1	1										fallen	1		5	46	110	0
fallen3	21	fallen1	fallen4	fallenchild3	other	Defiler		Classic				1	1		1						10	FA	2	Brute	8	8							5	0	0	85	90	95	50	50	50													5	4	3																									40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100				0		9	9	9	0																			fallen	fallen	1			1				1	2	3	1			fallenchild3		2	3																																																				140	100	100	-20	-20	-20																					1	1	1										fallen	1		10	50	110	0
fallen4	22	fallen1	fallen5	fallenchild4	other	Scourge		Classic				1	1		1						10	FA	3	Brute	8	8							0	0	0	90	95	100	50	50	50													5	4	3																									40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100				0		9	9	9	0																			fallen	fallen	1			1				1	2	3	1			fallenchild4		2	3																																																				140	100	100	-20	-20	-20																					1	1	1										fallen	1		14	53	110	0
fallen5	23	fallen1	fallen6	fallenchild4	other	Scourge		Classic				1	1		1						10	FA	3	Brute	8	8							0	0	0	90	95	100	50	50	50													5	4	3																									40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100				0		9	9	9	0																			fallen	fallen	1			1				1	2	3	1			fallenchild4		2	3																																																				140	100	100	-20	-20	-20																					1	1	1										fallen	1		14	53	110	0
brute2	24	brute2	brute3	brute2		Brute		Classic				1	1		1						10	YE	0	Brute	5	5							0	0	0	75	75	80	100	100	90													15	14	13																									139	224	84	121	76	101	95	126	151	100				142	217	84	120	73	110	95	118	145	100				222	255	85	120	70	120	95	110	140	100				0		6	6	6	0																			brute	brute	1							1	1	2	1																																																										140	100	100	-20	-20	-20																							1										brute	1		6	48	110	0
brute3	25	brute2	brute4	brute3		Yeti		Classic				1	1		1						10	YE	1	Brute	5	5							0	0	0	80	80	85	85	85	75													15	14	13																									146	236	84	121	58	101	95	115	129	100				145	223	84	120	64	110	95	112	134	100				222	255	85	120	70	120	95	110	140	100				0		10	10	10	0																			brute	brute	1							1	2	2	1																																																										140	100	100	-20	-20	-20																							1										brute	1		11	50	110	0
brute4	26	brute2	brute5	brute4		Crusher		Classic				1	1		1						10	YE	2	Brute	6	6							0	0	0	85	85	90	75	75	65													15	14	13																									143	231	84	120	62	101	95	108	139	100				144	220	84	120	66	110	95	109	139	100				222	255	85	120	70	120	95	110	140	100				0		19	19	19	0																			brute	brute	1							1	2	3	2																																																										140	100	100	-20	-20	-20																							1										brute	1		24	60	110	0
