pet type	idx	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4	eol
none	0																				0
single	1		1	1		1		1													0
valkyrie	2		0	1		1	1	1	StrUI4	1	1	valkarieicon									0
golem	3		0	1		1	1	1	StrUI0	1	3	earthgolumicon	290	bloodgolumicon	291	metalgolumicon	292	firegolumicon			0
skeleton	4		0	1		1	1	1	StrUI1	1	2	skeletonicon									0
skeletonmage	5		0	1		1	1	1	StrUI2	1	2	skeletonmageicon									0
revive	6		0	1		1	1	1	DescResurrectedZ	1	2	paladinicon									0
hireable	7		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon			0
dopplezon	8		0				1	1		1											0
invis	9		0	1																	0
raven	10		0	1					strUI5		2	raven									0
spiritwolf	11	1	0	1		1	1	1	strUI6	1	2	wolf									0
fenris	12	1	0	1		1	1	1	UIFenirsui	1	2	wolf									0
totem	13		0	1		1	1	1	strUI14	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs					0
vine	14		0	1		1	1	1	strUI13	1	3	plaguepoppy	426	cycleoflife	427	vines					0
grizzly	15	1	0	1		1	1	1	strUI7	1	1	bear									0
shadowwarrior	16		0	1		1	1	1	TripleGoddess	1	2	sorceressicon									0
assassintrap	17		0		1																0
pettrap	18		0		1																0
hydra	19		0		1																0
summonster	20		0	1		1	1	1		1											0
shadowspet	21		0	1		1	1	1	Shadow	1	2	necromancericon									0
darklingspet	22		0	1		1	1	1	Darkling	1	2	necromancericon									0
rampagorspet	23		0	1		1	1	1	Rampagor	1	2	necromancericon									0
lamiaspet	24		0	1		1	1	1	Lamia	1	2	necromancericon									0
voidarchonspet	25		0	1		1	1	1	VoidArchon	1	2	necromancericon									0
overlordspet	26		0	1		1	1	1	Overlord	1	2	necromancericon									0
aciddevilspet	27		0	1		1	1	1	AcidDevil	1	2	druidicon									0
guardianspet	28	1	0	1		1	1	1	GuardianSpirit	1	2	barbarianicon									0
defenderspet	29	1	0	1		1	1	1	DefenderSpirit	1	2	barbarianicon									0
protectorspet	30	1	0	1		1	1	1	ProtectorSpirit	1	2	barbarianicon									0
crusaderspet	31		0	1		1	1	1	CrusaderSpirit	1	1	paladinicon									0
totemic	32		0	1		1	1	1	Totem	1	2	necromancericon									0
thunderbear	33		0	1		1	1	1	TBPet	1	1	druidicon									0
elementalspet	34		0	1		1	1	1	IceElemental	1	2	sorceressicon									0
champspet	35		0	1		1	1	1	SunsChimp	1	2	amazonicon									0
fleshpet	36		0			1			SkillnameFleshFlesh												0
calfspet	37		0			1	1	1	GoldenCalf	1	1	paladinicon									0
initiatepet	38		0	1		1	1	1	InitAco	1	1	paladinicon									0
forcepet	39		0	1		1	1	1	ForceNat	1	1	druidicon									0
scourgespet	40		0	1		1	1	1	ScPet	1	2	paladinicon									0
elementalapet	41		0	1		1	1	1	FireElementalZomg	1	2	amazonicon									0
shadowfiendspet	42		0	1		1	1	1	SFPet	1	2	paladinicon									0
familiarbatspet	43		0	1		1	1	1	FBPet	1	2	assassinicon									0
deathknightspet	44		0	1		1	1	1	DKPet	1	2	amazonicon									0
focuspet	45		0		1																0
shockbeastspet	46		0	1		1	1	1	SBZpet	1	2	spiritofbarbs									0
edyremspet	47		0	1		1	1	1	EdyremLol	1	2	spiritofbarbs									0
daystarspet	48		0	1		1	1	1	SDstPet	1	2	spiritofbarbs									0
shredderspet	49		0	1		1	1	1	SShrPet	1	2	spiritofbarbs									0
banemonsterspet	50		0	1		1	1	1	SMonPet	1	2	spiritofbarbs									0
summonfallenpet	51		0	1		1	1	1	SFllPet	1	2	spiritofbarbs									0
vengeancespet	52		0	1			1	1	VengeancesPet		1	amazonicon									0
sinnerspet	53		0	1		1	1	1	SSinPet	1	2	spiritofbarbs									0
avalanchespet	54		0	1		1	1	1	SAvaPet	1	2	spiritofbarbs									0
glowingfspet	55		0	1		1	1	1	SGlowPet	1	2	spiritofbarbs									0
sirenspet	56		0	1		1	1	1	SirenKZ	1	2	necromancericon									0
elvenpet	57		0	1		1	1	1	ElvensongName	1	2	druidicon									0
companionspet	58		0	1					WolfCompanion		2	barbarianicon									0
jinnspet	59		0	1		1	1	1	JinnPet	1	2	necromancericon									0
totemboundspet	60		0	1		1	1	1	TotemPet	1	2	necromancericon									0
veilkingspet	61		0	1		1	1	1	VKPet	1	2	necromancericon									0
hornedgodspet	62		0	1		1	1	1	HornedGod	1	2	sorceressicon									0
midnightfaespet	63		0	1					MidnightFaesPet		2	amazonicon									0
devilcatspet	64		0	1					DevilCat2		2	sorceressicon									0
dragonspet	65		0	1					DragonComp2		2	amazonicon									0
