code	* count	* where	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
Expansion	999	all																																		0
att%	358	all			1	item_tohit_percent																													none	0
extra-pm	275	all			1	passive_pm_mastery																									Laz / Interacts with skills.txt		min	max	damage bonus to physical and magic skills	0
shrinecount	680	cube			1	shrine_counter																														0
sock	22	cube			14	item_numsockets																													none	0
upgraded	16	cube			1	item_upgraded																									Laz / Interacts with cubemain.txt		1	1	none	0
chest_gamble	8	cube			1	trader_chest																									Laz / MC counter		min	max	none	0
xsignet03	4	cube			1	x_signet03																									Laz / MC counter		min	max	none	0
xsignet01	3	cube			1	x_signet01																									Laz / MC counter		min	max	none	0
xsignet02	3	cube			1	x_signet02																									Laz / MC counter		min	max	none	0
xsignet04	3	cube			1	x_signet04																									Laz / MC counter		min	max	none	0
xsignet05	3	cube			1	x_signet05																									Laz / MC counter		min	max	none	0
xsignet06	3	cube			1	x_signet06																									Laz / MC counter		min	max	none	0
xsignet07	3	cube			1	x_signet07																									Laz / MC counter		min	max	none	0
xsignet08	3	cube			1	x_signet08																									Laz / MC counter		min	max	none	0
xsignet09	3	cube			1	x_signet09																									Laz / MC counter		min	max	none	0
xsignet12	3	cube			1	x_signet12																									Laz / MC counter		min	max	none	0
xsignet13	3	cube			1	x_signet13																									Laz / MC counter		min	max	none	0
xsignet14	3	cube			1	x_signet14																									Laz / MC counter		min	max	none	0
xsignet15	3	cube			1	x_signet15																									Laz / MC counter		min	max	none	0
xsignet16	3	cube			1	x_signet16																									Laz / MC counter		min	max	none	0
xsignet25	3	cube			1	x_signet25																									Laz / MC counter		min	max	none	0
xsignet26	3	cube			1	x_signet26																									Laz / MC counter		min	max	none	0
xsignet27	3	cube			1	x_signet27																									Laz / MC counter		min	max	none	0
xsignet30	3	cube			1	x_signet30																									Laz / MC counter		min	max	none	0
xsignet46	3	cube			1	x_signet46																									Laz / MC counter		min	max	none	0
xsignet47	3	cube			1	x_signet47																									Laz / MC counter		min	max	none	0
xsignet48	3	cube			1	x_signet48																									Laz / MC counter		min	max	none	0
xsignet50	3	cube			1	x_signet50																									Laz / MC counter		min	max	none	0
xsignet51	3	cube			1	x_signet51																									Laz / MC counter		min	max	none	0
