name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	add	multiply	divide
Beast	0	armo	weap	misc	misl								0	0	0
Eagle	0	armo	weap	misc	misl								0	0	0
Raven	0	armo	weap	misc	misl								0	0	0
Viper	0	armo	weap	misc	misl								0	0	0
GhoulRI	0	armo	weap	misc	misl								0	0	0
Skull	0	armo	weap	misc	misl								0	0	0
Blood	0	armo	weap	misc	misl								0	0	0
Dread	0	armo	weap	misc	misl								0	0	0
Doom	0	armo	weap	misc	misl								0	0	0
Grim	0	armo	weap	misc	misl								0	0	0
Bone	0	armo	weap	misc	misl								0	0	0
Death	0	armo	weap	misc	misl								0	0	0
Shadow	0	armo	weap	misc	misl								0	0	0
Storm	0	armo	weap	misc	misl								0	0	0
Rune	0	armo	weap	misc	misl								0	0	0
PlagueRI	0	armo	weap	misc	misl								0	0	0
Stone	0	armo	weap	misc	misl								0	0	0
Wraithra	0	armo	weap	misc	misl								0	0	0
Spirit	0	armo	rod										0	0	0
Storm	0	armo	weap										0	0	0
Demon	0	armo	weap										0	0	0
Cruel	0	armo	weap										0	0	0
Empyrion	0	rod											0	0	0
Bramble	0	armo	weap										0	0	0
Pain	0	armo	weap										0	0	0
Loath	0	armo	weap										0	0	0
Glyph	0	armo	weap										0	0	0
Imp	0	armo	weap										0	0	0
Fiendra	0	armo	weap										0	0	0
Hailstone	0	armo	weap										0	0	0
Gale	0	armo	weap										0	0	0
Dire	0	armo	weap										0	0	0
Soul	0	armo	weap										0	0	0
Brimstone	0	armo	weap										0	0	0
Corpse	0	armo	weap										0	0	0
Carrion	0	armo	weap										0	0	0
Holocaust	0	tors	helm	shld	swor	axe							0	0	0
Havoc	0	armo	weap	misc									0	0	0
Bitter	0	armo	weap	misc									0	0	0
Entropy	0	ring	amul										0	0	0
Chaos	0	ring	amul										0	0	0
Order	0	ring	amul	scep									0	0	0
Rule	0	rod	pspe										0	0	0
Warp	0	stor	misl	dstf	scrd								0	0	0
Rift	0	stor	scrd										0	0	0
Corruption	0	ring	amul										0	0	0
TerrQ	0	misl	nscy	nknf									0	0	0
Moon	0	ring	amul	jewl	scrd	stor	nagi						0	0	0
Star	0	ring	amul	jewl	scrd	stor							0	0	0
Leviath	0	nxbw	pham	nstf	nscy								0	0	0
Gut	0	nxbw											0	0	0
Flame	0	jewl	stor	rod	glov	scrd							0	0	0
Peace	0	azhm	shie	dstf									0	0	0
Mana	0	ring	amul	jewl	rod	scrd							0	0	0
ZakQ	0	ashd	pmac	pham	pclb	pzhm	pspe						0	0	0
DrQ	0	ashd	pmac	pham	pclb	pspe	nagi						0	0	0
Spell	0	ring	amul	jewl	rod	stor	scrd						0	0	0
SunQ	0	azsd	ashd	azhm	scep	dstf							0	0	0
HateQ	0	ishd	baxe	bswd	nknf	nscy	nxbw	pclb					0	0	0
WitchQ	0	nagi	nknf	nscy	nstf	scrd							0	0	0
ValkQ	0	azsd	azhm	aspe	abow	ajav							0	0	0
RockQ	0	baxe	basd	bswd	dbow								0	0	0
RyuQ	0	azsd	azhm	nagi	ishd								0	0	0
OniQ	0	nagi	nknf										0	0	0
NightQ	0	nagi	bswd	dbow	dstf	nknf	nscy	nstf					0	0	0
RainQ	0	nagi	basd	bswd	dbow	dstf							0	0	0
SharkQ	0	baxe	bswd	dbow	nknf	nscy							0	0	0
PlanetQ	0	basd	nscy	pzhm	scrd								0	0	0
MythQ	0	azsd	azhm	baxe	basd	bswd	pzhm	pspe					0	0	0
LoreQ	0	azsd	aspe	abow	ajav	baxe	basd	nstf					0	0	0
LightningQ	0	nagi	baxe	bswd	dbow	nknf	nxbw	pzhm					0	0	0
HawkQ	0	azhm	abow	baxe	basd	dbow							0	0	0
PhantomQ	0	nagi	dstf	nknf	nscy	nstf							0	0	0
JinxQ	0	dstf	nknf	nscy	nstf	nxbw	scrd						0	0	0
TitanQ	0	azsd	ishd	baxe	basd	bswd	pspe						0	0	0
TigerQ	0	nagi	baxe	basd	bswd								0	0	0
BearQ	0	aspe	baxe	basd	dbow	dstf							0	0	0
