name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	add	multiply	divide
bite	0	swor	knif	spea	pole	axe	h2h						0	0	0
scratch	0	swor	knif	spea	pole	h2h							0	0	0
scalpel	0	swor	knif										0	0	0
fang	0	swor	knif	spea	pole								0	0	0
gutter	0	swor	knif	spea	pole								0	0	0
thirst	0	swor	knif	spea	pole	axe	h2h						0	0	0
razor	0	swor	knif	axe	h2h								0	0	0
scythe	0	swor	axe	pole									0	0	0
edge	0	swor	knif	axe									0	0	0
saw	0	swor											0	0	0
splitter	0	axe	mace	club	hamm								0	0	0
cleaver	0	swor	axe										0	0	0
sever	0	swor	axe										0	0	0
sunder	0	axe											0	0	0
rend	0	axe											0	0	0
mangler	0	axe	mace	club	hamm								0	0	0
slayer	0	axe											0	0	0
reaver	0	axe											0	0	0
spawn	0	axe	hamm										0	0	0
gnash	0	axe	club	hamm									0	0	0
star	0	mace	hamm	scep	wand								0	0	0
blow	0	mace	club	hamm	scep								0	0	0
smasher	0	mace	club	hamm	scep								0	0	0
Bane	0	mace	scep	wand									0	0	0
crusher	0	mace	club	hamm	scep								0	0	0
breaker	0	mace	club	hamm	scep								0	0	0
grinder	0	mace	club	hamm	scep								0	0	0
crack	0	mace	club	hamm	scep	wand							0	0	0
mallet	0	hamm	club										0	0	0
knell	0	mace	club	scep	wand								0	0	0
lance	0	spea	pole										0	0	0
spike	0	swor	knif	spea	pole								0	0	0
impaler	0	swor	knif	spea	pole								0	0	0
skewer	0	swor	knif	spea									0	0	0
prod	0	spea	pole										0	0	0
scourge	0	spea	pole										0	0	0
wand	0	wand											0	0	0
wrack	0	spea	pole										0	0	0
barb	0	swor	knif	axe	spea	pole	h2h						0	0	0
needle	0	swor	knif	spea	miss								0	0	0
dart	0	spea	miss										0	0	0
bolt	0	miss	jave	misl									0	0	0
quarrel	0	miss	misl										0	0	0
fletch	0	miss	misl										0	0	0
flight	0	miss	jave	misl									0	0	0
nock	0	miss											0	0	0
horn	0	helm	miss	knif									0	0	0
stinger	0	swor	knif	spea	miss								0	0	0
quill	0	knif	miss										0	0	0
goad	0	spea	pole	staf									0	0	0
branch	0	spea	staf	bow									0	0	0
spire	0	staf											0	0	0
song	0	weap											0	0	0
call	0	rod											0	0	0
cry	0	rod											0	0	0
spell	0	rod											0	0	0
chant	0	rod											0	0	0
weaver	0	rod											0	0	0
gnarl	0	club	wand	staf									0	0	0
visage	0	helm											0	0	0
crest	0	helm											0	0	0
circlet	0	helm											0	0	0
veil	0	helm											0	0	0
hood	0	helm											0	0	0
mask	0	helm											0	0	0
brow	0	helm											0	0	0
casque	0	helm											0	0	0
visor	0	helm											0	0	0
cowl	0	helm											0	0	0
hide	0	tors											0	0	0
Pelt	0	tors											0	0	0
carapace	0	tors											0	0	0
coat	0	tors											0	0	0
wrap	0	tors											0	0	0
suit	0	tors											0	0	0
cloak	0	tors											0	0	0
shroud	0	tors											0	0	0
jack	0	tors											0	0	0
mantle	0	tors											0	0	0
guard	0	shld											0	0	0
badge	0	shld											0	0	0
rock	0	shld											0	0	0
aegis	0	shld											0	0	0
ward	0	shld											0	0	0
tower	0	shld											0	0	0
shield	0	shld											0	0	0
wing	0	shld	amul										0	0	0
mark	0	shld	amul										0	0	0
emblem	0	shld	amul										0	0	0
hand	0	glov											0	0	0
fist	0	glov	h2h										0	0	0
claw	0	glov	h2h										0	0	0
clutches	0	glov											0	0	0
grip	0	glov	ring										0	0	0
grasp	0	glov	ring										0	0	0
hold	0	glov	ring										0	0	0
touch	0	glov	ring										0	0	0
finger	0	glov	ring										0	0	0
knuckle	0	glov											0	0	0
shank	0	boot											0	0	0
spur	0	boot											0	0	0
tread	0	boot											0	0	0
stalker	0	boot											0	0	0
greave	0	boot											0	0	0
blazer	0	boot											0	0	0
nails	0	boot	spea	pole									0	0	0
trample	0	boot											0	0	0
Brogues	0	boot											0	0	0
track	0	boot											0	0	0
slippers	0	boot											0	0	0
clasp	0	belt	amul										0	0	0
buckle	0	belt											0	0	0
harness	0	belt											0	0	0
lock	0	belt											0	0	0
fringe	0	belt											0	0	0
winding	0	belt											0	0	0
chain	0	belt											0	0	0
strap	0	belt											0	0	0
lash	0	belt											0	0	0
cord	0	belt											0	0	0
knot	0	ring											0	0	0
circle	0	ring											0	0	0
loop	0	ring											0	0	0
eye	0	misc											0	0	0
turn	0	ring											0	0	0
spiral	0	ring											0	0	0
coil	0	ring											0	0	0
gyre	0	ring	orb	jewl									0	0	0
band	0	ring											0	0	0
whorl	0	ring	orb	jewl									0	0	0
talisman	0	amul	jewl										0	0	0
heart	0	amul	orb	jewl									0	0	0
noose	0	amul											0	0	0
necklace	0	amul											0	0	0
collar	0	amul											0	0	0
beads	0	amul											0	0	0
torc	0	amul											0	0	0
gorget	0	amul											0	0	0
scarab	0	amul	jewl										0	0	0
wood	0	spea	pole	wand	staf								0	0	0
brand	0	blun											0	0	0
bludgeon	0	blun											0	0	0
cudgel	0	club	wand										0	0	0
loom	0	miss											0	0	0
harp	0	miss											0	0	0
master	0	ring											0	0	0
barRI	0	blun	spea	pole									0	0	0
hew	0	swor	knif	axe									0	0	0
crook	0	staf											0	0	0
mar	0	swor	knif	mace	club	hamm	spea						0	0	0
shell	0	tors	helm	shld									0	0	0
stake	0	spea	pole										0	0	0
picket	0	spea	pole										0	0	0
pale	0	spea	pole										0	0	0
flange	0	tors	mace	hamm	scep								0	0	0
halo	0	azhm	circ										0	0	0
boxX	0	misl											0	0	0
barrelX	0	misl											0	0	0
spines	0	misl											0	0	0
slammer	0	blun											0	0	0
breaker	0	blun	pspe										0	0	0
prophetX	0	thro	pzhm										0	0	0
charmX	0	jewl	nknf										0	0	0
voiceX	0	azhm	circ	phlm	stor	dstf	nstf	pspe					0	0	0
stoneX	0	jewl											0	0	0
gemX	0	jewl											0	0	0
FuryX	0	azsd	stor	azhm	basd	orb	ishd	baxe					0	0	0
WindQ	0	dstf	azsd	aspe	abow	ajav	nagi	dbow					0	0	0
RocketX	0	ajav	misl										0	0	0
BucketX	0	misl											0	0	0
CloudX	0	azhm	azsd	ishd	dstf	pzhm							0	0	0
HymnX	0	nagi	pzhm	pspe	nstf	pclb	pham	pmac					0	0	0
CrasherX	0	baxe	bswd	dstf	nxbw	pclb	pham	pmac					0	0	0
StreakX	0	abow	ajav	nxbw	scrd								0	0	0
FlowX	0	nagi	dstf	pspe	scrd								0	0	0
ShockX	0	bswd	dbow	dstf	nknf	scrd							0	0	0
RamX	0	nagi	ishd	baxe	nscy	nxbw	pham	pmac					0	0	0
BasherX	0	baxe	bswd	nscy	pclb	pham	pmac	pspe					0	0	0
RipperX	0	nagi	baxe	bswd	dbow	nscy							0	0	0
VesselX	0	azhm	azsd	ishd	nscy	nstf	pspe						0	0	0
