Name	complete	* status	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	Rune Name	server	eol
Jewelword1	1	Filler Wildcard							weap	armo		jew						res-all		5	5	all-stats		5	5																					Jewelword1		0
Jewelword2	1	Runeword Auto Filler							weap	armo		jew	jew					res-all		10	10	all-stats		10	10																					Jewelword2		0
Jewelword3	1	Runeword Auto Filler							weap	armo		jew	jew	jew				res-all		15	15	all-stats		15	15																					Jewelword3		0
Jewelword4	1	Runeword Auto Filler							weap	armo		jew	jew	jew	jew			res-all		20	20	all-stats		20	20																					Jewelword4		0
Jewelword5	1	Runeword Auto Filler							weap	armo		jew	jew	jew	jew	jew		res-all		25	25	all-stats		25	25																					Jewelword5		0
Jewelword6	1	Runeword Auto Filler							weap	armo		jew	jew	jew	jew	jew	jew	res-all		30	30	all-stats		30	30																					Jewelword6		0
Dawn	1	R	weap									r01						dmg%		18	35	gold%		4	8	all-stats%		10	10	kill-skill	496	5	7	balance3		15	15	att%		101	150	light		1	1	Dawn		0
Shark	1	Y	weap									r07						dmg/lvl	4	4	4	dmg%		24	35	kill-skill	600	5	9	blood-phys		11	15	swing3		20	20	mana		-1	-1					Shark		0
Enyo	1	R	weap									r14						dmg-min		6	10	hpm-str%-enr%		20	20	att-skill	347	10	18	dmg%		69	92	dmg-stun		125	125	allskills		1	1	reanimate	712	5	10	Enyo		0
Azrael	1	R	weap									r21						res-fire		26	26	kill-skill	518	10	30	hp		101	200	dmg%		87	103	lifesteal		6	13	str-heal		50	50	swingcast3		40	40	Azrael		0
Void	1	N	weap									r28						res-cold		40	40	dmg%		58	72	slow		33	33	red-dmg		11	15	mana-hit		21	25	reanimate	2344	2	2	dmg-norm		7	13	Void		0
Oblivion	1	N	weap									r35						all-stats%		7	7	dmg/lvl	12	12	12	att-skill	1002	20	40	dmg%		115	143	crush		5	5	extra-pois		16	20	charged	459	17	20	Oblivion		0
Berith	1	N	weap									r42						wirts		100	100	gold%		40	40	dmg%		115	143	all3		50	50	uninterrupt		21	25	ac-global		11	15					Berith		0
Gehenna	1	Y	weap									r47						hp%-mp%		23	23	dmg%		144	171	att-skill	703	20	32	dmg-cold	250	188	250	dmg-pois	25	1536	2048	ease		-33	-33	gehenna		25	25	Gehenna		0
Triune	1	N	weap									r53						dmg%		115	143	dmg-elem		84	417	dmg-max		84	84	res-fcl		66	66	hp-mana		201	400									Triune		0
Banshee	1	R	bow									r03						dmg%		18	35	hit-skill	459	1	7	dmg/lvl	8	8	8	move3		5	5	dmg-cold	75	5	13	abs-cold%		5	5	kill-skill	712	3	8	Banshee		0
Shockwave	1	Y	bow									r12						dmg%		58	72	kill-skill	553	50	14	slow		11	15	crush		3	5	dex		21	40	enr		21	40	dmg-max		11	15	Shockwave		0
Balance	1	R	bow									r22						unity		30	30	courage		15	15	dex		15	15	ac-global		11	15	dmg-global		41	50	dmg%		58	86					Balance		0
Hive	1		bow									r30						uninterrupt		15	15	dmg%		87	114	dmg-max		13	25	kill-skill	779	15	6	dmg-pois	25	1536	2304	regen/lvl	32	32	32	swing3		-15	-15	Hive		0
Phantom	1		bow									r39						hit-skill	998	25	30	dmg%		144	171	all-stats		51	100	mana%		50	50	nofreeze		1	1									Phantom		0
Curse	1	R	bow									r48						skill-dur		15	15	hit-skill	525	10	24	kill-skill	563	20	21	str%		25	25	dmg%		144	171	dmg/lvl	24	24	24	ac-global		21	25	Curse		0
Typhaon	1	R	bow									r52						dmg%		172	200	hit-skill	492	13	11	wirts		50	50	res-all		31	40	swing3		40	40	dmg-max		76	125					Typhaon		0
Thammuz	1	R	xbow									r04						dmg%		18	35	kill-skill	809	15	9	hp		111	111	dmg-fire		2	9	swing3		25	25	kill-skill	530	15	9					Thammuz		0
Python	1	R	xbow									r16						dex%		16	20	str%		21	25	dmg%		58	86	dmg/lvl	12	12	12	hp%		21	25	kill-skill	330	24	14	lifesteal		16	19	Python		0
Cyclops	1	R (lvl 100)	xbow									r29						slow		25	25	dmg%		87	114	dmg-max		51	75	hit-skill	443	5	48	extra-ltng		16	20	swing3		50	50					Cyclops		0
Tartarus	1		xbow									r44						dmg%		172	200	kill-skill	340	5	42	dmg/lvl	32	32	32	str%		41	50	res-fireltng		100	100	heal-kill		101	150					Tartarus		0
Araboth	1		xbow									r45						dmg%		172	200	dmg-max		76	100	oskill	636	1	9	dmg-undead		101	150	all-stats		31	50	regen		41	50					Araboth		0
Kingsblood2	1	R	knif						tkni			r26						addxp		4	4	dmg%		115	143	dmg-min		13	13	all-stats		31	40	allskills		1	1	light		2	2	lifesteal		6	12	Kingsblood2		0
Endor	1	R low lvl	scyh									r31						dmg%		72	100	dmg-max		26	50	att-skill	387	25	34	att-skill	330	5	19	extra-cold		16	20	extra-pois		16	20					Endor		0
Urada	1		swor									r46						ac		811	811	dmg%		144	171	reanimate	2340	4	4	dmg-ltng		1	276	all-stats		1	11	swing3		30	30	crush		5	5	Urada		0
Sabertooth	1	R	axe									r48						dmg%		144	171	oskill	689	1	9	str		150	150	lifesteal		9	17	uninterrupt		15	20	swing3		50	50	dmg-global/lvl	64	64	64	Sabertooth		0
Seed of Conflict	1	R	scyh									r49						dmg%		144	171	dmg-max		51	63	ac-global		20	20	att-skill	712	5	9	heal-kill		101	150	mana-kill		101	150	nec		2	4	Seed of Conflict		0
Myrmidon	1	R low lvl ++	spea									r29						vit%		20	20	dmg%		87	114	dmg/lvl	24	24	24	dex%		20	20	oskill	666	1	4	ac-global		21	40	ease		15	15	Myrmidon		0
Demhe	1	Y	mace	scep					hamm			r33						dmg%		172	200	dmg-max		38	50	att-skill	398	20	50	gehenna		11	13	mana-hit		101	150	dmg-stun		125	125					Demhe		0
Calypso	1	R ++	hamm									r37						swing3		30	30	dmg%		144	171	kill-skill	702	20	21	skill-dur		21	25	att-skill	459	5	27	dmg-cold	75	375	500	dmg-norm		19	38	Calypso		0
Pax Mystica	1	Y	staf									r04						oskill	346	2	5	res-all		11	15	allskills		1	1	mag%		11	13													Pax Mystica		0
Hadad	1	R	staf									r11						gethit-skill	669	5	13	allskills		2	2	extra-ltng/lvl	8	8	8	slow-thorns		11	15	oskill	680	1	4									Hadad		0
Summanus	1	R	staf									r19						dex		50	50	enr		25	25	allskills		2	2	att-skill	999	5	17	dmg%		58	86	dmg-max		26	38	swing3		40	40	Summanus		0
Akhenaten	1	R	staf									r27						vit%		15	15	allskills		3	4	cast3		20	20	extra-fire		21	25	extra-pois		21	25	slow-thorns		21	25	res-firepoison		50	50	Akhenaten		0
Aes Dana	1		staf									r36						balance3		15	15	dru		5	7	dmg-minion		41	50	extra-pois		25	40	mana%		40	40	res-all-group		50	50					Aes Dana		0
Elverfolk	1	Y	staf									r44						enr-factor		51	100	allskills		6	8	pierce-all		21	30	res-all		31	50	ac-miss		750	750	enr%		21	30					Elverfolk		0
Erilaz	1		staf									r51						ac		1000	1000	ac-global		41	50	sor		6	8	extra-fcl		21	30	ease		-20	-20	balance3		40	40	cast3		60	60	Erilaz		0
Prophecy	1	R	scep									r06						dmg%		10	26	res-fire		21	40	res-cold		21	40	fire-thorns		21	25	cold-thorns	125	21	25	allskills		1	1	dmg-max		3	4	Prophecy		0
Bane	1	R	scep									r17						dmg%		58	86	att-skill	531	5	7	att%		31	50	dmg-max		8	13	swing3		20	20	all-stats		21	25	crush/lvl	2	2	2	Bane		0
Judas	1	R	scep									r22						enr%		5	5	dmg-mon%	11	300	300	desc-bottom	11299	4	4	ease		-66	-66	gold%		20	20	mag%		33	33	reanimate	811	5	10	Judas		0
Path	1		scep									r30						ama		2	3	gethit-skill	699	7	36	extra-fire		16	20	extra-pm		16	20	ease		-20	-20	addxp		4	5	enr-factor%		11	15	Path		0
