index	set	item	*item	rarity	lvl	* Laz / comments	lvl req	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	*eol
Civerb's Ward	Civerb's Vestments	lrg	Large Shield	7	500	old LoD	9																																																																													lyel	lyel						5	2500	1	0
Civerb's Icon	Civerb's Vestments	amu	Amulet	7	500	old LoD	9																																																																													lyel	lyel						5	2500	2	0
Civerb's Cudgel	Civerb's Vestments	gsc	Grand Scepter	7	500	old LoD	9																																																																													lyel	lyel						5	2500		0
Hsarus' Iron Heel	Hsarus' Defense	mbt	Chain Boots	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Hsarus' Iron Fist	Hsarus' Defense	buc	Buckler	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Hsarus' Iron Stay	Hsarus' Defense	mbl	Belt	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Cleglaw's Tooth	Cleglaw's Brace	lsd	Long Sword	7	500	old LoD	4																																																																													lred	lred						5	2500	2	0
Cleglaw's Claw	Cleglaw's Brace	sml	Small Shield	7	500	old LoD	4																																																																													lred	lred						5	2500	2	0
Cleglaw's Pincers	Cleglaw's Brace	mgl	Chain Gloves	7	500	old LoD	4																																																																													lred	lred						5	2500	2	0
Iratha's Collar	Iratha's Finery	amu	Amulet	7	500	old LoD	15																																																																													lgry	lgry						5	2500	2	0
Iratha's Cuff	Iratha's Finery	tgl	Light Gauntlets	7	500	old LoD	15																																																																													lgry	lgry						5	2500	2	0
Iratha's Coil	Iratha's Finery	crn	Crown	7	500	old LoD	15																																																																													lgry	lgry						5	2500	2	0
Iratha's Cord	Iratha's Finery	tbl	Heavy Belt	7	500	old LoD	15																																																																													lgry	lgry						5	2500	2	0
Isenhart's Lightbrand	Isenhart's Armory	bsd	Broad Sword	7	500	old LoD	8																																																																													lgld	lgld						5	2500	2	0
Isenhart's Parry	Isenhart's Armory	gts	Gothic Shield	7	500	old LoD	8																																																																													lgld	lgld						5	2500	2	0
Isenhart's Case	Isenhart's Armory	brs	Breast Plate	7	500	old LoD	8																																																																													lgld	lgld						5	2500	2	0
Isenhart's Horns	Isenhart's Armory	fhl	Full Helm	7	500	old LoD	8																																																																													lgld	lgld						5	2500	2	0
Vidala's Barb	Vidala's Rig	lbb	Long Battle Bow	7	500	old LoD	14																																																																													blac	blac						5	2500	2	0
Vidala's Fetlock	Vidala's Rig	tbt	Light Plated Boots	7	500	old LoD	14																																																																													blac	blac						5	2500	2	0
Vidala's Ambush	Vidala's Rig	lea	Leather Armor	7	500	old LoD	14																																																																													blac	blac						5	2500	2	0
Vidala's Snare	Vidala's Rig	amu	Amulet	7	500	old LoD	14																																																																													blac	blac						5	2500	2	0
Milabrega's Orb	Milabrega's Regalia	kit	Kite Shield	7	500	old LoD	17																																																																													dblu	dblu						5	2500	2	0
Milabrega's Rod	Milabrega's Regalia	wsp	War Scepter	7	500	old LoD	17																																																																													dblu	dblu						5	2500		0
Milabrega's Diadem	Milabrega's Regalia	crn	Crown	7	500	old LoD	17																																																																													dblu	dblu						5	2500	2	0
Milabrega's Robe	Milabrega's Regalia	aar	Ancient Armor	7	500	old LoD	17																																																																													dblu	dblu						5	2500	2	0
Cathan's Rule	Cathan's Traps	bst	Battle Staff	7	500	old LoD	11																																																																													dgrn	dgrn						5	2500	2	0
Cathan's Mesh	Cathan's Traps	chn	Chain Mail	7	500	old LoD	11																																																																													dgrn	dgrn						5	2500	2	0
Cathan's Visage	Cathan's Traps	msk	Mask	7	500	old LoD	11																																																																													dgrn	dgrn						5	2500	2	0
Cathan's Sigil	Cathan's Traps	amu	Amulet	7	500	old LoD	11																																																																													dgrn	dgrn						5	2500	2	0
Cathan's Seal	Cathan's Traps	rin	Ring	7	500	old LoD	11																																																																													dgrn	dgrn						5	2500	2	0
Tancred's Crowbill	Tancred's Battlegear	mpi	Military Pick	7	500	old LoD	20																																																																													dgld	dgld						5	2500	2	0
Tancred's Spine	Tancred's Battlegear	ful	Full Plate Mail	7	500	old LoD	20																																																																													dgld	dgld						5	2500	2	0
