skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Expansion		MAIN			SRVFUNC		SERVER MISSILES						CLTFUNC			CLIENT MISSILES					AURA SETTINGS							AURA STATS																		CALCULATIONS							PARAMETERS																HS	PHYSICAL DAMAGE																ELEMENTAL DAMAGE																			DELAY		SOUND & OVERLAY						PASSIVE STATS																				SUMMON SETTINGS																EQUIPMENT USAGE								ANIMATION					MANA				SKILL POINTS				MISCELLANEOUS								STATE RESTRICT				PROCS			ATTACK RATING			TARGET CONTROL									x)	SERVER FUNC II								CLIENT CALCULATION						SOUNDS & OVERLAY II											MANA II			SKILL REQUIREMENTS II							SPECIAL				EQUIPMENT II					CLT FUNC II		AURA EVENTS								AI		UNKNOWN														ITEM COST	
Attack	0		attack	Classic	1	1							1	1																																																							8	128																																				0																																											both		weap			tpot			A1	A1	A1			0	7	0	0		1			1	1		0		1	1		1																			1																																																								1			1					1				1	1	1		0
Kick	1		kick	Classic	2	2							0	0																																																							8																																					0																																											h2h	4							KK	KK	xx			0	7	0	0		1						0																						1		1																																							1																	1								1				1	1			0
Throw	2		throw	Classic	65	3							2	2																																																							8	128																																				0																																											rng		thro						TH	TH	xx			0	7	0	0		1			1	1		0																								1																																																								1			2					1						1		0
Unsummon	3		unsummon	Classic	3	4							3	0																																																							8																																					0																																											rng								SC	SC	xx			0	7	0	0		1				1		0	1				1															1				1																																																								1								1				1				0
Left Hand Throw	4		left hand throw	Classic	65	5							2	2																																																							8																																					0																																											rng	1	thro						S4	S4	xx			0	7	0	0		1			1	1		0																								1																																																								1	1		3					1						1		0
Left Hand Swing	5		left hand swing	Classic	1	1							4	1																																																							8																																					0																																											both	1	weap			tpot			S3	S3	S3			0	7	0	0		1			1	1		0			1		1																			1																																																									1		4					1				1	1	1		0
Magic Arrow	6		magic arrow	Classic			magicarrow									magicarrow																																																					8	128			1	1	1	1	1	1	1	1	1	1	1	1																						0																																											rng		miss						A1	A1	xx			0	4	48	-4		1	20		1	1		0									1			10	9											1																																												1												1											1			1		0
Fire Arrow	7		fire arrow	Classic	4		firearrow	1					11			firearrow																																																			12	damage synergy	8	128																fire	1	2	12	12	12	12	4	2	14	14	14	14	(skill('Exploding Arrow'.blvl)) * par8							0																																											rng		miss						A1	A1	xx			2	3	192	2		1	20		1	1		0									1			10	9											1																																																								1			1								1			1		0
Titan Strike	8		titanstrike	oSkill	39	2								83									petristrike		(250*(100+stat('profession_duration_mod'.accr)))/100			item_strength_percent		25	item_dexterity_percent		25	skill_armor_percent		ln34										ln56	dmg %	(250*(100+stat('profession_duration_mod'.accr)))/100	duration				17	stats bonus	2	stats bonus per level	10	defense %	5	defense % per level	50	dmg %	5	dmg % per level	0	duration loss min	100	duration loss max	8	64																																				0		druidwerewolf_morph	druidwerewolf_morph																																								h2h		mele						A1	A1	A1			0	0	0	0		1	99		1	1		0		1			1							50												1																																																												1							1	1	1	1		0
Innate Titans	9		innatestrike	BAR - Special	39	2								83									petristrike		((250+ulvl)*(100+stat('profession_duration_mod'.accr)))/100			item_strength_percent		25	item_dexterity_percent		25	skill_armor_percent		10										ln56	dmg %	(250*(100+stat('profession_duration_mod'.accr)))/100	duration				17	stats bonus	2	stats bonus per level					50	dmg %	5	dmg % per level	0	duration loss min	100	duration loss max	8	64																																				0		druidwerewolf_morph	druidwerewolf_morph																																								h2h		mele						A1	A1	A1			0	0	0	0		1	99		1	1		0		1			1							50												1																																																												1							1	1	1	1		0
