state	id	group	Laz / status	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
none	0																																																																							0
freeze	1																															1		1	1	1									shackles_effect						shackles_disappear								90	108	255	255	255	impact_bluemotize_1								0
poison	2																																				1	1												poisonhit									80	104	128	255	128	impact_poison_1								0
resistfire	3						1				1							1																											aura_resistfire					cast_resistfire		fireresist												paladin_aura_resistfire								0
resistcold	4						1				1									1																									aura_resistcold					cast_resistcold		coldresist												paladin_aura_resistcold								0
resistlight	5						1				1								1																										aura_resistlight					cast_resistlight		lightresist												paladin_aura_resistlightning								0
resistmagic	6																																																																							0
playerbody	7																																																																							0
resistall	8						1				1							1	1	1																									aura_resistall_front	aura_resistall_back				cast_resistall	rainbowkaboom	lightresist												paladin_aura_salvation	object_barrel_explode							0
amplifydamage	9							1																																					curseamplifydamage					curse_hit		damageresist												necromancer_amplifydamage								0
burnbabyburn	10		RETRIBUTE					1	1																	1	1	1	1																bloodfire							fireresist							105	100	255	0	0	paladin_aura_holyfire	object_barrel_explode							0
cold	11													1																																						velocitypercent							90	108	150	215	255	impact_bluemotize_1								0
inferno	12				1																																																																			0
shellshock	13		FORCE SHOUT																					1																					deaf														13	13	64	64	255	ghost_effect	object_barrel_explode							0
lordjusticar	14		VESSEL OF JUDGMENT																																										zomgwhyme																			paladin_conversion	object_barrel_explode						146	0
amazonfury	15		MONSTER PALSHIFT																																										whirlwind							velocitypercent												sorceress_firebolt_impact_1	object_barrel_explode							0
wefoundawitch	16		BLOOD FURY				1																																						almightstate					almightcast		passive_fire_mastery							55	100	255	128	128	necromancer_reversevampire	object_barrel_explode							0
yaaaaaaaaaargh	17		BLOODHATRED						1		1					1																													blindingrage							hpregen							65	100	255	128	128	barbarian_howl_1	object_barrel_explode							0
skill_move	18		UNKNOWN																																																																					0
plasmashield	19		BAAL SHARD CURSE																																										bluedotoverhead					bluedotoverhead		magic_damage_reduction							60	0	128	144	255	paladin_aura_resistlightning	object_barrel_explode							0
careforabloodbath	20		BLOODBATH								1					1																													blindingrage							passive_weaponblock							65	1	255	128	128	baal_summonflash	object_barrel_explode							0
stunned	21																																												stun																											0
raptured	22		RAPTURE																																										turbofront					turbofront		attackrate												monster_cast_fire	object_barrel_explode							0
dimvision	23							1																																					cursedimvision					curse_hit														necromancer_dimvision								0
slowed	24																																												slowspelloverlay	warpuff				slowspellcast									45	108	128	128	255	sorceress_nova								0
killed2	25		ON-KILL CURSE																																										baal_on_throne							levelchallenge_kill_check							140	73	255	0	0	paladin_redeemed_soul	object_barrel_explode							0
malewitchaura	26		MALE WITCH																																										doomgate							passive2							80	73	255	32	0	sorceress_thunder_cast	object_barrel_explode							0
