*desc	enabled	page	x	y	color	font	statID	end
game_craftpoints	1	1	25	445	4	6	183	0
enr_factor	1	1	25	430	4	6	485	0
item_magicbonus	1	1	25	415		6	80	0
item_goldbonus	1	1	25	400		6	79	0
item_fastercastrate	1	1	25	385		6	105	0
item_fasterattackrate	1	1	25	370		6	93	0
item_fastergethitrate	1	1	25	355		6	99	0
item_fasterblockrate	1	1	25	340		6	102	0
lifedrainmindam	1	1	25	325		6	60	0
manadrainmindam	1	1	25	310		6	62	0
item_fastermovevelocity	1	1	25	295		6	96	0
item_reducedprices	1	1	25	280		6	87	0
item_addexperience	1	1	25	265		6	85	0
item_damagetomana	1	1	25	250		6	114	0
manarecoverybonus	1	1	25	235		6	27	0
hpregen	1	1	25	220		6	74	0
damagepercent	1	1	25	205		6	25	0
skill_armor_percent	1	1	25	190		6	171	0
thorns_percent	1	1	25	175		6	131	0
item_attackertakesfiredamage	1	1	25	160	1	6	368	0
item_attackertakeslightdamage	1	1	25	145	3	6	128	0
item_attackertakescolddamage	1	1	25	130	9	6	367	0
item_freeze	1	2	25	445		6	134	0
item_howl	1	2	25	430		6	112	0
item_slow	1	2	25	415		6	150	0
item_stupidity	1	2	25	400		6	113	0
item_freezethorns	1	2	25	385		6	365	0
item_howlthorns	1	2	25	370		6	364	0
item_slowthorns	1	2	25	355		6	363	0
item_stupiditythorns	1	2	25	340		6	366	0
item_strength_percent	1	2	25	325		6	359	0
item_dexterity_percent	1	2	25	310		6	360	0
item_energy_percent	1	2	25	295		6	361	0
item_vitality_percent	1	2	25	280		6	362	0
passive_fire_mastery	1	2	25	265	1	6	329	0
passive_fire_pierce	1	2	25	250	1	6	333	0
passive_ltng_mastery	1	2	25	235	9	6	330	0
passive_ltng_pierce	1	2	25	220	9	6	334	0
passive_cold_mastery	1	2	25	205	3	6	331	0
passive_cold_pierce	1	2	25	190	3	6	335	0
passive_pois_mastery	1	2	25	175	2	6	332	0
passive_pois_pierce	1	2	25	160	2	6	336	0
passive_pm_mastery	1	2	25	145	4	6	377	0
item_openwounds	1	2	25	130		6	135	0
item_crushingblow	1	3	25	445		6	136	0
item_deadlystrike	1	3	25	430		6	141	0
item_demondamage_percent	1	3	25	415		6	121	0
item_undeaddamage_percent	1	3	25	400		6	122	0
fireresist	1	3	25	385	1	6	39	0
maxfireresist	1	3	25	325	1	6	40	0
lightresist	1	3	25	355	9	6	41	0
maxlightresist	1	3	25	295	9	6	42	0
coldresist	1	3	25	370	3	6	43	0
maxcoldresist	1	3	25	310	3	6	44	0
poisonresist	1	3	25	340	2	6	45	0
maxpoisonresist	1	3	25	280	2	6	46	0
item_absorbfire_percent	1	3	25	265	1	6	142	0
item_absorbcold_percent	1	3	25	250	3	6	148	0
item_absorblight_percent	1	3	25	235	9	6	144	0
item_poisonlengthresist	1	3	25	220	2	6	110	0
curse_resistance	1	3	25	205		6	109	0
damageresist	1	3	25	190		6	36	0
normal_damage_reduction	1	3	25	175		6	34	0
magic_damage_reduction	1	3	25	160		6	35	0
skill_bloodymary_bonus	1	3	25	145		6	413	0
skill_paganheart_bonus	1	3	25	130		6	414	0
skill_elixirs_synergy	1	4	25	445		6	467	0
skill_paganheart_synergy	1	4	25	430		6	430	0
profession_duration_mod	1	4	25	415		6	409	0
skill_poison_dur	1	4	25	400		6	431	0
skill_minion_dmg_percent	1	4	25	385		6	470	0
item_minion_attack	1	4	25	370		6	500	0
skill_minion_hp_percent	1	4	25	355		6	444	0
minion_resist_all	1	4	25	340		6	487	0
passive_aura_addmax	1	4	25	325		6	441	0
skill_ancientspirits_synergy	1	4	25	310		6	445	0
skill_concentration	1	4	25	295		6	164	0
item_targettakesdamage	1	4	25	280		6	489	0
item_healwhenstruck	1	4	25	265		6	439	0
item_faster_potions	1	4	25	250		6	492	0
item_lightradius	1	4	25	235		6	89	0
item_healafterkill	1	4	25	220		6	86	0
item_manaafterkill	1	4	25	205		6	138	0
item_healonstriking	1	4	25	190		6	208	0
item_manaonstriking	1	4	25	175		6	209	0
item_healonstrikingmelee	1	4	25	160		6	210	0
item_manaonstrikingmelee	1	4	25	145		6	295	0
