Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Gold			1						gld	1																																0
Jewelry A			1						rin	8		amu	4		jew	2																										0
Jewelry B			1						rin	8		amu	4		jew	2																										0
Jewelry C			1						rin	8		amu	4		jew	2																										0
Chipped Gem			1						gcv	3		gcy	3		gcb	3		gcg	3		gcr	3		gcw	3		skc	3														0
Flawed Gem			1						gfv	3		gfy	3		gfb	3		gfg	3		gfr	3		gfw	3		skf	3														0
Normal Gem			1						gsv	3		gsy	3		gsb	3		gsg	3		gsr	3		gsw	3		sku	3														0
Flawless Gem			1						gzv	3		gly	3		glb	3		glg	3		glr	3		glw	3		skl	3														0
Perfect Gem			1						gpv	3		gpy	3		gpb	3		gpg	3		gpr	3		gpw	3		skz	3														0
Ammo			1						aqv	1																																0
Elixir			1						eo9	1		ey1	1		ey2	1		ey3	1		ey5	1		ey6	1		ey7	1		ey8	1											0
Misc 0			1						key	3		tsc	3		isc	3		opl	2		gpl	2																				0
Misc 1			1						key	3		tsc	3		isc	3		opm	2		gpm	2																				0
Misc 2			1						key	3		tsc	3		isc	3		ops	2		gps	2																				0
Hpotion 1			1						hp1	8		hp2	3		mp1	3		mp2	2																							0
Hpotion 2			1						hp1	2		hp2	4		hp3	3		mp1	1		mp2	2		mp3	2																	0
Hpotion 3			1						hp2	2		hp3	5		hp4	4		mp3	3		mp4	2		mp2	1																	0
Hpotion 4			1						hp3	2		hp4	4		hp5	3		mp4	3		mp5	2		mp3	1																	0
Hpotion 5			1						hp3	1		hp4	4		hp5	4		mp5	3		mp4	3		mp3	1																	0
Hpotion 6			1						hp4	4		hp5	6		mp4	2		mp5	4																							0
Potion 1			1						hp1	12		hp2	4		mp1	5		mp2	4		rvs	1		vps	4																	0
Potion 2			1						hp1	4		hp2	8		hp3	5		mp2	2		mp3	5		rvs	1		vps	2		yps	3		wms	1								0
Potion 3			1						hp2	6		hp3	6		hp4	4		mp3	3		mp4	3		rvs	1		vps	2		yps	2		wms	1								0
Potion 4			1						hp3	6		hp4	6		hp5	4		mp4	3		mp5	3		rvs	1		vps	2		yps	2		wms	1								0
Potion 5			1						hp3	4		hp4	6		hp5	6		mp5	5		rvs	1		vps	2		yps	2		wms	1											0
Potion 6			1						hp4	6		hp5	8		mp4	1		mp5	5		rvs	1		vps	2		yps	2		wms	1											0
Runes 1			1						r01	3		r02	3		r01	3		r02	3		r01	3		r02	3																	0
Runes 2			1						r03	3		r04	3		Runes 1	8																										0
Runes 3			1						r05	3		r06	3		Runes 2	15																										0
Runes 4			1						r07	3		r08	3		Runes 3	22																										0
