Treasure Class	* Laz / contains	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Gold				1						gld	1																																0
Blank TC				1					100																																		0
NDTC				1						gld	2		Blank TC	98																													0
NDgold1				1						gld,mul=1280	20		Blank TC	80																													0
NDgold2				1						gld,mul=1536	20		Blank TC	80																													0
NDgold3				1						gld,mul=2048	20		Blank TC	80																													0
NDgold4				1						gld,mul=3072	20		Blank TC	80																													0
NDgold5				1						gld,mul=4096	20		Blank TC	80																													0
Troll Gold				1						gld,mul=4096	1		gld,mul=4096	1		gld,mul=4096	1		gld,mul=4096	1																							0
Clue Gem 1				1						01-	1		11-	1		21-	1		31-	1		41-	1																				0
Clue Gem 2				1						02-	1		12-	1		22-	1		32-	1		42-	1		Clue Gem 1	5																	0
Clue Gem 3				1						03-	1		13-	1		23-	1		33-	1		43-	1		Clue Gem 2	10																	0
Clue Gem 4				1						04-	1		14-	1		24-	1		34-	1		44-	1		Clue Gem 3	15																	0
Clue Gem 5				1						05-	1		15-	1		25-	1		35-	1		45-	1		Clue Gem 4	20																	0
Clue Gem 6				1						06-	1		16-	1		26-	1		36-	1		46-	1		Clue Gem 5	25																	0
Clue Gem 7				1						07-	1		17-	1		27-	1		37-	1		47-	1		Clue Gem 6	30																	0
Clue Gem 8				1						08-	1		18-	1		28-	1		38-	1		48-	1		Clue Gem 7	35																	0
Clue Gem 9				1						09-	1		19-	1		29-	1		39-	1		49-	1		Clue Gem 8	40																	0
Clue Gem 10				1						10-	1		20-	1		30-	1		40-	1		50-	1		Clue Gem 9	45		98-	1														0
Unique Crystal 00				1						&91	1		&92	1		&93	1		&94	1		&95	1																				0
Unique Crystal 0				1						&86	1		&87	1		&88	1		&89	1		&90	1		Unique Crystal 00	5																	0
Unique Crystal 1				1						&81	1		&82	1		&83	1		&84	1		&85	1		Unique Crystal 0	10																	0
Unique Crystal 2				1						&76	1		&77	1		&78	1		&79	1		&80	1		Unique Crystal 1	15																	0
Unique Crystal 3				1						&72	1		&73	1		&74	1		&75	1		&68	1		Unique Crystal 2	20																	0
Unique Crystal 4				1						&66	1		&67	1		&69	1		&70	1		&71	1		Unique Crystal 3	25																	0
Crystal 1				1						&64	1		&65	1																													0
Crystal 2				1						&01	1		&08	1		&15	1		&42	1		&24	1		&46	1		&53	1		&35	1		&57	1		Crystal 1	2					0
Crystal 3				1						&02	1		&09	1		&16	1		&43	1		&25	1		&47	1		&54	1		&36	1		&58	1		Crystal 2	11					0
Crystal 4				1						&03	1		&10	1		&44	1		&26	1		&48	1		&55	1		&37	1		&59	1		&17	1		Crystal 3	20					0
Crystal 5				1						&04	1		&11	1		&45	1		&27	1		&49	1		&31	1		&38	1		&60	1		&18	1		Crystal 4	29					0
Crystal 6				1						&05	1		&12	1		&21	1		&28	1		&50	1		&32	1		&39	1		&61	1		&19	1		Crystal 5	38					0
Crystal 7				1						&06	1		&13	1		&22	1		&29	1		&51	1		&33	1		&40	1		&62	1		&20	1		Crystal 6	47					0
Crystal 8				1						&07	1		&14	1		&41	1		&23	1		&30	1		&52	1		&34	1		&56	1		&63	1		Crystal 7	56					0
Crystal Divisor				1						Crystal 8	249		Unique Crystal 4	1																													0
Jewelry A				1				1024		rin	4		amu	4		jew	2		Crystal Divisor	4																							0
Jewelry B				1				1024		rin	4		amu	4		jew	2		Crystal Divisor	4																							0
Jewelry C				1				1024		rin	4		amu	4		jew	2		Crystal Divisor	4																							0
Unique Crystal Rodeo				1						Unique Crystal 4	1		Crystal 8	9																													0
ChippedNGem				1						yo1	1		g$a	2		9$a	2		7$a	2		5$a	2																				0
FlawedNGem				1						yo2	1		g$b	2		9$b	2		7$b	2		5$b	2																				0
NormalNGem				1						yo3	1		g$c	2		9$c	2		7$c	2		5$c	2																				0
FlawlessNGem				1						yo4	1		g$d	2		9$d	2		7$d	2		5$d	2																				0
PerfectNGem				1						yo5	1		g$e	2		9$e	2		7$e	2		5$e	2																				0
Chipped Gem				1						gcv	3		gcy	3		gcb	3		gcg	3		gcr	3		gcw	3		skc	3		ChippedNGem	7											0
Flawed Gem				1						gfv	3		gfy	3		gfb	3		gfg	3		gfr	3		gfw	3		skf	3		FlawedNGem	7											0
Normal Gem				1						gsv	3		gsy	3		gsb	3		gsg	3		gsr	3		gsw	3		sku	3		NormalNGem	7											0
Flawless Gem				1						gzv	3		gly	3		glb	3		glg	3		glr	3		glw	3		skl	3		FlawlessNGem	7											0
Perfect Gem				1						gpv	3		gpy	3		gpb	3		gpg	3		gpr	3		gpw	3		skz	3		PerfectNGem	7											0
Ammo				1						aqv	1		cqv	1																													0
Elixir				1						ey2	1		ey3	1		et1	1																										0
Common Scrolls				1						tsc	1		isc	1																													0
Common Books				1						tbk	1		ibk	1																													0
Misc 0				1						key	15		Common Scrolls	25																													0
Misc 1				1						key	13		Common Scrolls	25		Common Books	2																										0
Misc 2				1						key	11		Common Scrolls	25		Common Books	4																										0
Portable Shrines 1				1						A0+	5		B0+	5		C0+	5		D0+	5		E0+	5																				0
Portable Shrines 2				1						F0+	5		G0+	5		H0+	5		I0+	5		J0+	5		Portable Shrines 1	25																	0
Portable Shrines 4				1						R0+	5		M0+	5		N0+	5		K0+	5		Portable Shrines 2	75		Q0+	5																	0
Hpotion 1				1						dog	15		hp1	80	47%	hp2	30	17%	mp1	30	17%	mp2	20	11%	rvs	10	5%																0
Hpotion 2				1						dog	15		hp1	20	13%	hp2	40	26%	hp3	30	20%	mp1	10	6%	mp2	20	13%	mp3	20	13%	rvs	10	6%										0
Hpotion 3				1						dog	15		hp2	20	11%	hp3	50	27%	hp4	40	22%	mp2	10	5%	mp3	30	16%	mp4	20	11%	rvs	10	5%										0
Hpotion 4				1						dog	15		hp3	20	12%	hp4	40	25%	hp5	30	18%	mp3	10	6%	mp4	30	18%	mp5	20	12%	rvs	10	6%										0
