index	code	enabled	rarity	lvl	lvl req	type	category	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	(S)StrName	chrtransform	invtransform	carry1	nolimit	cost mult	cost add	flippyfile	invfile	dropsound	dropsfxframe	usesound	(S)legacy	(S)updateitem	version	ladder	*eol
Amulet of the Viper	vip	1	1					res-pois		50	50	all-stats		10	10	addxp		5	5	light		2	2	item-duped		1	1																														lgry	lgry			5	5000								MN		0
Staff of Kings	msf	1	1			01 - Quest Item	Quest Item	extra-all		5	5	allskills		1	1	cast3		15	15	res-all		25	25	item-duped		1	1																														dgry	dgry			5	5000										0
Horadric Staff	hst	1	1		15	02 - Quest Item	Quest Item	extra-all		5	5	allskills		1	1	cast3		15	15	res-all		25	25	res-pois		50	50	all-stats		10	10	addxp		5	5	light		2	2	charged	1002	20	1	cheap		5	5	item-duped		1	1						lgld	lgld			5	5000										0
Hell Forge Hammer	hfh	1	1		20	03 - Quest Item	Quest Item	dmg%		29	29	dmg-max		4	4	dmg-stun		25	25	res-fire		40	40	kill-skill	518	50	2	item-duped		1	1																										cred	cred			5	5000										0
KhalimFlail	qf1	1	1		15	04 - Quest Item	Quest Item	dmg%		29	29	heal-kill		5	5	swing3		20	20	att%		75	75	item-duped		1	1																														dgry	dgry			5	5000										0
SuperKhalimFlail	qf2	1	1		20	05 - Quest Item	Quest Item	dmg%		29	29	heal-kill		5	5	swing3		20	20	att%		150	150	hp%-mp%		20	20	charged	311	66	6	vit%		15	15	enr%		15	15	dmg-max		10	10	item-duped		1	1										lgld	lgld			5	5000										0
BossKillerRing	r@r	1	5	1	100	06 - Quest Item	Quest Item	dmg-norm		7	13	dmg-undead		50	50	ac		-250	-250	hp%		5	5	light		2	2																																	1	5	5000		Ring08								0
UpgradedBossKillerRing	s@s	1	5	1	100	07 - Quest Item	Quest Item	oskill	876	1	1	allskills		1	1	dmg-norm		7	13	dmg-undead		150	150	hp%		10	10	light		2	2	mana%		10	10																						blac	blac		1	5	5000		Ring08								0
ScrollOfSummons	s0m	1	1	1	1	08 - Quest Item	Quest Item	oskill	551	1	1																																																	1	5	5000										0
NewSuperGem	u@+	1	1	1	0	1 - Charm a	Uber Reward	state	16	1	1																																																1	1	5	5000										0
OpticalDetector	a55	1	1	1	60	1 - Charm b	Uber Reward	res-all		10	15	light		2	2	all-stats		5	15																																								1	1	5	5000										0
AzmodansHeart2	a56	1	1	1	100	1 - Charm c	Uber Reward	res-all		31	40	res-all-max		5	5	cheap		10	10																																								1	1	5	5000										0
BookOfAkarat	a57	1	1	1	100	1 - Charm d	Uber Reward	all-stats		21	25	ac		201	250																																												1	1	5	5000		akaratbook								0
ScrollOfKings2	a58	1	1	1	60	1 - Charm e	Uber Reward	extra-all		8	10	all-stats%		16	20																																												1	1	5	5000		scrollofkings								0
LaserFocusCrystal	a59	1	1	1	80	1 - Charm f	Uber Reward	hp%		10	10	addxp		6	15	mana%		10	10																																								1	1	5	5000										0
ButchersTooth	a60	1	1	1	40	1 - Charm g	Uber Reward	openwounds		50	50	gold%		50	50	mag%		20	20	all-stats		10	10																																				1	1	5	5000										0
SacredWorldstoneKey2	a61	1	1	1	80	1 - Charm h	Uber Reward	dmg-global		41	50	ac-global		21	30																																												1	1	5	5000										0
IdolOfVanity	a66	1	1	1	100	1 - Charm i	Uber Reward	cast3		15	15	swing3		15	15	balance3		15	15	block3		15	15	move3		15	15																																1	1	5	5000										0
NewSpiritOfDamnation	a67	0	1	1	120	1 - Charm j	Uber Reward	xsignet01		1	1																																																1	1	5	5000										0
CursedShadowfang	a68	1	1	1	40	1 - Charm l	Uber Reward	all-stats		21	25	lifesteal		3	5	manasteal		3	5	ac		-50	-50																																				1	1	5	5000										0
VSTI	ab!	1	1	1	120	1 - Charm m	Uber Reward	res-pois-len		50	50	allskills		1	1	hp		100	500																																								1	1	5	5000										0
LegOfBlood	adi	1	1	1	100	1 - Charm n	Uber Reward	skillcap		2	2	lifesteal		2	4	manasteal		2	4																																								1	1	5	5000		bloodlegacy								0
SROTA	aq!	1	1	1	120	1 - Charm o	Uber Reward	dmg-minion		21	25	res-all-minion		11	15	str		41	50	dex		41	50	enr		41	50	vit		41	50	enr-factor		21	30	allskills		1	1																				1	1	5	5000										0
XtallineFlameMedaillon	lok	0	1	1	120	1 - Charm q	Uber Reward	abs-fire%		10	10	abs-cold%		10	10	abs-ltng%		10	10	oskill	773	1	1																																		lblu	lblu	1	1	5	5000										0
