index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	*uber	*TXTtoHTML_ordering	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
StagBowSU3		1		1	1	120	100	85@	Stag Bow (Sacred)			73	ACTIVE					5	5000	dgld	dgld		bow_elefury				sock		6	6	dex-add	76	76	76	reanimate	1849	0	3	reanimate	1850	0	3	reanimate	1851	0	3	dmg%		250	350	pierce-fcl		20	30					dmg-norm		150	200	kill-skill	702	3	10	kill-skill	680	3	10	kill-skill	699	3	10	0
ReflexBowSU3		1		1	1	120	100	86@	Reflex Bow (Sacred)			74	ACTIVE					5	5000	cred	cred						sock		6	6	dex-add	76	76	76	swing3		100	100	dmg-norm		250	500	dmg%		301	350	hit-skill	382	1	1	hit-skill	383	1	1	hit-skill	492	15	23					att%		100	150	lifesteal		20	30					0
MaidenSpearSU3		1		1	1	120	100	87@	Maiden Spear (Sacred)			75	ACTIVE					5	5000	lblu	lblu						sock		6	6	dex-add	102	102	102	innate-impact	146	25	1	reanimate	1529	10	10	oskill	608	1	1	kill-skill	832	5	20	dmg%		300	350	dmg-max		1	500	att%		100	100	gold%		950	950	dex		100	100					0
MaidenPikeSU3		1		1	1	120	100	88@	Maiden Pike (Sacred)			76	ACTIVE					5	5000	dgld	dgld						sock		6	6	dex-add	102	102	102	innate-impact	146	25	1	kill-skill	34	5	10	dmg%		300	350	hit-skill	66	5	15	dmg-norm		300	600	heal-kill		250	250	ignore-ac		1	1	slow		30	30	addxp		200	200	mag%		150	150	0
MaidenJavelinSU3		1		1	1	120	100	89@	Maiden Javelin (Sacred)			77	ACTIVE					5	5000	dgld	dgld						sock		3	3	dex-add	76	76	76	swing3		30	30	hit-skill	699	1	15	hit-skill	680	1	15	hit-skill	702	1	15	skill	305	10	30	dmg%		200	250	crush		20	25	pierce-ltng		33	33	pierce-cold		33	33	pierce-fire		33	33	0
KatarSU3		1		1	1	120	100	90@	Katar (Sacred)			78	ACTIVE					5	5000	dred	dred						sock		3	3	dex-add	76	76	76	res-all-minion		25	25	hp-minion		50	75	block		1	1	dmg-minion		50	50	ass		2	3	reanimate	1852	10	10	aura	297	1	1	desc-dbaura		1	1	pierce-pois		50	50					0
WristBladeSU3		1		1	1	120	100	91@				79	ACTIVE					5	5000	lblu	lblu						sock		3	3	dex-add	76	76	76	extra-all		40	50	block		1	1	enr-factor		100	100	heal-kill		50	100	ass		3	4	hp%		10	10	mana%		10	10	res-pois-len		50	50	cast3		100	100					0
HatchetHandsSU3		1		1	1	120	100	92@		THIS		80	ACTIVE					5	5000	dyel	dyel						sock		3	3	dex-add	76	76	76	extra-ltng		1	30	pierce-ltng		50	50	hp		300	300	all-stats		10	50	res-all		25	25	skill	605	5	10	skill	338	5	10	res-ltng-max		10	10	ass		1	2	cast3		30	30	0
CestusSU3		1		1	1	120	100	93@		IS		81	ACTIVE					5	5000	cred	cred						sock		3	3	dex-add	76	76	76	extra-fire		1	30	pierce-fire		50	50	hp		300	300	all-stats		10	50	res-all		25	25	skill	335	5	10	skill	339	5	10	res-fire-max		10	10	ass		1	2	cast3		30	30	0
ClawsSU3		1		1	1	120	100	94@		NOT		82	ACTIVE					5	5000	blac	blac						sock		3	3	dex-add	76	76	76	oskill	446	30	40	extra-pm		100	150	skill	330	15	20	ass		2	3	ac		2000	2000	enr		100	200	mana%		20	20	move3		50	60	res-mag		50	50					0
