code	name	type	type2	alternateGfx	namestr	spelldesc	spelldescstr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
gps	Rancid Gas Potion	tpot		gpl	gps					2			1										0	0	0	0	2	1	32	24	200				gpl	gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		49	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
ops	Oil Potion	tpot		opl	ops					2			1										0	0	0	0	2	1	28	20	150				opl	ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		46	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
gpm	Choking Gas Potion	tpot		gps	gpm					3			1										0	0	0	0	2	1	20	16	120				gps	gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		48	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
opm	Exploding Potion	tpot		opl	opm					3			1										0	0	0	0	2	1	16	12	80				opl	opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		45	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
gpl	Strangling Gas Potion	tpot		gps	gpl					4			1										0	0	0	0	2	1	8	6	40				gps	gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		47	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
opl	Fulminating Potion	tpot		ops	opl					4			1										0	0	0	0	2	1	4		24				ops	opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops					0		0	item_potion	14	item_potion	0	0	5	0	1	0	0		44	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
d33	decoy dagger	knif		dgr	d33					99		1	2									-20	0	20	15	20	20				666			401	dgr	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0
g33	Gidbinn	knif		dgr	g33					99		9	11									-20	0	20	15	25	60				666			401	dgr	g33			1ht	1ht	5	1ht	1	2					flpg33	invg33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0
leg	Wirt's Leg	wrtl		clb	leg	1	DescLegTruth			1		8	12									-10	0	0	0	0	126		10		20			401	clb	leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			0	0	0		0	item_staff	12	item_staff	1	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
hdm	Horadric Malus	horm		whm	hdm							10	16									20	30	0	15	15	110		10		600			401	whm	hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr					0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	0	0
hfh	Hellforge Hammer	hamm		whm	hfh							13	39										30	0	0	0	110			20	600			401	whm	hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	1	0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
hst	Horadric Staff	staf		bst	hst					2					1	14	20				2		0	10	15	0	100			15	1223			401	bst	hst			stf	stf	5	staf	1	4					flphst	invhst					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
msf	Staff of the Kings	staf		bst	msf					2					1	13	16				2		0	10	12	0	90				1223			401	bst	msf			stf	stf	5	staf	1	3					flpmsf	invmsf					0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
qf1	KhalimFlail	mace		fla	qf1							8	13									-10	20	0	41	35	60			15	1412			401	fla	qf1	qf1	qf1	1hs	1hs	5	1hsl	2	3					flpfla	invqf1			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
qf2	SuperKhalimFlail	mace		fla	qf2							8	13									-10	20	0	0	0	60			20	1412			401	fla	qf2	qf2	qf2	1hs	1hs	5	1hsl	2	3					flpfla	invqf2			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
tax	Throwing Axe	taxe		hax	tax							10	11					6	8			10	0	0	0	40	6		7			11			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
bsd	Broad Sword	swor		bsd	bsd							11	16										0	0	48	0	32		15			1029			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
vou	Voulge	pole		hal	vou										1	10	20				2		0	0	50	0	50		11			611			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
4@A	Angel Star (Grade 1)	pmac	tier	mac	4@A					10	1	9	14								1	10	20	0	62	0	90		12	4		513		401	mac	4@A	4@A	4@A	1hs	1hs	5	1hsl	1	3					flpmst	invmstu			1	1	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
6@A	Angel Star (Grade 2)	pmac	tier	mac	6@A					10	1	17	25								1	10	20	0	101	0	90		41	13		2052		402	mac	6@A	6@A	6@A	1hs	1hs	5	1hsl	1	3					flpmst	invmstu			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
8@A	Angel Star (Grade 3)	pmac	tier	mac	8@A					10	1	29	39								1	10	20	0	205	0	90		70	22		8208		403	mac	8@A	8@A	8@A	1hs	1hs	5	1hsl	1	3					flpmst	invmstu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
9@A	Angel Star (Grade 4)	pmac	tier	mac	9@A					10	1	33	46								1	10	20	0	409	0	90		84	27		16416		403	mac	9@A	9@A	9@A	1hs	1hs	5	1hsl	1	3					flpmst	invmstu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
1@B	Angel Star (Sacred)	spmc		mac	1@B					1	1	55	58								1	10	20	0	602	0	90		84	30		16416		403	mac	1@B	1@B	1@B	1hs	1hs	5	1hsl	1	3					flpmst	invmstu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
115	Axe (Grade 1)	axe	tier	axe	115					20	1	6	8								1		20	0	31	0	70		5	1		240		402	axe	115	115	115	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255		1		1	1					255		1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
251	Axe (Grade 2)	axe	tier	axe	251					20	1	11	15								1		20	0	56	0	70		34	11		960		404	axe	251	251	251	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
387	Axe (Grade 3)	axe	tier	axe	387					20	1	17	24								1		20	0	118	0	70		64	20		3840		405	axe	387	387	387	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
455	Axe (Grade 4)	axe	tier	axe	455					20	1	21	28								1		20	0	239	0	70		78	24		7680		406	axe	455	455	455	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
16@	Axe (Sacred)	qaxe		axe	16@					2	1	39	43								1		20	0	432	0	70		78	30		7680		406	axe	16@	16@	16@	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
7@5	Backsword (Grade 1)	bswd	tier	flc	7@5					10	1	8	10									-15	30	0	55	0	100		9	3		402		401	scm	7@5	7@5	7@5	1hs	1hs	5	1hsl	1	3					flpflc	inv9sbu			1	1	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
9@5	Backsword (Grade 2)	bswd	tier	flc	9@5					10	1	16	19									-15	30	0	89	0	100		39	12		1608		402	scm	9@5	9@5	9@5	1hs	1hs	5	1hsl	1	3					flpflc	inv9sbu			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
2@6	Backsword (Grade 3)	bswd	tier	flc	2@6					10	1	25	29									-15	30	0	181	0	100		68	21		6432		403	scm	2@6	2@6	2@6	1hs	1hs	5	1hsl	1	3					flpflc	inv9sbu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
3@6	Backsword (Grade 4)	bswd	tier	flc	3@6					10	1	30	35									-15	30	0	360	0	100		83	26		12864		403	scm	3@6	3@6	3@6	1hs	1hs	5	1hsl	1	3					flpflc	inv9sbu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
